sentence_idx,original_sentence,original_annotated,de_annotated_content,generated_annotated,source_file,similarity_score
1,"## Accurate 3D Face Reconstruction with Weakly-Supervised Learning: From Single Image to Image Set ##  <p align=""center"">  <img src=""/images/example.gif""> </p>  ### **_\*\*\*07/20/2021: A [PyTorch implementation](https://github.com/sicxu/Deep3DFaceRecon_pytorch) which has much better performance and is much easier to use is available now.","## <PUBLICATION>Accurate 3D Face Reconstruction with Weakly-Supervised Learning: From Single Image to Image Set</PUBLICATION> ##  <p align=""center"">  <img src=""/images/example.gif""> </p>  ### **_\*\*\*07/20/2021: A [<SOFTWARE>PyTorch</SOFTWARE> implementation](https://github.com/sicxu/<PROJECT>Deep3DFaceRecon</PROJECT>_<SOFTWARE>pytorch</SOFTWARE>) which has much better performance and is much easier to use is available now.","## Accurate 3D Face Reconstruction with Weakly-Supervised Learning: From Single Image to Image Set ##  <p align=""center"">  <img src=""/images/example.gif""> </p>  ### **_\*\*\*07/20/2021: A [PyTorch implementation](https://github.com/sicxu/Deep3DFaceRecon_pytorch) which has much better performance and is much easier to use is available now.","## <PUBLICATION>Accurate 3D Face Reconstruction with Weakly-Supervised Learning: From Single Image to Image Set</PUBLICATION> ##  <p align=""center"">  <img src=""/images/example.gif""> </p>  ### **_\*\*\*07/20/2021: A [<SOFTWARE>PyTorch implementation</SOFTWARE>](https://github.com/sicxu/<SOFTWARE>Deep3DFaceRecon_pytorch</SOFTWARE>) which has much better performance and is much easier to use is available now.",../results/deepseek-chat/prompt-0/zzz_Microsoft_Deep3DFaceReconstruction_master_readme.md.tsv\25fe8ee3.txt,1.0
2,This repo will not be maintained in future. \*\*\*_**   This is a tensorflow implementation of the following paper:  Y.,This repo will not be maintained in future. \*\*\*_**   This is a <SOFTWARE>tensorflow</SOFTWARE> implementation of the following paper:  Y.,This repo will not be maintained in future. \*\*\*_**   This is a tensorflow implementation of the following paper:  Y.,This repo will not be maintained in future. \*\*\*_**   This is a tensorflow implementation of the following <PUBLICATION>paper</PUBLICATION>:  Y.,../results/deepseek-chat/prompt-0/zzz_Microsoft_Deep3DFaceReconstruction_master_readme.md.tsv\28dc9a9a.txt,1.0
3,"Deng, J.","Deng, J.","Deng, J.","<PUBLICATION>Deng, J.</PUBLICATION>",../results/deepseek-chat/prompt-0/zzz_Microsoft_Deep3DFaceReconstruction_master_readme.md.tsv\c731efa6.txt,1.0
4,"Yang, S.","Yang, S.","Yang, S.","Yang, S.",../results/deepseek-chat/prompt-0/zzz_Microsoft_Deep3DFaceReconstruction_master_readme.md.tsv\b45a8111.txt,1.0
5,"Xu, D.","Xu, D.","Xu, D.","<PUBLICATION>Xu, D.</PUBLICATION>",../results/deepseek-chat/prompt-0/zzz_Microsoft_Deep3DFaceReconstruction_master_readme.md.tsv\2a10b24c.txt,1.0
6,"Chen, Y.","Chen, Y.","`Chen, Y.`","`<PUBLICATION>Chen, Y.</PUBLICATION>`",../results/deepseek-chat/prompt-0/zzz_Microsoft_Deep3DFaceReconstruction_master_readme.md.tsv\a996c251.txt,0.8888888888888888
7,"Jia, and X.","Jia, and X.","Jia, and X.","Jia, and X.",../results/deepseek-chat/prompt-0/zzz_Microsoft_Deep3DFaceReconstruction_master_readme.md.tsv\3ece18c9.txt,1.0
8,"Tong, [Accurate 3D Face Reconstruction with Weakly-Supervised Learning: From Single Image to Image Set](https://arxiv.org/abs/1903.08527), IEEE Computer Vision and Pattern Recognition Workshop (CVPRW) on Analysis and Modeling of Faces and Gestures (AMFG), 2019.","Tong, [<PUBLICATION>Accurate 3D Face Reconstruction with Weakly-Supervised Learning: From Single Image to Image Set</PUBLICATION>](https://arxiv.org/abs/1903.08527), <PUBLICATION>IEEE Computer Vision and Pattern Recognition Workshop (CVPRW) on Analysis and Modeling of Faces and Gestures (AMFG)</PUBLICATION><WORKSHOP>Computer Vision and Pattern Recognition Workshop</WORKSHOP> (<WORKSHOP>CVPRW</WORKSHOP>) on Analysis and Modeling of Faces and Gestures (AMFG), 2019.","Tong, [Accurate 3D Face Reconstruction with Weakly-Supervised Learning: From Single Image to Image Set](https://arxiv.org/abs/1903.08527), IEEE Computer Vision and Pattern Recognition Workshop (CVPRW) on Analysis and Modeling of Faces and Gestures (AMFG), 2019.","Tong, <PUBLICATION>[Accurate 3D Face Reconstruction with Weakly-Supervised Learning: From Single Image to Image Set]</PUBLICATION>(https://arxiv.org/abs/1903.08527), <WORKSHOP>IEEE Computer Vision and Pattern Recognition Workshop (CVPRW) on Analysis and Modeling of Faces and Gestures (AMFG)</WORKSHOP>, 2019.",../results/deepseek-chat/prompt-0/zzz_Microsoft_Deep3DFaceReconstruction_master_readme.md.tsv\cda5a65f.txt,1.0
9,(**_Best Paper Award!,(**_Best Paper Award!,(**_Best Paper Award!,(**_Best Paper Award!,../results/deepseek-chat/prompt-0/zzz_Microsoft_Deep3DFaceReconstruction_master_readme.md.tsv\8f0af1ff.txt,1.0
10,_**)  The method enforces a hybrid-level weakly-supervised training for CNN-based 3D face reconstruction.,_**)  The method enforces a hybrid-level weakly-supervised training for CNN-based 3D face reconstruction.,_**)  The method enforces a hybrid-level weakly-supervised training for CNN-based 3D face reconstruction.,_**)  The method enforces a hybrid-level weakly-supervised training for CNN-based 3D face reconstruction.,../results/deepseek-chat/prompt-0/zzz_Microsoft_Deep3DFaceReconstruction_master_readme.md.tsv\eac55935.txt,1.0
