sentence_idx,original_sentence,original_annotated,de_annotated_content,generated_annotated,source_file,similarity_score
1,# Intelligence Task Ontology and Knowledge Graph (ITO).,# <ONTOLOGY>Intelligence Task Ontology</ONTOLOGY> and Knowledge Graph (<ONTOLOGY>ITO</ONTOLOGY>).,# Intelligence Task Ontology and Knowledge Graph (ITO).,# <ONTOLOGY>Intelligence Task Ontology and Knowledge Graph (ITO)</ONTOLOGY>.,../results/deepseek-chat/prompt-0/zzz_OpenBioLink_ITO_master_README.md.tsv\e566cf04.txt,1.0
2,"An AI ontology. ## A comprehensive knowledge graph of artificial intelligence tasks and benchmarks The Intelligence Task Ontology and Knowledge Graph (ITO) provides comprehensive, curated and interlinked data of artificial intelligence tasks, benchmarks, AI performance metrics, benchmark results and research papers.","An AI ontology. ## A comprehensive knowledge graph of artificial intelligence tasks and benchmarks The <ONTOLOGY>Intelligence Task Ontology</ONTOLOGY> and Knowledge Graph (<ONTOLOGY>ITO</ONTOLOGY>) provides comprehensive, curated and interlinked data of artificial intelligence tasks, benchmarks, AI performance metrics, benchmark results and research papers.","An AI ontology. ## A comprehensive knowledge graph of artificial intelligence tasks and benchmarks The Intelligence Task Ontology and Knowledge Graph (ITO) provides comprehensive, curated and interlinked data of artificial intelligence tasks, benchmarks, AI performance metrics, benchmark results and research papers.","An AI <ONTOLOGY>ontology</ONTOLOGY>. ## A comprehensive knowledge graph of artificial intelligence tasks and benchmarks The <ONTOLOGY>Intelligence Task Ontology and Knowledge Graph (ITO)</ONTOLOGY> provides comprehensive, curated and interlinked data of artificial intelligence tasks, benchmarks, AI performance metrics, benchmark results and research papers.",../results/deepseek-chat/prompt-0/zzz_OpenBioLink_ITO_master_README.md.tsv\a72041ec.txt,1.0
3,**You can explore ITO in our [ITO Explorer](https://openbiolink.github.io/ITOExplorer/) dashboard or browse the ITO class hierarchy [online at BioPortal](https://bioportal.bioontology.org/ontologies/ITO/?,**You can explore <ONTOLOGY>ITO</ONTOLOGY> in our [<SOFTWARE>ITO Explorer</SOFTWARE>](https://openbiolink.github.io/<SOFTWARE>ITOExplorer</SOFTWARE>/) dashboard or browse the <ONTOLOGY>ITO</ONTOLOGY> class hierarchy [online at <SOFTWARE>BioPortal</SOFTWARE>](https://<SOFTWARE>bioportal</SOFTWARE>.bioontology.org/ontologies/<ONTOLOGY>ITO</ONTOLOGY>/?,**You can explore ITO in our [ITO Explorer](https://openbiolink.github.io/ITOExplorer/) dashboard or browse the ITO class hierarchy [online at BioPortal](https://bioportal.bioontology.org/ontologies/ITO/?,**You can explore <ONTOLOGY>ITO</ONTOLOGY> in our [<SOFTWARE>ITO Explorer</SOFTWARE>](https://openbiolink.github.io/ITOExplorer/) dashboard or browse the <ONTOLOGY>ITO</ONTOLOGY> class hierarchy [online at <SOFTWARE>BioPortal</SOFTWARE>](https://bioportal.bioontology.org/ontologies/<ONTOLOGY>ITO</ONTOLOGY>/?,../results/deepseek-chat/prompt-0/zzz_OpenBioLink_ITO_master_README.md.tsv\a7fe599e.txt,1.0
4,"p=classes&conceptid=https%3A%2F%2Fidentifiers.org%2Fito%3AITO_00141).**  ### Examples ITO aims to provide a richly structured hierarchy of processes, algorithms, data and performance metrics.","p=classes&conceptid=https%3A%2F%2Fidentifiers.org%2Fito%3A<ONTOLOGY>ITO</ONTOLOGY>_00141).**  ### Examples <ONTOLOGY>ITO</ONTOLOGY> aims to provide a richly structured hierarchy of processes, algorithms, data and performance metrics.","p=classes&conceptid=https%3A%2F%2Fidentifiers.org%2Fito%3AITO_00141).**  ### Examples ITO aims to provide a richly structured hierarchy of processes, algorithms, data and performance metrics.","p=classes&conceptid=https%3A%2F%2Fidentifiers.org%2Fito%3AITO_00141).**  ### Examples <ONTOLOGY>ITO</ONTOLOGY> aims to provide a richly structured hierarchy of processes, algorithms, data and performance metrics.",../results/deepseek-chat/prompt-0/zzz_OpenBioLink_ITO_master_README.md.tsv\0d9d606b.txt,1.0
5,Data on thousands of AI benchmark results have been imported from [Papers With Code](https://paperswithcode.com/) and are further curated.,Data on thousands of AI benchmark results have been imported from [<PROJECT>Papers With Code</PROJECT>](https://<PROJECT>paperswithcode</PROJECT>.com/) and are further curated.,Data on thousands of AI benchmark results have been imported from [Papers With Code](https://paperswithcode.com/) and are further curated.,Data on thousands of AI benchmark results have been imported from [<PROJECT>Papers With Code</PROJECT>](https://<PROJECT>paperswithcode</PROJECT>.com/) and are further curated.,../results/deepseek-chat/prompt-0/zzz_OpenBioLink_ITO_master_README.md.tsv\739c8e28.txt,1.0
6,An example of a benchmark result embedded in an ontological hierarchy:  !,An example of a benchmark result embedded in an ontological hierarchy:  !,An example of a benchmark result embedded in an ontological hierarchy:  !,An example of a benchmark result embedded in an ontological hierarchy:  !,../results/deepseek-chat/prompt-0/zzz_OpenBioLink_ITO_master_README.md.tsv\5bbc6b82.txt,1.0
7,[MRI Example Hierarchy](/media/example-hierarchy-1-detail-with-score.PNG)  Exploring the class hierarchy:  > !,[MRI Example Hierarchy](/media/example-hierarchy-1-detail-with-score.PNG)  Exploring the class hierarchy:  > !,[MRI Example Hierarchy](/media/example-hierarchy-1-detail-with-score.PNG)  Exploring the class hierarchy:  > !,[MRI Example Hierarchy](/media/example-hierarchy-1-detail-with-score.PNG)  Exploring the class hierarchy:  > !,../results/deepseek-chat/prompt-0/zzz_OpenBioLink_ITO_master_README.md.tsv\50a8ecef.txt,1.0
8,[Class hierarchy screen capture](media/screencapture-class-hierarchy-in-webprotege.gif)  Exploring the hierarchy of perfomance measures:  > !,[Class hierarchy screen capture](media/screencapture-class-hierarchy-in-webprotege.gif)  Exploring the hierarchy of perfomance measures:  > !,[Class hierarchy screen capture](media/screencapture-class-hierarchy-in-webprotege.gif)  Exploring the hierarchy of perfomance measures:  > !,[Class hierarchy screen capture](media/screencapture-class-hierarchy-in-webprotege.gif)  Exploring the hierarchy of perfomance measures:  > !,../results/deepseek-chat/prompt-0/zzz_OpenBioLink_ITO_master_README.md.tsv\a1d16963.txt,1.0
9,[Property hierarchy screen capture](media/screencapture-property-hierarchy-in-webprotege.gif)   ### Using ITO  ITO is made available as an OWL (Web Ontology Language) file.,[Property hierarchy screen capture](media/screencapture-property-hierarchy-in-webprotege.gif)   ### Using <ONTOLOGY>ITO</ONTOLOGY>  <ONTOLOGY>ITO</ONTOLOGY> is made available as an OWL (Web Ontology Language) file.,[Property hierarchy screen capture](media/screencapture-property-hierarchy-in-webprotege.gif)   ### Using ITO  ITO is made available as an OWL (Web Ontology Language) file.,[Property hierarchy screen capture](media/screencapture-property-hierarchy-in-webprotege.gif)   ### Using <ONTOLOGY>ITO</ONTOLOGY>  <ONTOLOGY>ITO</ONTOLOGY> is made available as an OWL (Web Ontology Language) file.,../results/deepseek-chat/prompt-0/zzz_OpenBioLink_ITO_master_README.md.tsv\34958a38.txt,1.0
10,You can use the [Protege ontology editor](https://protege.stanford.edu/) to explore and edit the resource.,You can use the [<SOFTWARE>Protege ontology editor</SOFTWARE>](https://<SOFTWARE>protege</SOFTWARE>.stanford.edu/) to explore and edit the resource.,You can use the `Protege ontology editor` to explore and edit the resource.,You can use the `<SOFTWARE>Protege ontology editor</SOFTWARE>` to explore and edit the resource.,../results/deepseek-chat/prompt-0/zzz_OpenBioLink_ITO_master_README.md.tsv\666bec99.txt,0.8066298342541437
