sentence_idx,original_sentence,original_annotated,de_annotated_content,generated_annotated,source_file,similarity_score
1,"# DC-ShadowNet (ICCV'2021)  ## Introduction > [DC-ShadowNet: Single-Image Hard and Soft Shadow Removal Using Unsupervised Domain-Classifier Guided Network](https://arxiv.org/abs/2207.10434)<br> >  International Conference on Computer Vision (ICCV'2021)  [Yeying Jin](https://jinyeying.github.io/), [Aashish Sharma](https://aasharma90.github.io/) and [Robby T.","# DC-ShadowNet (<CONFERENCE>ICCV'2021</CONFERENCE>)  ## Introduction > [<PUBLICATION>DC-ShadowNet: Single-Image Hard and Soft Shadow Removal Using Unsupervised Domain-Classifier Guided Network</PUBLICATION>](https://arxiv.org/abs/2207.10434)<br> >  <CONFERENCE>International Conference on Computer Vision (ICCV'2021)</CONFERENCE>  [Yeying Jin](https://jinyeying.github.io/), [Aashish Sharma](https://aasharma90.github.io/) and [Robby T.","# DC-ShadowNet (ICCV'2021)  ## Introduction > [DC-ShadowNet: Single-Image Hard and Soft Shadow Removal Using Unsupervised Domain-Classifier Guided Network](https://arxiv.org/abs/2207.10434)<br> >  International Conference on Computer Vision (ICCV'2021)  [Yeying Jin](https://jinyeying.github.io/), [Aashish Sharma](https://aasharma90.github.io/) and [Robby T.","# <SOFTWARE>DC-ShadowNet</SOFTWARE> (<CONFERENCE>ICCV'2021</CONFERENCE>)  ## Introduction > [<PUBLICATION>DC-ShadowNet: Single-Image Hard and Soft Shadow Removal Using Unsupervised Domain-Classifier Guided Network</PUBLICATION>](https://arxiv.org/abs/2207.10434)<br> >  <CONFERENCE>International Conference on Computer Vision (ICCV'2021)</CONFERENCE>  [Yeying Jin](https://jinyeying.github.io/), [Aashish Sharma](https://aasharma90.github.io/) and [Robby T.",../results/deepseek-chat/prompt-0/zzz_jinyeying_DC-ShadowNet-Hard-and-Soft-Shadow-Removal_main_README.md.tsv\239bf812.txt,1.0
2,Tan](https://tanrobby.github.io/pub.html)  [!,Tan](https://tanrobby.github.io/pub.html)  [!,[Tan](https://tanrobby.github.io/pub.html)  [!,[Tan](https://tanrobby.github.io/pub.html)  [!,../results/deepseek-chat/prompt-0/zzz_jinyeying_DC-ShadowNet-Hard-and-Soft-Shadow-Removal_main_README.md.tsv\0b258212.txt,0.989010989010989
3,[arXiv](https://img.shields.io/badge/arXiv-Paper-<COLOR>.svg)](https://arxiv.org/abs/2207.10434) [[Paper]](https://openaccess.thecvf.com/content/ICCV2021/papers/Jin_DC-ShadowNet_Single-Image_Hard_and_Soft_Shadow_Removal_Using_Unsupervised_Domain-Classifier_ICCV_2021_paper.pdf)  [[Supplementary]](https://openaccess.thecvf.com/content/ICCV2021/supplemental/Jin_DC-ShadowNet_Single-Image_Hard_ICCV_2021_supplemental.pdf)  [[Poster]](poster_slides/DC-ShadowNet_poster.pdf) [[Slides]](poster_slides/DC-ShadowNet_slides.pdf)  [[Video]](https://www.bilibili.com/video/BV12e411H7bx/?,[arXiv](https://img.shields.io/badge/arXiv-Paper-<COLOR>.svg)](https://arxiv.org/abs/2207.10434) [[Paper]](https://openaccess.thecvf.com/content/<CONFERENCE>ICCV2021</CONFERENCE>/papers/Jin_DC-ShadowNet_Single-Image_Hard_and_Soft_Shadow_Removal_Using_Unsupervised_Domain-Classifier_ICCV_2021_paper.pdf)  [[Supplementary]](https://openaccess.thecvf.com/content/<CONFERENCE>ICCV2021</CONFERENCE>/supplemental/Jin_DC-ShadowNet_Single-Image_Hard_ICCV_2021_supplemental.pdf)  [[Poster]](poster_slides/DC-ShadowNet_poster.pdf) [[Slides]](poster_slides/DC-ShadowNet_slides.pdf)  [[Video]](https://www.<SOFTWARE>bilibili</SOFTWARE>.com/video/BV12e411H7bx/?,[arXiv](https://img.shields.io/badge/arXiv-Paper-<COLOR>.svg)](https://arxiv.org/abs/2207.10434) [[Paper]](https://openaccess.thecvf.com/content/ICCV2021/papers/Jin_DC-ShadowNet_Single-Image_Hard_and_Soft_Shadow_Removal_Using_Unsupervised_Domain-Classifier_ICCV_2021_paper.pdf)  [[Supplementary]](https://openaccess.thecvf.com/content/ICCV2021/supplemental/Jin_DC-ShadowNet_Single-Image_Hard_ICCV_2021_supplemental.pdf)  [[Poster]](poster_slides/DC-ShadowNet_poster.pdf) [[Slides]](poster_slides/DC-ShadowNet_slides.pdf)  [[Video]](https://www.bilibili.com/video/BV12e411H7bx/?,[arXiv](https://img.shields.io/badge/arXiv-<PUBLICATION>Paper</PUBLICATION>-<COLOR>.svg)](https://arxiv.org/abs/2207.10434) [[<PUBLICATION>Paper</PUBLICATION>]](https://openaccess.thecvf.com/content/<CONFERENCE>ICCV2021</CONFERENCE>/papers/Jin_DC-ShadowNet_Single-Image_Hard_and_Soft_Shadow_Removal_Using_Unsupervised_Domain-Classifier_<CONFERENCE>ICCV_2021</CONFERENCE>_paper.pdf)  [[Supplementary]](https://openaccess.thecvf.com/content/<CONFERENCE>ICCV2021</CONFERENCE>/supplemental/Jin_DC-ShadowNet_Single-Image_Hard_<CONFERENCE>ICCV_2021</CONFERENCE>_supplemental.pdf)  [[Poster]](poster_slides/DC-ShadowNet_poster.pdf) [[Slides]](poster_slides/DC-ShadowNet_slides.pdf)  [[Video]](https://www.bilibili.com/video/BV12e411H7bx/?,../results/deepseek-chat/prompt-0/zzz_jinyeying_DC-ShadowNet-Hard-and-Soft-Shadow-Removal_main_README.md.tsv\696f0171.txt,1.0
4,share_source=copy_web&vd_source=2da049ce4677af057256ebc4a00a8292)  [[Zhihu]](https://zhuanlan.zhihu.com/p/474123242)  [!,share_source=copy_web&vd_source=2da049ce4677af057256ebc4a00a8292)  [[Zhihu]](https://zhuanlan.zhihu.com/p/474123242)  [!,share_source=copy_web&vd_source=2da049ce4677af057256ebc4a00a8292)  [[Zhihu]](https://zhuanlan.zhihu.com/p/474123242)  [!,share_source=copy_web&vd_source=2da049ce4677af057256ebc4a00a8292)  [[Zhihu]](https://zhuanlan.zhihu.com/p/474123242)  [!,../results/deepseek-chat/prompt-0/zzz_jinyeying_DC-ShadowNet-Hard-and-Soft-Shadow-Removal_main_README.md.tsv\cde28797.txt,1.0
5,[PWC](https://img.shields.io/endpoint.svg?,[PWC](https://img.shields.io/endpoint.svg?,[PWC](https://img.shields.io/endpoint.svg?,[<PROJECT>PWC</PROJECT>](https://img.shields.io/endpoint.svg?,../results/deepseek-chat/prompt-0/zzz_jinyeying_DC-ShadowNet-Hard-and-Soft-Shadow-Removal_main_README.md.tsv\406681ad.txt,1.0
6,url=https://paperswithcode.com/badge/dc-shadownet-single-image-hard-and-soft-1/shadow-removal-on-srd)](https://paperswithcode.com/sota/shadow-removal-on-srd?,url=https://<PROJECT>paperswithcode</PROJECT>.com/badge/dc-shadownet-single-image-hard-and-soft-1/shadow-removal-on-srd)](https://<PROJECT>paperswithcode</PROJECT>.com/sota/shadow-removal-on-srd?,url=https://paperswithcode.com/badge/dc-shadownet-single-image-hard-and-soft-1/shadow-removal-on-srd)(https://paperswithcode.com/sota/shadow-removal-on-srd?,url=https://<PROJECT>paperswithcode</PROJECT>.com/badge/dc-shadownet-single-image-hard-and-soft-1/shadow-removal-on-<DATASET>srd</DATASET>)(https://<PROJECT>paperswithcode</PROJECT>.com/sota/shadow-removal-on-<DATASET>srd</DATASET>?,../results/deepseek-chat/prompt-0/zzz_jinyeying_DC-ShadowNet-Hard-and-Soft-Shadow-Removal_main_README.md.tsv\ddb0dcf6.txt,0.9968051118210862
7,p=dc-shadownet-single-image-hard-and-soft-1) [!,p=dc-shadownet-single-image-hard-and-soft-1) [!,p=dc-shadownet-single-image-hard-and-soft-1) [!,p=dc-<SOFTWARE>shadownet</SOFTWARE>-single-image-hard-and-soft-1) [!,../results/deepseek-chat/prompt-0/zzz_jinyeying_DC-ShadowNet-Hard-and-Soft-Shadow-Removal_main_README.md.tsv\b5045036.txt,1.0
8,[PWC](https://img.shields.io/endpoint.svg?,[PWC](https://img.shields.io/endpoint.svg?,[PWC](https://img.shields.io/endpoint.svg?,[<PROJECT>PWC</PROJECT>](https://img.shields.io/endpoint.svg?,../results/deepseek-chat/prompt-0/zzz_jinyeying_DC-ShadowNet-Hard-and-Soft-Shadow-Removal_main_README.md.tsv\406681ad.txt,1.0
9,url=https://paperswithcode.com/badge/dc-shadownet-single-image-hard-and-soft-1/shadow-removal-on-istd)](https://paperswithcode.com/sota/shadow-removal-on-istd?,url=https://<PROJECT>paperswithcode</PROJECT>.com/badge/dc-shadownet-single-image-hard-and-soft-1/shadow-removal-on-istd)](https://<PROJECT>paperswithcode</PROJECT>.com/sota/shadow-removal-on-istd?,url=https://paperswithcode.com/badge/dc-shadownet-single-image-hard-and-soft-1/shadow-removal-on-istd)(https://paperswithcode.com/sota/shadow-removal-on-istd?,url=https://<PROJECT>paperswithcode</PROJECT>.com/badge/dc-shadownet-single-image-hard-and-soft-1/shadow-removal-on-<DATASET>istd</DATASET>)(https://<PROJECT>paperswithcode</PROJECT>.com/sota/shadow-removal-on-<DATASET>istd</DATASET>?,../results/deepseek-chat/prompt-0/zzz_jinyeying_DC-ShadowNet-Hard-and-Soft-Shadow-Removal_main_README.md.tsv\4214ed61.txt,0.9968454258675079
10,p=dc-shadownet-single-image-hard-and-soft-1)  ## Prerequisites ``` git clone https://github.com/jinyeying/DC-ShadowNet-Hard-and-Soft-Shadow-Removal.git cd DC-ShadowNet-Hard-and-Soft-Shadow-Removal/ conda create -n shadow python=3.7 conda activate shadow conda install pytorch=1.10.2 torchvision torchaudio cudatoolkit=11.3 -c pytorch python3 -m pip install -r requirements.txt ```  ## Datasets 1.,p=dc-shadownet-single-image-hard-and-soft-1)  ## Prerequisites ``` <SOFTWARE>git</SOFTWARE> clone https://github.com/jinyeying/DC-ShadowNet-Hard-and-Soft-Shadow-Removal.git cd DC-ShadowNet-Hard-and-Soft-Shadow-Removal/ <SOFTWARE>conda</SOFTWARE> create -n shadow <PROGLANG>python=3.7</PROGLANG> <SOFTWARE>conda</SOFTWARE> activate shadow <SOFTWARE>conda</SOFTWARE> install <SOFTWARE>pytorch=1.10.2</SOFTWARE> <SOFTWARE>torchvision</SOFTWARE> <SOFTWARE>torchaudio</SOFTWARE> <SOFTWARE>cudatoolkit=11.3</SOFTWARE> -c <SOFTWARE>pytorch</SOFTWARE> <SOFTWARE>python3</SOFTWARE> -m <SOFTWARE>pip</SOFTWARE> install -r requirements.txt ```  ## Datasets 1.,p=dc-shadownet-single-image-hard-and-soft-1)  ## Prerequisites ``` git clone https://github.com/jinyeying/DC-ShadowNet-Hard-and-Soft-Shadow-Removal.git cd DC-ShadowNet-Hard-and-Soft-Shadow-Removal/ conda create -n shadow python=3.7 conda activate shadow conda install pytorch=1.10.2 torchvision torchaudio cudatoolkit=11.3 -c pytorch python3 -m pip install -r requirements.txt ```  ## Datasets 1.,p=dc-shadownet-single-image-hard-and-soft-1)  ## Prerequisites ``` git clone https://github.com/jinyeying/<SOFTWARE>DC-ShadowNet-Hard-and-Soft-Shadow-Removal</SOFTWARE>.git cd <SOFTWARE>DC-ShadowNet-Hard-and-Soft-Shadow-Removal</SOFTWARE>/ conda create -n shadow <PROGLANG>python</PROGLANG>=3.7 conda activate shadow conda install <SOFTWARE>pytorch</SOFTWARE>=1.10.2 <SOFTWARE>torchvision</SOFTWARE> <SOFTWARE>torchaudio</SOFTWARE> <SOFTWARE>cudatoolkit</SOFTWARE>=11.3 -c <SOFTWARE>pytorch</SOFTWARE> <PROGLANG>python3</PROGLANG> -m pip install -r requirements.txt ```  ## <DATASET>Datasets</DATASET> 1.,../results/deepseek-chat/prompt-0/zzz_jinyeying_DC-ShadowNet-Hard-and-Soft-Shadow-Removal_main_README.md.tsv\2deb2aac.txt,1.0
