sentence_idx,original_sentence,original_annotated,de_annotated_content,generated_annotated,source_file,similarity_score
1,# Awesome Active Learning for Medical Image Analysis  [!,# <PROJECT>Awesome Active Learning for Medical Image Analysis</PROJECT>  [!,# Awesome Active Learning for Medical Image Analysis [!,# Awesome <PROJECT>Active Learning for Medical Image Analysis</PROJECT> [!,../results/deepseek-chat/prompt-0/zzz_lighterswang_awesome-active-learning-for-medical-image-analysis_main_README.md.tsv\fd74d9e0.txt,0.990990990990991
2,[Awesome](https://awesome.re/badge.svg)](https://awesome.re) [!,[Awesome](https://awesome.re/badge.svg)](https://awesome.re) [!,[Awesome](https://awesome.re/badge.svg)](https://awesome.re) [!,[<PROJECT>Awesome</PROJECT>](https://awesome.re/badge.svg)](https://awesome.re) [!,../results/deepseek-chat/prompt-0/zzz_lighterswang_awesome-active-learning-for-medical-image-analysis_main_README.md.tsv\d98ed6c7.txt,1.0
3,[arXiv](https://img.shields.io/badge/arXiv-2310.14230-b31b1b.svg)](https://arxiv.org/abs/2310.14230)  **🎉 🎉 🎉  Our survey is accepted by Medical Image Analysis (IF = 10.9) !,[arXiv](https://img.shields.io/badge/arXiv-2310.14230-b31b1b.svg)](https://arxiv.org/abs/2310.14230)  **🎉 🎉 🎉  Our survey is accepted by Medical Image Analysis (IF = 10.9) !,`[arXiv](https://img.shields.io/badge/arXiv-2310.14230-b31b1b.svg)](https://arxiv.org/abs/2310.14230)  **🎉 🎉 🎉  Our survey is accepted by Medical Image Analysis (IF = 10.9) !`,`[arXiv](https://img.shields.io/badge/arXiv-2310.14230-b31b1b.svg)](https://arxiv.org/abs/2310.14230)  **🎉 🎉 🎉  Our survey is accepted by <PUBLICATION>Medical Image Analysis</PUBLICATION> (IF = 10.9) !`,../results/deepseek-chat/prompt-0/zzz_lighterswang_awesome-active-learning-for-medical-image-analysis_main_README.md.tsv\d0ca2b59.txt,0.9942528735632183
4,"**  In this repo, we provide a paper list of active learning in the fields of medical image analysis and computer vision.","**  In this repo, we provide a paper list of active learning in the fields of medical image analysis and computer vision.","**  In this repo, we provide a paper list of active learning in the fields of medical image analysis and computer vision.","**  In this repo, we provide a paper list of active learning in the fields of medical image analysis and computer vision.",../results/deepseek-chat/prompt-0/zzz_lighterswang_awesome-active-learning-for-medical-image-analysis_main_README.md.tsv\f82cbad0.txt,1.0
5,We focus on active learning papers of medical image analysis which were published on top-tier journals or conferences.,We focus on active learning papers of medical image analysis which were published on top-tier journals or conferences.,We focus on active learning papers of medical image analysis which were published on top-tier journals or `conferences`.,We focus on active learning papers of medical image analysis which were published on top-tier journals or `<CONFERENCE>conferences</CONFERENCE>`.,../results/deepseek-chat/prompt-0/zzz_lighterswang_awesome-active-learning-for-medical-image-analysis_main_README.md.tsv\3ea84bae.txt,0.9915966386554622
6,"Also, we provide the code to evaluate different active learning methods on multiple medical imaging datasets of classification or segmentation.","Also, we provide the code to evaluate different active learning methods on multiple medical imaging datasets of classification or segmentation.","Also, we provide the code to evaluate different active learning methods on multiple medical imaging `datasets` of classification or segmentation.","Also, we provide the code to evaluate different active learning methods on multiple medical imaging `<DATASET>datasets</DATASET>` of classification or segmentation.",../results/deepseek-chat/prompt-0/zzz_lighterswang_awesome-active-learning-for-medical-image-analysis_main_README.md.tsv\853856a7.txt,0.9930555555555556
7,Please refer to the `code` folder.,Please refer to the `code` folder.,Please refer to the `code` folder.,Please refer to the `code` folder.,../results/deepseek-chat/prompt-0/zzz_lighterswang_awesome-active-learning-for-medical-image-analysis_main_README.md.tsv\5e16a216.txt,1.0
8,"This repo is mainly based on the following survey:   **A comprehensive survey on deep active learning in medical image analysis**   _Haoran Wang, Qiuye Jin, Shiman Li, Siyu Liu, Manning Wang*, Zhijian Song*_   _\* -- Corresponding Author_   [Paper](https://www.sciencedirect.com/science/article/pii/S1361841524001269) | [arXiv](https://arxiv.org/abs/2310.14230)  If you find this repo or this survey paper helpful, please consider citing:  ```bibtex @article{wang2024comprehensive,   title={A comprehensive survey on deep active learning in medical image analysis},   author={Wang, Haoran and Jin, Qiuye and Li, Shiman and Liu, Siyu and Wang, Manning and Song, Zhijian},   journal={Medical Image Analysis},   pages={103201},   year={2024},   publisher={Elsevier} } ```  Currently, I am actively updating this repo.","This repo is mainly based on the following survey:   **<PUBLICATION>A comprehensive survey on deep active learning in medical image analysis</PUBLICATION>**   _Haoran Wang, Qiuye Jin, Shiman Li, Siyu Liu, Manning Wang*, Zhijian Song*_   _\* -- Corresponding Author_   [Paper](https://www.sciencedirect.com/science/article/pii/S1361841524001269) | [arXiv](https://arxiv.org/abs/2310.14230)  If you find this repo or this survey paper helpful, please consider citing:  ```bibtex @article{wang2024comprehensive,   title={<PUBLICATION>A comprehensive survey on deep active learning in medical image analysis</PUBLICATION>},   author={Wang, Haoran and Jin, Qiuye and Li, Shiman and Liu, Siyu and Wang, Manning and Song, Zhijian},   journal={Medical Image Analysis},   pages={103201},   year={2024},   publisher={Elsevier} } ```  Currently, I am actively updating this repo.","This repo is mainly based on the following survey:   **A comprehensive survey on deep active learning in medical image analysis**   _Haoran Wang, Qiuye Jin, Shiman Li, Siyu Liu, Manning Wang*, Zhijian Song*_   _\* -- Corresponding Author_   [Paper](https://www.sciencedirect.com/science/article/pii/S1361841524001269) | [arXiv](https://arxiv.org/abs/2310.14230)  If you find this repo or this survey paper helpful, please consider citing:  ```bibtex @article{wang2024comprehensive,   title={A comprehensive survey on deep active learning in medical image analysis},   author={Wang, Haoran and Jin, Qiuye and Li, Shiman and Liu, Siyu and Wang, Manning and Song, Zhijian},   journal={Medical Image Analysis},   pages={103201},   year={2024},   publisher={Elsevier} } ```  Currently, I am actively updating this repo.","This repo is mainly based on the following survey:   **<PUBLICATION>A comprehensive survey on deep active learning in medical image analysis</PUBLICATION>**   _Haoran Wang, Qiuye Jin, Shiman Li, Siyu Liu, Manning Wang*, Zhijian Song*_   _\* -- Corresponding Author_   [Paper](https://www.sciencedirect.com/science/article/pii/S1361841524001269) | [arXiv](https://arxiv.org/abs/2310.14230)  If you find this repo or this survey paper helpful, please consider citing:  ```bibtex @article{wang2024comprehensive,   title={<PUBLICATION>A comprehensive survey on deep active learning in medical image analysis</PUBLICATION>},   author={Wang, Haoran and Jin, Qiuye and Li, Shiman and Liu, Siyu and Wang, Manning and Song, Zhijian},   journal={<PUBLICATION>Medical Image Analysis</PUBLICATION>},   pages={103201},   year={2024},   publisher={Elsevier} } ```  Currently, I am actively updating this repo.",../results/deepseek-chat/prompt-0/zzz_lighterswang_awesome-active-learning-for-medical-image-analysis_main_README.md.tsv\4147f6d7.txt,1.0
9,Newly published papers and missing papers of related topics will be added.,Newly published papers and missing papers of related topics will be added.,Newly published `papers` and missing `papers` of related topics will be added.,Newly published `<PUBLICATION>papers</PUBLICATION>` and missing `<PUBLICATION>papers</PUBLICATION>` of related topics will be added.,../results/deepseek-chat/prompt-0/zzz_lighterswang_awesome-active-learning-for-medical-image-analysis_main_README.md.tsv\5bb3e6f7.txt,0.9736842105263158
10,"**Please star us if you find this repo helpful ⭐**  **If you have any questions or suggestions, or if you think your paper fits our framework and should be added in the survey, feel free to contact me through e-mail (hrwang20@fudan.edu.cn) or create an issue in this repo.**  We also welcome contributions to this repo for updating the paper list.","**Please star us if you find this repo helpful ⭐**  **If you have any questions or suggestions, or if you think your paper fits our framework and should be added in the survey, feel free to contact me through e-mail (hrwang20@fudan.edu.cn) or create an issue in this repo.**  We also welcome contributions to this repo for updating the paper list.","**Please star us if you find this repo helpful ⭐**  **If you have any questions or suggestions, or if you think your paper fits our framework and should be added in the survey, feel free to contact me through e-mail (hrwang20@fudan.edu.cn) or create an issue in this repo.**  We also welcome contributions to this repo for updating the paper list.","**Please star us if you find this repo helpful ⭐**  **If you have any questions or suggestions, or if you think your <PUBLICATION>paper</PUBLICATION> fits our framework and should be added in the survey, feel free to contact me through e-mail (hrwang20@fudan.edu.cn) or create an issue in this repo.**  We also welcome contributions to this repo for updating the <PUBLICATION>paper</PUBLICATION> list.",../results/deepseek-chat/prompt-0/zzz_lighterswang_awesome-active-learning-for-medical-image-analysis_main_README.md.tsv\3743eeaa.txt,1.0
