sentence_idx,original_sentence,original_annotated,de_annotated_content,generated_annotated,source_file,similarity_score
1,"# sql4ml  Sql4ml is a Haskell project that takes as input SQL code which defines the objective/cost/loss function of a supervised machine learning model (ML), as well as a set of parameters, and generates TensorFlow (Python API) code that trains this model.","# sql4ml  Sql4ml is a Haskell project that takes as input SQL code which defines the objective/cost/loss function of a supervised machine learning model (ML), as well as a set of parameters, and generates TensorFlow (Python API) code that trains this model.","# sql4ml  Sql4ml is a Haskell project that takes as input SQL code which defines the objective/cost/loss function of a supervised machine learning model (ML), as well as a set of parameters, and generates TensorFlow (Python API) code that trains this model.","# sql4ml  <PROJECT>Sql4ml</PROJECT> is a <PROGLANG>Haskell</PROGLANG> project that takes as input <PROGLANG>SQL</PROGLANG> code which defines the objective/cost/loss function of a supervised machine learning model (ML), as well as a set of parameters, and generates <SOFTWARE>TensorFlow</SOFTWARE> (<PROGLANG>Python</PROGLANG> API) code that trains this model.",../results/deepseek-chat/prompt-0/zzz_nantiamak_sql4ml_master_README.md.tsv\b89c45f5.txt,1.0
2,"It is the prototype that is used in the paper ""Nantia Makrynioti, Ruy Ley-Wild and Vasilis Vassalos. sql4ml: a declarative end-to-end workflow for machine learning.""","It is the prototype that is used in the paper ""Nantia Makrynioti, Ruy Ley-Wild and Vasilis Vassalos. sql4ml: a declarative end-to-end workflow for machine learning.""","It is the prototype that is used in the paper `Nantia Makrynioti, Ruy Ley-Wild and Vasilis Vassalos. sql4ml: a declarative end-to-end workflow for machine learning.`","It is the prototype that is used in the paper `<PUBLICATION>Nantia Makrynioti, Ruy Ley-Wild and Vasilis Vassalos. sql4ml: a declarative end-to-end workflow for machine learning.</PUBLICATION>`",../results/deepseek-chat/prompt-0/zzz_nantiamak_sql4ml_master_README.md.tsv\ed8de166.txt,0.9878787878787879
3,(https://arxiv.org/abs/1907.12415).  ## Requirements  The software has been tested on macOS High Sierra and Ubuntu 16.04.,(https://arxiv.org/abs/1907.12415).  ## Requirements  The software has been tested on macOS High Sierra and Ubuntu 16.04.,(https://arxiv.org/abs/1907.12415).  ## Requirements  The software has been tested on macOS High Sierra and Ubuntu 16.04.,(https://arxiv.org/abs/1907.12415).  ## Requirements  The <SOFTWARE>software</SOFTWARE> has been tested on <PROGLANG>macOS High Sierra</PROGLANG> and <PROGLANG>Ubuntu 16.04</PROGLANG>.,../results/deepseek-chat/prompt-0/zzz_nantiamak_sql4ml_master_README.md.tsv\58b33bba.txt,1.0
4,To compile it you need to install the Haskell Platform (https://www.haskell.org/platform/).,To compile it you need to install the Haskell Platform (https://www.haskell.org/platform/).,To compile it you need to install the `Haskell Platform` (https://www.haskell.org/platform/).,To compile it you need to install the `<SOFTWARE>Haskell Platform</SOFTWARE>` (https://www.haskell.org/platform/).,../results/deepseek-chat/prompt-0/zzz_nantiamak_sql4ml_master_README.md.tsv\b5dec6cd.txt,0.9891304347826086
5,"See also the section on installation on how to build dependent projects.  ## Installation  Sql4ml uses the open source project queryparser (https://github.com/uber/queryparser), also in Haskell.","See also the section on installation on how to build dependent projects.  ## Installation  Sql4ml uses the open source project queryparser (https://github.com/uber/queryparser), also in Haskell.","See also the section on installation on how to build dependent projects.  ## Installation  Sql4ml uses the open source queryparser (https://github.com/uber/queryparser), also in Haskell.","See also the section on installation on how to build dependent projects.  ## Installation  <SOFTWARE>Sql4ml</SOFTWARE> uses the open source <PROJECT>queryparser</PROJECT> (https://github.com/uber/<PROJECT>queryparser</PROJECT>), also in <PROGLANG>Haskell</PROGLANG>.",../results/deepseek-chat/prompt-0/zzz_nantiamak_sql4ml_master_README.md.tsv\9b53e310.txt,0.9789473684210527
6,"To build queryparser, follow the instructions on the Github page of the project.","To build queryparser, follow the instructions on the Github page of the project.","To build `queryparser`, follow the instructions on the Github page of the `project`.","To build `<SOFTWARE>queryparser</SOFTWARE>`, follow the instructions on the Github page of the `<PROJECT>project</PROJECT>`.",../results/deepseek-chat/prompt-0/zzz_nantiamak_sql4ml_master_README.md.tsv\681349a3.txt,0.975609756097561
7,The sql4ml module is in file sql4ml_translator.hs.,The sql4ml module is in file sql4ml_translator.hs.,The `sql4ml module is in file `sql4ml_translator.hs.,The `<SOFTWARE>sql4ml</SOFTWARE> module is in file `<SOFTWARE>sql4ml_translator.hs</SOFTWARE>.,../results/deepseek-chat/prompt-0/zzz_nantiamak_sql4ml_master_README.md.tsv\e6315874.txt,0.9803921568627451
8,You can load the module via ghci.,You can load the module via ghci.,You can load the module via ghci.,You can load the module via <SOFTWARE>ghci</SOFTWARE>.,../results/deepseek-chat/prompt-0/zzz_nantiamak_sql4ml_master_README.md.tsv\59ffa781.txt,1.0
9,File main.hs containts two examples on how to translate SQL to TensorFlow code end-to-end.,File main.hs containts two examples on how to translate SQL to TensorFlow code end-to-end.,File main.hs containts two examples on how to translate SQL to TensorFlow code end-to-end.,File main.<PROGLANG>hs</PROGLANG> containts two examples on how to translate <PROGLANG>SQL</PROGLANG> to <PROGLANG>TensorFlow</PROGLANG> code end-to-end.,../results/deepseek-chat/prompt-0/zzz_nantiamak_sql4ml_master_README.md.tsv\33a836f8.txt,1.0
10,"To compile main.hs, run in a terminal:      ghc -o main main.hs  Sql4ml uses the MySQL database (https://www.mysql.com/) for storing data.","To compile main.hs, run in a terminal:      ghc -o main main.hs  Sql4ml uses the MySQL database (https://www.mysql.com/) for storing data.","To compile main.hs, run in a terminal:      ghc -o main main.hs  Sql4ml uses the MySQL database (https://www.mysql.com/) for storing data.","To compile main.hs, run in a terminal:      <PROGLANG>ghc</PROGLANG> -o main main.hs  <SOFTWARE>Sql4ml</SOFTWARE> uses the <SOFTWARE>MySQL</SOFTWARE> database (https://www.<SOFTWARE>mysql</SOFTWARE>.com/) for storing data.",../results/deepseek-chat/prompt-0/zzz_nantiamak_sql4ml_master_README.md.tsv\3cd68f80.txt,1.0
