sentence_idx,original_sentence,original_annotated,de_annotated_content,generated_annotated,source_file,similarity_score
0, , ,# 3.,# 3.,../results/deepseek-chat/prompt-0/zzz_tiehangd_Para_DPMM_master_readme.md.tsv\8718518a.txt,0.4
1,"####################################################################  Source code and datasets of Para-DPMM model for single cell transcriptomic clustering to reproduce results in paper ""[Parallel Clustering of Single Cell Transcriptomic Data with Split-Merge Sampling on Dirichlet Process Mixtures](https://arxiv.org/pdf/1812.10048.pdf)"", Author: Tiehang Duan; José P.","####################################################################  Source code and datasets of <SOFTWARE>Para-DPMM</SOFTWARE> model for single cell transcriptomic clustering to reproduce results in paper ""[<PUBLICATION>Parallel Clustering of Single Cell Transcriptomic Data with Split-Merge Sampling on Dirichlet Process Mixtures</PUBLICATION>](https://arxiv.org/pdf/1812.10048.pdf)"", Author: Tiehang Duan; José P.","####################################################################  Source code and datasets of Para-DPMM model for single cell transcriptomic clustering to reproduce results in paper ""Parallel Clustering of Single Cell Transcriptomic Data with Split-Merge Sampling on Dirichlet Process Mixtures"", Author: Tiehang Duan; José P.","####################################################################  Source code and datasets of <SOFTWARE>Para-DPMM</SOFTWARE> model for single cell transcriptomic clustering to reproduce results in paper ""<PUBLICATION>Parallel Clustering of Single Cell Transcriptomic Data with Split-Merge Sampling on Dirichlet Process Mixtures</PUBLICATION>"", Author: Tiehang Duan; José P.",../results/deepseek-chat/prompt-0/zzz_tiehangd_Para_DPMM_master_readme.md.tsv\2c4b041f.txt,0.9426934097421203
2,Pinto; Xiaohui Xie;   # 1.,Pinto; Xiaohui Xie;   # 1.,Pinto; Xiaohui Xie;   # 1.,Pinto; <PUBLICATION>Xiaohui Xie</PUBLICATION>;   # 1.,../results/deepseek-chat/prompt-0/zzz_tiehangd_Para_DPMM_master_readme.md.tsv\16be1738.txt,1.0
3,"Data Preparation:  In the datasets folder, we included the mat files that are used in the paper's experiment part.","Data Preparation:  In the datasets folder, we included the mat files that are used in the paper's experiment part.","Data Preparation:  In the datasets folder, we included the mat files that are used in the paper's experiment part.","Data Preparation:  In the <DATASET>datasets</DATASET> folder, we included the mat files that are used in the paper's experiment part.",../results/deepseek-chat/prompt-0/zzz_tiehangd_Para_DPMM_master_readme.md.tsv\268dba85.txt,1.0
4,"You can also prepare your own data following the procedures below.  ## 1.1  Download raw datasets from 10X genomics website (https://support.10xgenomics.com/single-cell-gene-expression/datasets) and store the files in the datasets folder;  ## 1.2  Follow the comments in ""data_preparation.m"" to modify the file names based on the downloaded data files;  ## 1.3  Follow the comments in ""data_preparation.m"" to set the number of cells (randomly selected) and top variable genes;  ## 1.4  Run ""data_preparation.m"";     # 2.","You can also prepare your own data following the procedures below.  ## 1.1  Download raw datasets from 10X genomics website (https://support.10xgenomics.com/single-cell-gene-expression/datasets) and store the files in the datasets folder;  ## 1.2  Follow the comments in ""data_preparation.m"" to modify the file names based on the downloaded data files;  ## 1.3  Follow the comments in ""data_preparation.m"" to set the number of cells (randomly selected) and top variable genes;  ## 1.4  Run ""data_preparation.m"";     # 2.","You can also prepare your own data following the procedures below.  ## 1.1  Download raw datasets from 10X genomics website (https://support.10xgenomics.com/single-cell-gene-expression/datasets) and store the files in the datasets folder;  ## 1.2  Follow the comments in ""data_preparation.m"" to modify the file names based on the downloaded data files;  ## 1.3  Follow the comments in ""data_preparation.m"" to set the number of cells (randomly selected) and top variable genes;  ## 1.4  Run ""data_preparation.m"";     # 2.","You can also prepare your own data following the procedures below.  ## 1.1  Download raw datasets from <PROJECT>10X genomics</PROJECT> website (https://support.<PROJECT>10xgenomics</PROJECT>.com/single-cell-gene-expression/<DATASET>datasets</DATASET>) and store the files in the datasets folder;  ## 1.2  Follow the comments in ""<SOFTWARE>data_preparation.m</SOFTWARE>"" to modify the file names based on the downloaded data files;  ## 1.3  Follow the comments in ""<SOFTWARE>data_preparation.m</SOFTWARE>"" to set the number of cells (randomly selected) and top variable genes;  ## 1.4  Run ""<SOFTWARE>data_preparation.m</SOFTWARE>"";     # 2.",../results/deepseek-chat/prompt-0/zzz_tiehangd_Para_DPMM_master_readme.md.tsv\987dfdf8.txt,1.0
5,"Usage (two options):  ## Option 1: Run Source Code   Enter the ""Para_DPMM_Source_Code"" Directory  We tested the code with Matlab2015a and gcc/4.8.4 (gcc/4.6.X and gcc/4.7.X should also work), the installation of following two libraries is needed:  1) GNU Scientific Library: http://www.gnu.org/software/gsl/ 2) Eigen library: http://eigen.tuxfamily.org/   Steps:  (1) Install the packages mentioned above (for the Eigen library, you only need to place the unzipped files inside the ""eigen"" directory);  (2) Start Matlab, enter the ""main"" sub directory in Matlab;  (3) In Matlab, run compile_MEX.m;  (4) Run Para_DPMM.m, follow the guidelines given in the program (an example):       1> Please enter dataset path:  data_matrix_1_S_Set.mat            2> Please enter number of processors:  16            3> Please set the value of alpha:  1            4> Please enter computing time limit (seconds):  20  (5) Result: The training iteration and computation time log is saved in Para_DPMM_output.txt, the clustering result is saved in Para_DPMM_result.mat, where z is the clustering result of Para_DPMM model, label is the ground truth cluster label, AR is Adjusted Random Index, RI is Random Index benchmark, MI is ""Mirkin's"" index and HI is ""Hubert's"" index.     ## Option 2: Run Compiled Package  The execution of compiled package is tested on HPC clusters with module gcc/6.1.0, gsl/2.3 and MATLAB/r2017b loaded;   Steps:  ### (1) On HPC command line:        1> module load gcc/6.1.0        2> module load gsl/2.3        3> module load MATLAB/r2017b        4> .","Usage (two options):  ## Option 1: Run Source Code   Enter the ""Para_DPMM_Source_Code"" Directory  We tested the code with <SOFTWARE>Matlab2015a</SOFTWARE> and <SOFTWARE>gcc/4.8.4</SOFTWARE> (<SOFTWARE>gcc/4.6.X</SOFTWARE> and <SOFTWARE>gcc/4.7.X</SOFTWARE> should also work), the installation of following two libraries is needed:  1) <SOFTWARE>GNU Scientific Library</SOFTWARE>: http://www.gnu.org/software/<SOFTWARE>gsl</SOFTWARE>/ 2) <SOFTWARE>Eigen</SOFTWARE> library: http://<SOFTWARE>eigen</SOFTWARE>.tuxfamily.org/   Steps:  (1) Install the packages mentioned above (for the <SOFTWARE>Eigen</SOFTWARE> library, you only need to place the unzipped files inside the ""<SOFTWARE>eigen</SOFTWARE>"" directory);  (2) Start <SOFTWARE>Matlab</SOFTWARE>, enter the ""main"" sub directory in Matlab;  (3) In <SOFTWARE>Matlab</SOFTWARE>, run compile_MEX.m;  (4) Run Para_DPMM.m, follow the guidelines given in the program (an example):       1> Please enter dataset path:  data_matrix_1_S_Set.mat            2> Please enter number of processors:  16            3> Please set the value of alpha:  1            4> Please enter computing time limit (seconds):  20  (5) Result: The training iteration and computation time log is saved in Para_DPMM_output.txt, the clustering result is saved in Para_DPMM_result.mat, where z is the clustering result of Para_DPMM model, label is the ground truth cluster label, <EVALMETRIC>AR</EVALMETRIC> is <EVALMETRIC>Adjusted Random Index</EVALMETRIC>, <EVALMETRIC>RI</EVALMETRIC> is <EVALMETRIC>Random Index</EVALMETRIC> benchmark, <EVALMETRIC>MI</EVALMETRIC> is <EVALMETRIC>""Mirkin's"" index</EVALMETRIC> and <EVALMETRIC>HI</EVALMETRIC> is <EVALMETRIC>""Hubert's"" index</EVALMETRIC>.     ## Option 2: Run Compiled Package  The execution of compiled package is tested on HPC clusters with module <SOFTWARE>gcc/6.1.0</SOFTWARE>, <SOFTWARE>gsl/2.3</SOFTWARE> and <SOFTWARE>MATLAB/r2017b</SOFTWARE> loaded;   Steps:  ### (1) On HPC command line:        1> module load <SOFTWARE>gcc/6.1.0</SOFTWARE>        2> module load <SOFTWARE>gsl/2.3</SOFTWARE>        3> module load <SOFTWARE>MATLAB/r2017b</SOFTWARE>        4> .","Usage (two options):  ## Option 1: Run Source Code   Enter the ""Para_DPMM_Source_Code"" Directory  We tested the code with Matlab2015a and gcc/4.8.4 (gcc/4.6.X and gcc/4.7.X should also work), the installation of following two libraries is needed:  1) GNU Scientific Library: http://www.gnu.org/software/gsl/ 2) Eigen library: http://eigen.tuxfamily.org/   Steps:  (1) Install the packages mentioned above (for the Eigen library, you only need to place the unzipped files inside the ""eigen"" directory);  (2) Start Matlab, enter the ""main"" sub directory in Matlab;  (3) In Matlab, run compile_MEX.m;  (4) Run Para_DPMM.m, follow the guidelines given in the program (an example):       1> Please enter dataset path:  data_matrix_1_S_Set.mat            2> Please enter number of processors:  16            3> Please set the value of alpha:  1            4> Please enter computing time limit (seconds):  20  (5) Result: The training iteration and computation time log is saved in Para_DPMM_output.txt, the clustering result is saved in Para_DPMM_result.mat, where z is the clustering result of Para_DPMM model, label is the ground truth cluster label, AR is Adjusted Random Index, RI is Random Index benchmark, MI is ""Mirkin's"" index and HI is ""Hubert's"" index.     ## Option 2: Run Compiled Package  The execution of compiled package is tested on HPC clusters with module gcc/6.1.0, gsl/2.3 and MATLAB/r2017b loaded;   Steps:  ### (1) On HPC command line:        1> module load gcc/6.1.0        2> module load gsl/2.3        3> module load MATLAB/r2017b        4> .","Usage (two options):  ## Option 1: Run Source Code   Enter the ""<SOFTWARE>Para_DPMM_Source_Code</SOFTWARE>"" Directory  We tested the code with <PROGLANG>Matlab2015a</PROGLANG> and <PROGLANG>gcc/4.8.4</PROGLANG> (<PROGLANG>gcc/4.6.X</PROGLANG> and <PROGLANG>gcc/4.7.X</PROGLANG> should also work), the installation of following two libraries is needed:  1) <SOFTWARE>GNU Scientific Library</SOFTWARE>: http://www.gnu.org/software/gsl/ 2) <SOFTWARE>Eigen library</SOFTWARE>: http://eigen.tuxfamily.org/   Steps:  (1) Install the packages mentioned above (for the <SOFTWARE>Eigen library</SOFTWARE>, you only need to place the unzipped files inside the ""eigen"" directory);  (2) Start <PROGLANG>Matlab</PROGLANG>, enter the ""main"" sub directory in <PROGLANG>Matlab</PROGLANG>;  (3) In <PROGLANG>Matlab</PROGLANG>, run <SOFTWARE>compile_MEX.m</SOFTWARE>;  (4) Run <SOFTWARE>Para_DPMM.m</SOFTWARE>, follow the guidelines given in the program (an example):       1> Please enter dataset path:  <DATASET>data_matrix_1_S_Set.mat</DATASET>            2> Please enter number of processors:  16            3> Please set the value of alpha:  1            4> Please enter computing time limit (seconds):  20  (5) Result: The training iteration and computation time log is saved in <SOFTWARE>Para_DPMM_output.txt</SOFTWARE>, the clustering result is saved in <SOFTWARE>Para_DPMM_result.mat</SOFTWARE>, where z is the clustering result of <SOFTWARE>Para_DPMM</SOFTWARE> model, label is the ground truth cluster label, AR is <EVALMETRIC>Adjusted Random Index</EVALMETRIC>, RI is <EVALMETRIC>Random Index</EVALMETRIC> benchmark, MI is <EVALMETRIC>""Mirkin's"" index</EVALMETRIC> and HI is <EVALMETRIC>""Hubert's"" index</EVALMETRIC>.     ## Option 2: Run Compiled Package  The execution of compiled package is tested on HPC clusters with module <PROGLANG>gcc/6.1.0</PROGLANG>, <SOFTWARE>gsl/2.3</SOFTWARE> and <PROGLANG>MATLAB/r2017b</PROGLANG> loaded;   Steps:  ### (1) On HPC command line:        1> module load <PROGLANG>gcc/6.1.0</PROGLANG>        2> module load <SOFTWARE>gsl/2.3</SOFTWARE>        3> module load <PROGLANG>MATLAB/r2017b</PROGLANG>        4> .",../results/deepseek-chat/prompt-0/zzz_tiehangd_Para_DPMM_master_readme.md.tsv\ea37d33b.txt,1.0
6,/Para_DPMM  ### (2) Follow guidelines printed in the console (an example):        1> Please enter dataset path:  .,/Para_DPMM  ### (2) Follow guidelines printed in the console (an example):        1> Please enter dataset path:  .,/Para_DPMM  ### (2) Follow guidelines printed in the console (an example):        1> Please enter dataset path:  .,/Para_DPMM  ### (2) Follow guidelines printed in the console (an example):        1> Please enter <DATASET>dataset path</DATASET>:  .,../results/deepseek-chat/prompt-0/zzz_tiehangd_Para_DPMM_master_readme.md.tsv\77499f9e.txt,1.0
7,"/datasets/data_matrix_1_S_Set.mat        2> Please enter number of processors:  16        3> Please set the value of alpha:  1        4> Please enter computing time limit (seconds):  40    ### (3) Result  The training iteration and computation time log is saved in Para_DPMM_output.txt, the clustering result is saved in Para_DPMM_result.mat, where z is the clustering result of Para_DPMM model, label is the ground truth cluster label, AR is Adjusted Random Index, RI is Random Index benchmark, MI is ""Mirkin's"" index and HI is ""Hubert's"" index","/datasets/data_matrix_1_S_Set.mat        2> Please enter number of processors:  16        3> Please set the value of alpha:  1        4> Please enter computing time limit (seconds):  40    ### (3) Result  The training iteration and computation time log is saved in Para_DPMM_output.txt, the clustering result is saved in Para_DPMM_result.mat, where z is the clustering result of Para_DPMM model, label is the ground truth cluster label, <EVALMETRIC>AR</EVALMETRIC> is <EVALMETRIC>Adjusted Random Index</EVALMETRIC>, <EVALMETRIC>RI</EVALMETRIC> is <EVALMETRIC>Random Index</EVALMETRIC> benchmark, <EVALMETRIC>MI</EVALMETRIC> is <EVALMETRIC>""Mirkin's"" index</EVALMETRIC> and <EVALMETRIC>HI</EVALMETRIC> is <EVALMETRIC>""Hubert's"" index</EVALMETRIC>","/datasets/data_matrix_1_S_Set.mat        2> Please enter number of processors:  16        3> Please set the value of alpha:  1        4> Please enter computing time limit (seconds):  40    ### (3) Result  The training iteration and computation time log is saved in Para_DPMM_output.txt, the clustering result is saved in Para_DPMM_result.mat, where z is the clustering result of Para_DPMM model, label is the ground truth cluster label, AR is Adjusted Random Index, RI is Random Index benchmark, MI is ""Mirkin's"" index and HI is ""Hubert's"" index","/datasets/<DATASET>data_matrix_1_S_Set.mat</DATASET>        2> Please enter number of processors:  16        3> Please set the value of alpha:  1        4> Please enter computing time limit (seconds):  40    ### (3) Result  The training iteration and computation time log is saved in Para_DPMM_output.txt, the clustering result is saved in Para_DPMM_result.mat, where z is the clustering result of Para_DPMM model, label is the ground truth cluster label, AR is Adjusted Random Index, RI is Random Index benchmark, MI is ""<EVALMETRIC>Mirkin's</EVALMETRIC>"" index and HI is ""<EVALMETRIC>Hubert's</EVALMETRIC>"" index",../results/deepseek-chat/prompt-0/zzz_tiehangd_Para_DPMM_master_readme.md.tsv\09725670.txt,1.0
8,.,.,# 3.,# 3.,../results/deepseek-chat/prompt-0/zzz_tiehangd_Para_DPMM_master_readme.md.tsv\8718518a.txt,0.4
9,# 3.,# 3.,# 3.,# 3.,../results/deepseek-chat/prompt-0/zzz_tiehangd_Para_DPMM_master_readme.md.tsv\8718518a.txt,1.0
