sentence_idx,original_sentence,original_annotated,de_annotated_content,generated_annotated,source_file,similarity_score
1,# 🪄  Prompt-OIRL: Learning to Prompt LLMs with Expert Knowledge (Known Magic Words 🧙 )  ### 💻  Implementation and 📒  tutorial for ICLR 2024 paper   !,# 🪄  <SOFTWARE>Prompt-OIRL</SOFTWARE>: Learning to Prompt LLMs with Expert Knowledge (Known Magic Words 🧙 )  ### 💻  Implementation and 📒  tutorial for <CONFERENCE>ICLR 2024</CONFERENCE> paper   !,# 🪄  Prompt-OIRL: Learning to Prompt LLMs with Expert Knowledge (Known Magic Words 🧙 )  ### 💻  Implementation and 📒  tutorial for ICLR 2024 paper   !,# 🪄  <PROJECT>Prompt-OIRL</PROJECT>: Learning to Prompt LLMs with Expert Knowledge (Known Magic Words 🧙 )  ### 💻  Implementation and 📒  tutorial for <CONFERENCE>ICLR 2024</CONFERENCE> paper   !,../results/deepseek-chat/prompt-0/zzz_vanderschaarlab_prompt-oirl_main_README.md.tsv\47ed2f41.txt,1.0
2,[Image](prompt-oirl-title.png)  - [Paper Link](https://arxiv.org/pdf/2309.06553.pdf) - [Open Review Link](https://openreview.net/forum?,[Image](prompt-oirl-title.png)  - [Paper Link](https://arxiv.org/pdf/2309.06553.pdf) - [Open Review Link](https://openreview.net/forum?,[Image](prompt-oirl-title.png)  - [Paper Link](https://arxiv.org/pdf/2309.06553.pdf) - [Open Review Link](https://openreview.net/forum?,[Image](prompt-oirl-title.png)  - [Paper Link](https://arxiv.org/pdf/2309.06553.pdf) - [Open Review Link](https://<PUBLICATION>openreview</PUBLICATION>.net/forum?,../results/deepseek-chat/prompt-0/zzz_vanderschaarlab_prompt-oirl_main_README.md.tsv\e52e4f8a.txt,1.0
3,id=N6o0ZtPzTg)   ## 🔥  News - (2024.2) (Internal Code-Reviewing) Code with GPT3.5 and TigerBot to be released. - (2024.1) Prompt-OIRL has been accepted by ICLR'2024.,id=N6o0ZtPzTg)   ## 🔥  News - (2024.2) (Internal Code-Reviewing) Code with <SOFTWARE>GPT3.5</SOFTWARE> and <SOFTWARE>TigerBot</SOFTWARE> to be released. - (2024.1) <SOFTWARE>Prompt-OIRL</SOFTWARE> has been accepted by <CONFERENCE>ICLR'2024</CONFERENCE>.,id=N6o0ZtPzTg)   ## 🔥  News - (2024.2) (Internal Code-Reviewing) Code with GPT3.5 and TigerBot to be released. - (2024.1) Prompt-OIRL has been accepted by ICLR'2024.,id=N6o0ZtPzTg)   ## 🔥  News - (2024.2) (Internal Code-Reviewing) Code with <PROGLANG>GPT3.5</PROGLANG> and <PROGLANG>TigerBot</PROGLANG> to be released. - (2024.1) <PUBLICATION>Prompt-OIRL</PUBLICATION> has been accepted by <CONFERENCE>ICLR'2024</CONFERENCE>.,../results/deepseek-chat/prompt-0/zzz_vanderschaarlab_prompt-oirl_main_README.md.tsv\0347690f.txt,1.0
4,We look forward to talking with you in Vienna!,We look forward to talking with you in Vienna!,We look forward to talking with you in <LOCATION>Vienna</LOCATION>!,We look forward to talking with you in <LOCATION>Vienna</LOCATION>!,../results/deepseek-chat/prompt-0/zzz_vanderschaarlab_prompt-oirl_main_README.md.tsv\cba0f4e4.txt,0.8141592920353983
5,- (2024.12) Prompt-OIRL has been presented at the NeurIPS conference.,- (2024.12) <SOFTWARE>Prompt-OIRL</SOFTWARE> has been presented at the <CONFERENCE>NeurIPS</CONFERENCE> conference.,- (2024.12) Prompt-OIRL has been presented at the `NeurIPS` conference.,- (2024.12) Prompt-OIRL has been presented at the `<CONFERENCE>NeurIPS</CONFERENCE>` conference.,../results/deepseek-chat/prompt-0/zzz_vanderschaarlab_prompt-oirl_main_README.md.tsv\d5704bf7.txt,0.9857142857142858
6,Thanks for all the invaluable feedback!,Thanks for all the invaluable feedback!,Thanks for all the invaluable feedback!,Thanks for all the invaluable feedback!,../results/deepseek-chat/prompt-0/zzz_vanderschaarlab_prompt-oirl_main_README.md.tsv\d4c31b58.txt,1.0
7,"- (2023.10) Code with LLaMA2 has been released. - (2023.10) Prompt-OIRL has been featured in a positioning [paper](https://arxiv.org/pdf/2310.06147.pdf) as an example of **inverse alignment**. - (2023.9) Prompt-OIRL has been selected as an **oral presentation** at the ENLSP workshop at NeurIPS'2023.  ## 📖  Abstract  > In this study, we aim to enhance the arithmetic reasoning ability of Large Language Models (LLMs) through zero-shot prompt optimization.","- (2023.10) Code with <SOFTWARE>LLaMA2</SOFTWARE> has been released. - (2023.10) <SOFTWARE>Prompt-OIRL</SOFTWARE> has been featured in a positioning [paper](https://arxiv.org/pdf/2310.06147.pdf) as an example of **inverse alignment**. - (2023.9) <SOFTWARE>Prompt-OIRL</SOFTWARE> has been selected as an **oral presentation** at the <WORKSHOP>ENLSP</WORKSHOP> workshop at <CONFERENCE>NeurIPS'2023</CONFERENCE>.  ## 📖  Abstract  > In this study, we aim to enhance the arithmetic reasoning ability of Large Language Models (LLMs) through zero-shot prompt optimization.","- (2023.10) Code with LLaMA2 has been released. - (2023.10) Prompt-OIRL has been featured in a positioning [paper](https://arxiv.org/pdf/2310.06147.pdf) as an example of **inverse alignment**. - (2023.9) Prompt-OIRL has been selected as an **oral presentation** at the ENLSP workshop at NeurIPS'2023.  ## 📖  Abstract  > In this study, we aim to enhance the arithmetic reasoning ability of Large Language Models (LLMs) through zero-shot prompt optimization.","- (2023.10) Code with <SOFTWARE>LLaMA2</SOFTWARE> has been released. - (2023.10) <PROJECT>Prompt-OIRL</PROJECT> has been featured in a positioning [paper](https://arxiv.org/pdf/2310.06147.pdf) as an example of **inverse alignment**. - (2023.9) <PROJECT>Prompt-OIRL</PROJECT> has been selected as an **oral presentation** at the <WORKSHOP>ENLSP</WORKSHOP> workshop at <CONFERENCE>NeurIPS'2023</CONFERENCE>.  ## 📖  Abstract  > In this study, we aim to enhance the arithmetic reasoning ability of Large Language Models (LLMs) through zero-shot prompt optimization.",../results/deepseek-chat/prompt-0/zzz_vanderschaarlab_prompt-oirl_main_README.md.tsv\95ac4223.txt,1.0
8,We identify a previously overlooked objective of query dependency in such optimization and elucidate two ensuing challenges that impede the successful and economical design of prompt optimization techniques.,We identify a previously overlooked objective of query dependency in such optimization and elucidate two ensuing challenges that impede the successful and economical design of prompt optimization techniques.,We identify a previously overlooked objective of query dependency in such optimization and elucidate two ensuing challenges that impede the successful and economical design of prompt optimization techniques.,We identify a previously overlooked objective of query dependency in such optimization and elucidate two ensuing challenges that impede the successful and economical design of prompt optimization techniques.,../results/deepseek-chat/prompt-0/zzz_vanderschaarlab_prompt-oirl_main_README.md.tsv\e33f7ed9.txt,1.0
9,One primary issue is the absence of an effective method to evaluate prompts during inference when the golden answer is unavailable.,One primary issue is the absence of an effective method to evaluate prompts during inference when the golden answer is unavailable.,One primary issue is the absence of an effective method to evaluate prompts during inference when the golden answer is unavailable.,One primary issue is the absence of an effective method to evaluate prompts during inference when the golden answer is unavailable.,../results/deepseek-chat/prompt-0/zzz_vanderschaarlab_prompt-oirl_main_README.md.tsv\091f1cc4.txt,1.0
10,"Concurrently, learning via interactions with the LLMs to navigate the expansive natural language prompting space proves to be resource-intensive.","Concurrently, learning via interactions with the LLMs to navigate the expansive natural language prompting space proves to be resource-intensive.","Concurrently, learning via interactions with the LLMs to navigate the expansive natural language prompting space proves to be resource-intensive.","Concurrently, learning via interactions with the LLMs to navigate the expansive natural language prompting space proves to be resource-intensive.",../results/deepseek-chat/prompt-0/zzz_vanderschaarlab_prompt-oirl_main_README.md.tsv\4878a7c9.txt,1.0
