sentence_idx,original_sentence,original_annotated,de_annotated_content,generated_annotated,source_file,similarity_score
1,"# Keyword Transformer: A Self-Attention Model for Keyword Spotting  <img src=""kwt.png"" alt=""drawing"" width=""200""/>  This is the official repository for the paper [Keyword Transformer: A Self-Attention Model for Keyword Spotting](https://arxiv.org/abs/2104.00769), presented at Interspeech 2021.","# <PUBLICATION>Keyword Transformer: A Self-Attention Model for Keyword Spotting</PUBLICATION>  <img src=""kwt.png"" alt=""drawing"" width=""200""/>  This is the official repository for the paper [<PUBLICATION>Keyword Transformer: A Self-Attention Model for Keyword Spotting</PUBLICATION>](https://arxiv.org/abs/2104.00769), presented at <CONFERENCE>Interspeech 2021</CONFERENCE>.","# Keyword Transformer: A Self-Attention Model for Keyword Spotting  <img src=""kwt.png"" alt=""drawing"" width=""200""/>  This is the official repository for the paper Keyword Transformer: A Self-Attention Model for Keyword Spotting, presented at Interspeech 2021.","# <SOFTWARE>Keyword Transformer</SOFTWARE>: A Self-Attention Model for Keyword Spotting  <img src=""kwt.png"" alt=""drawing"" width=""200""/>  This is the official repository for the paper <PUBLICATION>Keyword Transformer: A Self-Attention Model for Keyword Spotting</PUBLICATION>, presented at <CONFERENCE>Interspeech 2021</CONFERENCE>.",../results/deepseek-chat/prompt-0/zzz_ARM-software_keyword-transformer_master_README.md.tsv\095aee3f.txt,0.9347826086956522
2,"Consider citing our paper if you find this work useful.  ``` @inproceedings{berg21_interspeech,   author={Axel Berg and Mark O’Connor and Miguel Tairum Cruz},   title={{Keyword Transformer: A Self-Attention Model for Keyword Spotting}},   year=2021,   booktitle={Proc.","Consider citing our paper if you find this work useful.  ``` @inproceedings{berg21_<CONFERENCE>interspeech</CONFERENCE>,   author={Axel Berg and Mark O’Connor and Miguel Tairum Cruz},   title={{<PUBLICATION>Keyword Transformer: A Self-Attention Model for Keyword Spotting</PUBLICATION>}},   year=2021,   booktitle={<PUBLICATION>Proc.</PUBLICATION>","Consider citing our paper if you find this work useful.  ``` @inproceedings{berg21_interspeech,   author={Axel Berg and Mark O’Connor and Miguel Tairum Cruz},   title={{Keyword Transformer: A Self-Attention Model for Keyword Spotting}},   year=2021,   booktitle={Proc. Interspeech","Consider citing our paper if you find this work useful.  ``` @inproceedings{berg21_interspeech,   author={Axel Berg and Mark O’Connor and Miguel Tairum Cruz},   title={{<PUBLICATION>Keyword Transformer: A Self-Attention Model for Keyword Spotting</PUBLICATION>}},   year=2021,   booktitle={Proc. <CONFERENCE>Interspeech</CONFERENCE>",../results/deepseek-chat/prompt-0/zzz_ARM-software_keyword-transformer_master_README.md.tsv\9589ff3f.txt,0.9781021897810219
5,/speech_commands_v0.02.tar.gz .,/<DATASET>speech_commands_v0.02</DATASET>.tar.gz .,`/speech_commands_v0.02.tar.gz .`,`/speech_commands_<DATASET>v0.02</DATASET>.tar.gz .`,../results/deepseek-chat/prompt-0/zzz_ARM-software_keyword-transformer_master_README.md.tsv\3c4f8e95.txt,0.96875
9,/speech_commands_v0.01.tar.gz .,/<DATASET>speech_commands_v0.01</DATASET>.tar.gz .,`/speech_commands_v0.01.tar.gz .`,`/speech_commands_v0.01.tar.gz .`,../results/deepseek-chat/prompt-0/zzz_ARM-software_keyword-transformer_master_README.md.tsv\ba2aa19d.txt,0.96875
14,"/venv3/bin/activate ```  To install dependencies, run  ```shell pip install -r requirements.txt ```  Tested using Tensorflow 2.4.0rc1 with CUDA 11.","/venv3/bin/activate ```  To install dependencies, run  ```shell <SOFTWARE>pip</SOFTWARE> install -r requirements.txt ```  Tested using <SOFTWARE>Tensorflow 2.4.0rc1</SOFTWARE> with <SOFTWARE>CUDA 11</SOFTWARE>.","/venv3/bin/activate ```  To install dependencies, run  ```shell pip install -r requirements.txt ```  Tested using `Tensorflow 2.4.0rc1` with `CUDA 11`.","/venv3/bin/activate ```  To install dependencies, run  ```shell pip install -r requirements.txt ```  Tested using `<SOFTWARE>Tensorflow 2.4.0rc1</SOFTWARE>` with `<SOFTWARE>CUDA 11</SOFTWARE>`.",../results/deepseek-chat/prompt-0/zzz_ARM-software_keyword-transformer_master_README.md.tsv\3c89a33a.txt,0.9865771812080537
15,**Note**: Installing the correct Tensorflow version is important for reproducibility!,**Note**: Installing the correct <SOFTWARE>Tensorflow</SOFTWARE> version is important for reproducibility!,**Note**: Installing the correct `Tensorflow` version is important for reproducibility!,**Note**: Installing the correct `<SOFTWARE>Tensorflow</SOFTWARE>` version is important for reproducibility!,../results/deepseek-chat/prompt-0/zzz_ARM-software_keyword-transformer_master_README.md.tsv\d8f39846.txt,0.9883720930232558
16,Using more recent versions of Tensorflow results in small accuracy differences each time the model is evaluated.,Using more recent versions of <SOFTWARE>Tensorflow</SOFTWARE> results in small accuracy differences each time the model is evaluated.,Using more recent versions of `Tensorflow` results in small accuracy differences each time the model is evaluated.,Using more recent versions of `<SOFTWARE>Tensorflow</SOFTWARE>` results in small accuracy differences each time the model is evaluated.,../results/deepseek-chat/prompt-0/zzz_ARM-software_keyword-transformer_master_README.md.tsv\8b290e09.txt,0.9911504424778761
17,"This might be due to a change in how the random seed generator is implemented, and therefore changes the sampling of the ""unknown""  keyword class.  ## Model The Keyword-Transformer model is defined [here](kws_streaming/models/kws_transformer.py).","This might be due to a change in how the random seed generator is implemented, and therefore changes the sampling of the ""unknown""  keyword class.  ## Model The Keyword-Transformer model is defined [here](kws_streaming/models/kws_transformer.py).","This might be due to a change in how the random seed generator is implemented, and therefore changes the sampling of the ""unknown""  keyword class.  ## Model The `Keyword-Transformer` model is defined [here](kws_streaming/models/kws_transformer.py).","This might be due to a change in how the random seed generator is implemented, and therefore changes the sampling of the ""unknown""  keyword class.  ## Model The `<SOFTWARE>Keyword-Transformer</SOFTWARE>` model is defined [here](kws_streaming/models/kws_transformer.py).",../results/deepseek-chat/prompt-0/zzz_ARM-software_keyword-transformer_master_README.md.tsv\47a37cdb.txt,0.9959514170040485
23,"|Model name|embedding dim|mlp-dim|heads|depth|#params|V2-12 accuracy|pre-trained| |:-:|:-:|:-:|:-:|:-:|:-:|:-:|:-:| |KWT-1|64|128|1|12|607K|97.7|[here](models_data_v2_12_labels/kwt1)| |KWT-2|128|256|2|12|2.4M|98.2|[here](models_data_v2_12_labels/kwt2)| |KWT-3|192|768|3|12|5.5M|98.7|[here](models_data_v2_12_labels/kwt3)|  To perform inference on Google Speech Commands v2 with 12 labels, run  ```shell sh eval.sh ```  ## Acknowledgements  The code heavily borrows from the [KWS streaming work](https://github.com/google-research/google-research/tree/master/kws_streaming) by Google Research.","|Model name|embedding dim|mlp-dim|heads|depth|#params|V2-12 accuracy|pre-trained| |:-:|:-:|:-:|:-:|:-:|:-:|:-:|:-:| |KWT-1|64|128|1|12|607K|97.7|[here](models_data_v2_12_labels/kwt1)| |KWT-2|128|256|2|12|2.4M|98.2|[here](models_data_v2_12_labels/kwt2)| |KWT-3|192|768|3|12|5.5M|98.7|[here](models_data_v2_12_labels/kwt3)|  To perform inference on <DATASET>Google Speech Commands v2</DATASET> with 12 labels, run  ```shell sh eval.sh ```  ## Acknowledgements  The code heavily borrows from the [KWS streaming work](https://github.com/google-research/google-research/tree/master/kws_streaming) by Google Research.","|Model name|embedding dim|mlp-dim|heads|depth|#params|V2-12 accuracy|pre-trained| |:-:|:-:|:-:|:-:|:-:|:-:|:-:|:-:| |KWT-1|64|128|1|12|607K|97.7|[here](models_data_v2_12_labels/kwt1)| |KWT-2|128|256|2|12|2.4M|98.2|[here](models_data_v2_12_labels/kwt2)| |KWT-3|192|768|3|12|5.5M|98.7|[here](models_data_v2_12_labels/kwt3)|  To perform inference on Google Speech Commands v2 with 12 labels, run  ```shell sh eval.sh ```  ## Acknowledgements  The code heavily borrows from the KWS streaming work by Google Research.","|Model name|embedding dim|mlp-dim|heads|depth|#params|V2-12 accuracy|pre-trained| |:-:|:-:|:-:|:-:|:-:|:-:|:-:|:-:| |KWT-1|64|128|1|12|607K|97.7|[here](models_data_v2_12_labels/kwt1)| |KWT-2|128|256|2|12|2.4M|98.2|[here](models_data_v2_12_labels/kwt2)| |KWT-3|192|768|3|12|5.5M|98.7|[here](models_data_v2_12_labels/kwt3)|  To perform inference on <DATASET>Google Speech Commands v2</DATASET> with 12 labels, run  ```shell sh eval.sh ```  ## Acknowledgements  The code heavily borrows from the <SOFTWARE>KWS streaming work</SOFTWARE> by <PROJECT>Google Research</PROJECT>.",../results/deepseek-chat/prompt-0/zzz_ARM-software_keyword-transformer_master_README.md.tsv\fcb63bec.txt,0.9148550724637681
27,Please consider citing them as well if you use our code.  ## License  The source files in this repository are released under the [Apache 2.0](LICENSE.txt) license.,Please consider citing them as well if you use our code.  ## License  The source files in this repository are released under the [<LICENSE>Apache 2.0</LICENSE>](LICENSE.txt) license.,Please consider citing them as well if you use our code.  ## License  The source files in this repository are released under the `Apache 2.0` license.,Please consider citing them as well if you use our code.  ## License  The source files in this repository are released under the `<LICENSE>Apache 2.0</LICENSE>` license.,../results/deepseek-chat/prompt-0/zzz_ARM-software_keyword-transformer_master_README.md.tsv\b89716b4.txt,0.9456869009584664
29,"These are also released under the Apache 2.0 license, the text of which can be seen in the LICENSE file on their repository.","These are also released under the <LICENSE>Apache 2.0</LICENSE> license, the text of which can be seen in the LICENSE file on their repository.","These are also released under the `Apache 2.0` license, the text of which can be seen in the LICENSE file on their repository.","These are also released under the `<LICENSE>Apache 2.0</LICENSE>` license, the text of which can be seen in the LICENSE file on their repository.",../results/deepseek-chat/prompt-0/zzz_ARM-software_keyword-transformer_master_README.md.tsv\ddfecc43.txt,0.992
