sentence_idx,original_sentence,original_annotated,de_annotated_content,generated_annotated,source_file,similarity_score
6,"Chen, Y.","Chen, Y.","`Chen, Y.`","`<PUBLICATION>Chen, Y.</PUBLICATION>`",../results/deepseek-chat/prompt-0/zzz_Microsoft_Deep3DFaceReconstruction_master_readme.md.tsv\a996c251.txt,0.8888888888888888
12,"It achieves state-of-the-art performance on multiple datasets such as FaceWarehouse, MICC Florence and BU-3DFE.     ## Features  ### ● Accurate shapes The method reconstructs faces with high accuracy.","It achieves state-of-the-art performance on multiple datasets such as <DATASET>FaceWarehouse</DATASET>, <DATASET>MICC Florence</DATASET> and <DATASET>BU-3DFE</DATASET>.     ## Features  ### ● Accurate shapes The method reconstructs faces with high accuracy.","It achieves state-of-the-art performance on multiple datasets such as `FaceWarehouse`, `MICC Florence` and `BU-3DFE`.     ## Features  ### ● Accurate shapes The method reconstructs faces with high accuracy.","It achieves state-of-the-art performance on multiple datasets such as `<DATASET>FaceWarehouse</DATASET>`, `<DATASET>MICC Florence</DATASET>` and `<DATASET>BU-3DFE</DATASET>`.     ## Features  ### ● Accurate shapes The method reconstructs faces with high accuracy.",../results/deepseek-chat/prompt-0/zzz_Microsoft_Deep3DFaceReconstruction_master_readme.md.tsv\6e1a5247.txt,0.9852216748768473
25,The original BFM09 model does not handle expression variations so extra expression basis are needed,The original BFM09 model does not handle expression variations so extra expression basis are needed,The original `BFM09` model does not handle expression variations so extra expression basis are needed,The original `<SOFTWARE>BFM09</SOFTWARE>` model does not handle expression variations so extra expression basis are needed,../results/deepseek-chat/prompt-0/zzz_Microsoft_Deep3DFaceReconstruction_master_readme.md.tsv\81a13de5.txt,0.99
36,**Set -D_GLIBCXX_USE_CXX11_ABI=1 in .,**Set -D_GLIBCXX_USE_CXX11_ABI=1 in .,**Set -D_GLIBCXX_USE_CXX11_ABI=1 in .**,**Set -D_GLIBCXX_USE_CXX11_ABI=1 in .**,../results/deepseek-chat/prompt-0/zzz_Microsoft_Deep3DFaceReconstruction_master_readme.md.tsv\1dd29ec7.txt,0.9736842105263158
47,"/renderer/rasterize_triangles.py with "".","/renderer/rasterize_triangles.py with "".","`/renderer/rasterize_triangles.py with "".`","`/renderer/<SOFTWARE>rasterize_triangles.py</SOFTWARE> with "".`",../results/deepseek-chat/prompt-0/zzz_Microsoft_Deep3DFaceReconstruction_master_readme.md.tsv\0c244e13.txt,0.975609756097561
54,"After getting the access to BFM data, download ""01_MorphableModel.mat"" and put it into .","After getting the access to BFM data, download ""01_MorphableModel.mat"" and put it into .","After getting the access to `BFM` data, download `01_MorphableModel.mat` and put it into .","After getting the access to `<DATASET>BFM</DATASET>` data, download `<DATASET>01_MorphableModel.mat</DATASET>` and put it into .",../results/deepseek-chat/prompt-0/zzz_Microsoft_Deep3DFaceReconstruction_master_readme.md.tsv\72b136e9.txt,0.9662921348314607
56,Download the Expression Basis provided by [Guo et al.],Download the Expression Basis provided by [Guo et al.],Download the `Expression Basis` provided by [Guo et al.],Download the `<DATASET>Expression Basis</DATASET>` provided by [Guo et al.],../results/deepseek-chat/prompt-0/zzz_Microsoft_Deep3DFaceReconstruction_master_readme.md.tsv\cfcac155.txt,0.9818181818181818
61,The expression basis are constructed using [Facewarehouse](http://kunzhou.net/zjugaps/facewarehouse/) data and transferred to BFM topology.  3.,The expression basis are constructed using [<DATASET>Facewarehouse</DATASET>](http://kunzhou.net/zjugaps/facewarehouse/) data and transferred to BFM topology.  3.,The expression basis are constructed using `Facewarehouse` data and transferred to BFM topology.  3.,The expression basis are constructed using `<DATASET>Facewarehouse</DATASET>` data and transferred to BFM topology.  3.,../results/deepseek-chat/prompt-0/zzz_Microsoft_Deep3DFaceReconstruction_master_readme.md.tsv\765b6e7b.txt,0.8065843621399177
70,- coeff: output coefficients of R-Net,- coeff: output coefficients of R-Net,- `coeff: output coefficients of R-Net`,- `<EVALMETRIC>coeff</EVALMETRIC>: output coefficients of R-Net`,../results/deepseek-chat/prompt-0/zzz_Microsoft_Deep3DFaceReconstruction_master_readme.md.tsv\a1e55a3d.txt,0.9736842105263158
78,- lm\_68p: 68 2D facial landmarks derived from the reconstructed 3D face.,- lm\_68p: 68 2D facial landmarks derived from the reconstructed 3D face.,- `lm_68p: 68 2D facial landmarks derived from the reconstructed 3D face.`,- `<DATASET>lm_68p</DATASET>: 68 2D facial landmarks derived from the reconstructed 3D face.`,../results/deepseek-chat/prompt-0/zzz_Microsoft_Deep3DFaceReconstruction_master_readme.md.tsv\61e50acb.txt,0.9795918367346939
