sentence_idx,original_sentence,original_annotated,de_annotated_content,generated_annotated,source_file,similarity_score
1,"# Improving Deep Metric Learning by Divide and Conquer ## About  PyTorch implementation for the paper _Improving Deep Metric  Learning by Divide and Conquer_ accepted to **TPAMI** (Sep. 2021), which is our follow-up paper of [_Divide and Conquer the Embedding Space for Metric Learning (CVPR 2019)_](https://github.com/CompVis/metric-learning-divide-and-conquer)  **Links**: * arxiv: https://arxiv.org/abs/2109.04003 or * TPAMI early access: https://ieeexplore.ieee.org/document/9540303   ## Requirements  * PyTorch 1.1.0 * Faiss-GPU >= 1.5.0, [Link](https://github.com/facebookresearch/faiss) * albumentations >= 0.4.5, [Link](https://github.com/albumentations-team/albumentations)   ## Usage ### Training:  Training is done by calling `python train.py` and setting the respective params, all of which are listed and explained  in `/experiment/margin_loss_resnet50.py` (the default setup for all our experiments).","# <PUBLICATION>Improving Deep Metric Learning by Divide and Conquer</PUBLICATION> ## About  <SOFTWARE>PyTorch</SOFTWARE> implementation for the paper _<PUBLICATION>Improving Deep Metric  Learning by Divide and Conquer</PUBLICATION>_ accepted to **<PUBLICATION>TPAMI</PUBLICATION>** (Sep. 2021), which is our follow-up paper of [_<PUBLICATION>Divide and Conquer the Embedding Space for Metric Learning</PUBLICATION> (<CONFERENCE>CVPR 2019</CONFERENCE>)_](https://github.com/CompVis/metric-learning-divide-and-conquer)  **Links**: * arxiv: https://arxiv.org/abs/2109.04003 or * <PUBLICATION>TPAMI</PUBLICATION> early access: https://ieeexplore.ieee.org/document/9540303   ## Requirements  * <SOFTWARE>PyTorch 1.1.0</SOFTWARE> * <SOFTWARE>Faiss-GPU >= 1.5.0</SOFTWARE>, [Link](https://github.com/facebookresearch/<SOFTWARE>faiss</SOFTWARE>) * <SOFTWARE>albumentations >= 0.4.5</SOFTWARE>, [Link](https://github.com/albumentations-team/albumentations)   ## Usage ### Training:  Training is done by calling `<SOFTWARE>python</SOFTWARE> train.py` and setting the respective params, all of which are listed and explained  in `/experiment/margin_loss_resnet50.py` (the default setup for all our experiments).","# Improving Deep Metric Learning by Divide and Conquer ## About  PyTorch implementation for the paper _Improving Deep Metric  Learning by Divide and Conquer_ accepted to **TPAMI** (Sep. 2021), which is our follow-up paper of [_Divide and Conquer the Embedding Space for Metric Learning (CVPR 2019)_](https://github.com/CompVis/metric-learning-divide-and-conquer)  **Links**: * arxiv: https://arxiv.org/abs/2109.04003 or * TPAMI early access: https://ieeexplore.ieee.org/document/9540303   ## Requirements  * PyTorch 1.1.0 * Faiss-GPU >= 1.5.0, [Link](https://github.com/facebookresearch/faiss) * albumentations >= 0.4.5, [Link](https://github.com/albumentations-team/albumentations)   ## Usage ### Training:  Training is done by calling python train.py and setting the respective params, all of which are listed and explained  in /experiment/margin_loss_resnet50.py (the default setup for all our experiments).
","# Improving Deep Metric Learning by Divide and Conquer ## About  <PROGLANG>PyTorch</PROGLANG> implementation for the <PUBLICATION>paper _Improving Deep Metric  Learning by Divide and Conquer_</PUBLICATION> accepted to <PUBLICATION>**TPAMI** (Sep. 2021)</PUBLICATION>, which is our follow-up paper of <PUBLICATION>[_Divide and Conquer the Embedding Space for Metric Learning (CVPR 2019)_](https://github.com/CompVis/metric-learning-divide-and-conquer)</PUBLICATION>  **Links**: * arxiv: https://arxiv.org/abs/2109.04003 or * <PUBLICATION>TPAMI early access</PUBLICATION>: https://ieeexplore.ieee.org/document/9540303   ## Requirements  * <PROGLANG>PyTorch 1.1.0</PROGLANG> * <SOFTWARE>Faiss-GPU >= 1.5.0</SOFTWARE>, [Link](https://github.com/facebookresearch/faiss) * <SOFTWARE>albumentations >= 0.4.5</SOFTWARE>, [Link](https://github.com/albumentations-team/albumentations)   ## Usage ### Training:  Training is done by calling python train.py and setting the respective params, all of which are listed and explained  in /experiment/margin_loss_resnet50.py (the default setup for all our experiments).
",../results/deepseek-chat/prompt-0/zzz_compvis_metric-learning-divide-and-conquer-improved_master_README.md.tsv\ec705d3a.txt,0.9972602739726028
3,"**A basic sample run using default parameters would like this**:  ``` python train.py --experiment margin_loss_resnet50 \                 --dataset=sop -i=$NAME -seed=4 \                 --sz-embedding=512 --mod-epoch=2 --nb-clusters=32 --nb-epochs=180 \                 --batch-size=80 --num-samples-per-class=2 --backend=faiss-gpu \                 --lr-gamma=0.3 --mod-epoch-freeze=1 --sampler=distanceweighted \                 --weight-decay=1e-4 --batch-sampler=adaptbalanced \                 --force-full-embedding-epoch=80 --mask-lr-mult=100 \                 --masking-lambda=0.01 --mask-wd-mult=1 --dataset-dir=$datadir ```  - **--experiment margin_loss_resnet50** please keep this untouched, otherwise the args won't be read correctly. - **--dataset** specify the dataset that you want to train the model for, choose one of `--dataset=cub` (CUB200-2011), `cars` (CARS196), `sop` (Standford Online Porducts), `inshop` (In-Shop cloths retireval) or `vid` (PKU Vehicle id). - **--nb_clusters**: could be maximumly possible set to 16.","**A basic sample run using default parameters would like this**:  ``` <SOFTWARE>python</SOFTWARE> train.py --experiment margin_loss_resnet50 \                 --dataset=<DATASET>sop</DATASET> -i=$NAME -seed=4 \                 --sz-embedding=512 --mod-epoch=2 --nb-clusters=32 --nb-epochs=180 \                 --batch-size=80 --num-samples-per-class=2 --backend=<SOFTWARE>faiss-gpu</SOFTWARE> \                 --lr-gamma=0.3 --mod-epoch-freeze=1 --sampler=distanceweighted \                 --weight-decay=1e-4 --batch-sampler=adaptbalanced \                 --force-full-embedding-epoch=80 --mask-lr-mult=100 \                 --masking-lambda=0.01 --mask-wd-mult=1 --dataset-dir=$datadir ```  - **--experiment margin_loss_resnet50** please keep this untouched, otherwise the args won't be read correctly. - **--dataset** specify the dataset that you want to train the model for, choose one of `--dataset=<DATASET>cub</DATASET>` (<DATASET>CUB200-2011</DATASET>), `<DATASET>cars</DATASET>` (<DATASET>CARS196</DATASET>), `<DATASET>sop</DATASET>` (<DATASET>Standford Online Porducts</DATASET>), `<DATASET>inshop</DATASET>` (<DATASET>In-Shop cloths retireval</DATASET>) or `<DATASET>vid</DATASET>` (<DATASET>PKU Vehicle id</DATASET>). - **--nb_clusters**: could be maximumly possible set to 16.","**A basic sample run using default parameters would like this**:   python train.py --experiment margin_loss_resnet50 \                 --dataset=sop -i=$NAME -seed=4 \                 --sz-embedding=512 --mod-epoch=2 --nb-clusters=32 --nb-epochs=180 \                 --batch-size=80 --num-samples-per-class=2 --backend=faiss-gpu \                 --lr-gamma=0.3 --mod-epoch-freeze=1 --sampler=distanceweighted \                 --weight-decay=1e-4 --batch-sampler=adaptbalanced \                 --force-full-embedding-epoch=80 --mask-lr-mult=100 \                 --masking-lambda=0.01 --mask-wd-mult=1 --dataset-dir=$datadir   - **--experiment margin_loss_resnet50** please keep this untouched, otherwise the args won't be read correctly. - **--dataset** specify the dataset that you want to train the model for, choose one of --dataset=cub (CUB200-2011), cars (CARS196), sop (Standford Online Porducts), inshop (In-Shop cloths retireval) or vid (PKU Vehicle id). - **--nb_clusters**: could be maximumly possible set to 16.
","**A basic sample run using default parameters would like this**:   <PROGLANG>python</PROGLANG> train.py --experiment margin_loss_resnet50 \                 --dataset=<DATASET>sop</DATASET> -i=$NAME -seed=4 \                 --sz-embedding=512 --mod-epoch=2 --nb-clusters=32 --nb-epochs=180 \                 --batch-size=80 --num-samples-per-class=2 --backend=faiss-gpu \                 --lr-gamma=0.3 --mod-epoch-freeze=1 --sampler=distanceweighted \                 --weight-decay=1e-4 --batch-sampler=adaptbalanced \                 --force-full-embedding-epoch=80 --mask-lr-mult=100 \                 --masking-lambda=0.01 --mask-wd-mult=1 --dataset-dir=$datadir   - **--experiment margin_loss_resnet50** please keep this untouched, otherwise the args won't be read correctly. - **--dataset** specify the dataset that you want to train the model for, choose one of --dataset=<DATASET>cub</DATASET> (<DATASET>CUB200-2011</DATASET>), <DATASET>cars</DATASET> (<DATASET>CARS196</DATASET>), <DATASET>sop</DATASET> (<DATASET>Standford Online Porducts</DATASET>), <DATASET>inshop</DATASET> (<DATASET>In-Shop cloths retireval</DATASET>) or <DATASET>vid</DATASET> (<DATASET>PKU Vehicle id</DATASET>). - **--nb_clusters**: could be maximumly possible set to 16.
",../results/deepseek-chat/prompt-0/zzz_compvis_metric-learning-divide-and-conquer-improved_master_README.md.tsv\82356afa.txt,0.9666505558240696
5,"For example, if you are a ubuntu user, `ulimit -n <twice the number of the default>` usually will do the trick.","For example, if you are a ubuntu user, `ulimit -n <twice the number of the default>` usually will do the trick.","For example, if you are a ubuntu user, ulimit -n <twice the number of the default> usually will do the trick.","For example, if you are a <PROGLANG>ubuntu</PROGLANG> user, ulimit -n <twice the number of the default> usually will do the trick.",../results/deepseek-chat/prompt-0/zzz_compvis_metric-learning-divide-and-conquer-improved_master_README.md.tsv\eefc73fc.txt,0.990909090909091
6,"Besides, please take the total number of different classes in the dataset and the sampling strategy used into account when you setting this value. - **--dataset-dir**: the path to the datasets, check the *Datasets* section below. - **--sampler**: batchminer used to sample pairs or triplets (in embedding space) to create learning signal, check `/metriclearning/sampler` for details. - **--batch-sampler**: data sampler used to generate training batches, check `/dataset/sampler.py` for details. - **--nb-epochs**: the maximum training epochs. - **--mod-epoch**: division frequency in the paper - the number of training epochs between consecutive divisions. - **--wandb-enabled**: by setting this flag, you will enable the [Weights&Biases](https://wandb.ai/site) logging.","Besides, please take the total number of different classes in the dataset and the sampling strategy used into account when you setting this value. - **--dataset-dir**: the path to the datasets, check the *Datasets* section below. - **--sampler**: batchminer used to sample pairs or triplets (in embedding space) to create learning signal, check `/metriclearning/sampler` for details. - **--batch-sampler**: data sampler used to generate training batches, check `/dataset/sampler.py` for details. - **--nb-epochs**: the maximum training epochs. - **--mod-epoch**: division frequency in the paper - the number of training epochs between consecutive divisions. - **--<SOFTWARE>wandb</SOFTWARE>-enabled**: by setting this flag, you will enable the [Weights&Biases](https://<SOFTWARE>wandb</SOFTWARE>.ai/site) logging.","Besides, please take the total number of different classes in the dataset and the sampling strategy used into account when you setting this value. - **--dataset-dir**: the path to the datasets, check the *Datasets* section below. - **--sampler**: batchminer used to sample pairs or triplets (in embedding space) to create learning signal, check /metriclearning/sampler for details. - **--batch-sampler**: data sampler used to generate training batches, check /dataset/sampler.py for details. - **--nb-epochs**: the maximum training epochs. - **--mod-epoch**: division frequency in the paper - the number of training epochs between consecutive divisions. - **--wandb-enabled**: by setting this flag, you will enable the [Weights&Biases](https://wandb.ai/site) logging.
","Besides, please take the total number of different classes in the <DATASET>dataset</DATASET> and the sampling strategy used into account when you setting this value. - **--dataset-dir**: the path to the <DATASET>datasets</DATASET>, check the *<DATASET>Datasets</DATASET>* section below. - **--sampler**: batchminer used to sample pairs or triplets (in embedding space) to create learning signal, check /metriclearning/sampler for details. - **--batch-sampler**: data sampler used to generate training batches, check /dataset/sampler.py for details. - **--nb-epochs**: the maximum training epochs. - **--mod-epoch**: division frequency in the <PUBLICATION>paper</PUBLICATION> - the number of training epochs between consecutive divisions. - **--wandb-enabled**: by setting this flag, you will enable the [<SOFTWARE>Weights&Biases</SOFTWARE>](https://wandb.ai/site) logging.
",../results/deepseek-chat/prompt-0/zzz_compvis_metric-learning-divide-and-conquer-improved_master_README.md.tsv\1cb11b48.txt,0.9967511371020142
7,Please change the w&b initial setting at the last part of `/experiment/margin_loss_resnet50.py` accordingly.,Please change the w&b initial setting at the last part of `/experiment/margin_loss_resnet50.py` accordingly.,Please change the w&b initial setting at the last part of /experiment/margin_loss_resnet50.py accordingly.,Please change the w&b initial setting at the last part of /experiment/<SOFTWARE>margin_loss_resnet50.py</SOFTWARE> accordingly.,../results/deepseek-chat/prompt-0/zzz_compvis_metric-learning-divide-and-conquer-improved_master_README.md.tsv\212ccf03.txt,0.9906542056074766
8,"**_Note:_** For exact settings for different datasets, please check the original paper.","**_Note:_** For exact settings for different datasets, please check the original paper.","**_Note:_** For exact settings for different datasets, please check the original paper.","**_Note:_** For exact settings for different <DATASET>datasets</DATASET>, please check the original <PUBLICATION>paper</PUBLICATION>.",../results/deepseek-chat/prompt-0/zzz_compvis_metric-learning-divide-and-conquer-improved_master_README.md.tsv\108f841d.txt,1.0
9,"For arguments not mentioned above,  please check `/experiment/margin_loss_resnet50.py` for explanation.   ### Evaluate or check results during:  * **evaluate a trained model**: `eval_model.py <log and model checkpoint path>`.","For arguments not mentioned above,  please check `/experiment/margin_loss_resnet50.py` for explanation.   ### Evaluate or check results during:  * **evaluate a trained model**: `eval_model.py <log and model checkpoint path>`.","For arguments not mentioned above,  please check /experiment/margin_loss_resnet50.py for explanation.   ### Evaluate or check results during:  * **evaluate a trained model**: eval_model.py <log and model checkpoint path>.
","For arguments not mentioned above,  please check /experiment/<SOFTWARE>margin_loss_resnet50.py</SOFTWARE> for explanation.   ### Evaluate or check results during:  * **evaluate a trained model**: <SOFTWARE>eval_model.py</SOFTWARE> <log and model checkpoint path>.
",../results/deepseek-chat/prompt-0/zzz_compvis_metric-learning-divide-and-conquer-improved_master_README.md.tsv\e01e706c.txt,0.9843400447427293
10,It is suggested to put only those models (checkpoints and logs) you want to eval into one folder otherwise it will evaluate all the models ind the folder  * **check intermediate results**: the model checkpoints and log files are saved in the selected log-directory (by default: `/log`).,It is suggested to put only those models (checkpoints and logs) you want to eval into one folder otherwise it will evaluate all the models ind the folder  * **check intermediate results**: the model checkpoints and log files are saved in the selected log-directory (by default: `/log`).,It is suggested to put only those models (checkpoints and logs) you want to eval into one folder otherwise it will evaluate all the models ind the folder  * **check intermediate results**: the model checkpoints and log files are saved in the selected log-directory (by default: /log).,It is suggested to put only those models (checkpoints and logs) you want to eval into one folder otherwise it will evaluate all the models ind the folder  * **check intermediate results**: the model checkpoints and log files are saved in the selected log-directory (by default: /log).,../results/deepseek-chat/prompt-0/zzz_compvis_metric-learning-divide-and-conquer-improved_master_README.md.tsv\d34d11a6.txt,0.9964912280701754
11,You can print a summary of the results with `python browse_results <log path>`.     ### Datasets:  The method is tested on the following datasets:  * CUB200-2011 (http://www.vision.caltech.edu/visipedia/CUB-200.html) * CARS196 (https://ai.stanford.edu/~jkrause/cars/car_dataset.html) * Stanford Online Products (http://cvgl.stanford.edu/projects/lifted_struct/) * In-shop Clothes Retrieval Benchmark (http://mmlab.ie.cuhk.edu.hk/projects/DeepFashion.html) * PKU VehicleID (https://www.pkuml.org/resources/pku-vehicleid.html)  Assuming your folder is placed in e.g.,You can print a summary of the results with `python browse_results <log path>`.     ### Datasets:  The method is tested on the following datasets:  * <DATASET>CUB200-2011</DATASET> (http://www.vision.caltech.edu/visipedia/<DATASET>CUB-200</DATASET>.html) * <DATASET>CARS196</DATASET> (https://ai.stanford.edu/~jkrause/<DATASET>cars</DATASET>/car_dataset.html) * <DATASET>Stanford Online Products</DATASET> (http://cvgl.stanford.edu/projects/lifted_struct/) * <DATASET>In-shop Clothes Retrieval Benchmark</DATASET> (http://mmlab.ie.cuhk.edu.hk/projects/DeepFashion.html) * <DATASET>PKU VehicleID</DATASET> (https://www.pkuml.org/resources/<DATASET>pku-vehicleid</DATASET>.html)  Assuming your folder is placed in e.g.,"You can print a summary of the results with python browse_results <log path>.     ### Datasets:  The method is tested on the following datasets:  * CUB200-2011 (http://www.vision.caltech.edu/visipedia/CUB-200.html) * CARS196 (https://ai.stanford.edu/~jkrause/cars/car_dataset.html) * Stanford Online Products (http://cvgl.stanford.edu/projects/lifted_struct/) * In-shop Clothes Retrieval Benchmark (http://mmlab.ie.cuhk.edu.hk/projects/DeepFashion.html) * PKU VehicleID (https://www.pkuml.org/resources/pku-vehicleid.html)  Assuming your folder is placed in e.g.
","You can print a summary of the results with <PROGLANG>python</PROGLANG> browse_results <log path>.     ### Datasets:  The method is tested on the following datasets:  * <DATASET>CUB200-2011</DATASET> (http://www.vision.caltech.edu/visipedia/CUB-200.html) * <DATASET>CARS196</DATASET> (https://ai.stanford.edu/~jkrause/cars/car_dataset.html) * <DATASET>Stanford Online Products</DATASET> (http://cvgl.stanford.edu/projects/lifted_struct/) * <DATASET>In-shop Clothes Retrieval Benchmark</DATASET> (http://mmlab.ie.cuhk.edu.hk/projects/DeepFashion.html) * <DATASET>PKU VehicleID</DATASET> (https://www.pkuml.org/resources/pku-vehicleid.html)  Assuming your folder is placed in e.g.
",../results/deepseek-chat/prompt-0/zzz_compvis_metric-learning-divide-and-conquer-improved_master_README.md.tsv\c00e67f8.txt,0.997338065661047
12,"`<$datadir/cars196>`, pass `$datadir` as input to `--dataset-dir`, by default.","`<$datadir/<DATASET>cars196</DATASET>>`, pass `$datadir` as input to `--dataset-dir`, by default.","<$datadir/cars196>, pass $datadir as input to --dataset-dir, by default.","<$datadir/<DATASET>cars196</DATASET>>, pass $datadir as input to --dataset-dir, by default.",../results/deepseek-chat/prompt-0/zzz_compvis_metric-learning-divide-and-conquer-improved_master_README.md.tsv\d757f060.txt,0.96
