sentence_idx,original_sentence,original_annotated,de_annotated_content,generated_annotated,source_file,similarity_score
1,# The Unhealthy Comments Corpus (UCC)   The Unhealthy Comments Corpus (UCC) is corpus of 44355 comments intended to assist in research on identifying subtle attributes which contribute to unhealthy conversations online.,# The <DATASET>Unhealthy Comments Corpus</DATASET> (<DATASET>UCC</DATASET>)   The <DATASET>Unhealthy Comments Corpus</DATASET> (<DATASET>UCC</DATASET>) is corpus of 44355 comments intended to assist in research on identifying subtle attributes which contribute to unhealthy conversations online.,# The Unhealthy Comments Corpus (UCC)   The Unhealthy Comments Corpus (UCC) is corpus of 44355 comments intended to assist in research on identifying subtle attributes which contribute to unhealthy conversations online.,# The <DATASET>Unhealthy Comments Corpus (UCC)</DATASET>   The <DATASET>Unhealthy Comments Corpus (UCC)</DATASET> is corpus of 44355 comments intended to assist in research on identifying subtle attributes which contribute to unhealthy conversations online.,../results/deepseek-chat/prompt-0/zzz_conversationai_unhealthy-conversations_main_README.md.tsv\f000528a.txt,1.0
4,"For a detailed description of the annotation process, quality control procedures, summary statistics and baseline modelling results, see our [paper](https://arxiv.org/abs/2010.07410), to appear in the [Fourth Workshop on Online Abuse and Harms 2020](https://www.workshopononlineabuse.com/).","For a detailed description of the annotation process, quality control procedures, summary statistics and baseline modelling results, see our [paper](https://arxiv.org/abs/2010.07410), to appear in the [<WORKSHOP>Fourth Workshop on Online Abuse and Harms 2020</WORKSHOP>](https://www.workshopononlineabuse.com/).","For a detailed description of the annotation process, quality control procedures, summary statistics and baseline modelling results, see our paper(https://arxiv.org/abs/2010.07410), to appear in the Fourth Workshop on Online Abuse and Harms 2020(https://www.workshopononlineabuse.com/).
","For a detailed description of the annotation process, quality control procedures, summary statistics and baseline modelling results, see our <PUBLICATION>paper</PUBLICATION>(https://arxiv.org/abs/2010.07410), to appear in the <WORKSHOP>Fourth Workshop on Online Abuse and Harms 2020</WORKSHOP>(https://www.workshopononlineabuse.com/).
",../results/deepseek-chat/prompt-0/zzz_conversationai_unhealthy-conversations_main_README.md.tsv\e5c860e4.txt,0.9740034662045061
5,"The UCC contributes further high quality data on  attributes  like  sarcasm,  hostility,  and  condescension, adding to existing datasets on these and related attributes, and provides (to the best of our knowledge) the first dataset of this scale with labels for dismissiveness,  unfair generalisations,  antagonistic behavior, and overall assessments of whether those comments fall within 'healthy' conversation.","The <DATASET>UCC</DATASET> contributes further high quality data on  attributes  like  sarcasm,  hostility,  and  condescension, adding to existing datasets on these and related attributes, and provides (to the best of our knowledge) the first dataset of this scale with labels for dismissiveness,  unfair generalisations,  antagonistic behavior, and overall assessments of whether those comments fall within 'healthy' conversation.","The UCC contributes further high quality data on  attributes  like  sarcasm,  hostility,  and  condescension, adding to existing datasets on these and related attributes, and provides (to the best of our knowledge) the first dataset of this scale with labels for dismissiveness,  unfair generalisations,  antagonistic behavior, and overall assessments of whether those comments fall within 'healthy' conversation.","The <DATASET>UCC</DATASET> contributes further high quality data on  attributes  like  sarcasm,  hostility,  and  condescension, adding to existing datasets on these and related attributes, and provides (to the best of our knowledge) the first <DATASET>dataset of this scale</DATASET> with labels for dismissiveness,  unfair generalisations,  antagonistic behavior, and overall assessments of whether those comments fall within 'healthy' conversation.",../results/deepseek-chat/prompt-0/zzz_conversationai_unhealthy-conversations_main_README.md.tsv\458b38ac.txt,1.0
6,"We hope that this dataset  can contribute to research on how to understand, monitor and deal with unhealthy online interactions to promote healthier conversations online.  ## The data  The dataset is provided as three .csv files, `train.csv`, `test.csv`, and `val.csv`.","We hope that this dataset  can contribute to research on how to understand, monitor and deal with unhealthy online interactions to promote healthier conversations online.  ## The data  The dataset is provided as three .csv files, `train.csv`, `test.csv`, and `val.csv`.","We hope that this dataset can contribute to research on how to understand, monitor and deal with unhealthy online interactions to promote healthier conversations online.  ## The data  The dataset is provided as three .csv files, train.csv, test.csv, and val.csv.","We hope that this <DATASET>dataset</DATASET> can contribute to research on how to understand, monitor and deal with unhealthy online interactions to promote healthier conversations online.  ## The data  The <DATASET>dataset</DATASET> is provided as three .csv files, <DATASET>train.csv</DATASET>, <DATASET>test.csv</DATASET>, and <DATASET>val.csv</DATASET>.",../results/deepseek-chat/prompt-0/zzz_conversationai_unhealthy-conversations_main_README.md.tsv\2d02399b.txt,0.8625235404896422
8,We also provide the individual annotations of each comment in `unhealthy_full.csv`.,We also provide the individual annotations of each comment in `unhealthy_full.csv`.,We also provide the individual annotations of each comment in unhealthy_full.csv.,We also provide the individual annotations of each comment in <DATASET>unhealthy_full.csv</DATASET>.,../results/deepseek-chat/prompt-0/zzz_conversationai_unhealthy-conversations_main_README.md.tsv\20cbb74a.txt,0.9878048780487805
9,This contains all individual judgements which were aggregated to create the final dataset.,This contains all individual judgements which were aggregated to create the final dataset.,This contains all individual judgements which were aggregated to create the final dataset.,This contains all individual judgements which were aggregated to create the final <DATASET>dataset</DATASET>.,../results/deepseek-chat/prompt-0/zzz_conversationai_unhealthy-conversations_main_README.md.tsv\b51ef29e.txt,1.0
11,The raw comments were taken from the [comments](https://github.com/sfu-discourse-lab/SOCC#comments) corpus within the [SFU Opinion and Comments Corpus](https://github.com/sfu-discourse-lab/SOCC).   ## Baseline classification  We provide notebooks to replicate our baseline classification results on this dataset in `UnhealthyConversations.ipynb`.,The raw comments were taken from the [comments](https://github.com/sfu-discourse-lab/<DATASET>SOCC</DATASET>#comments) corpus within the [<DATASET>SFU Opinion and Comments Corpus</DATASET>](https://github.com/sfu-discourse-lab/<DATASET>SOCC</DATASET>).   ## Baseline classification  We provide notebooks to replicate our baseline classification results on this dataset in `UnhealthyConversations.ipynb`.,The raw comments were taken from the [comments](https://github.com/sfu-discourse-lab/SOCC#comments) corpus within the [SFU Opinion and Comments Corpus](https://github.com/sfu-discourse-lab/SOCC).   ## Baseline classification  We provide notebooks to replicate our baseline classification results on this dataset in UnhealthyConversations.ipynb.,The raw comments were taken from the [comments](https://github.com/sfu-discourse-lab/SOCC#comments) corpus within the [<DATASET>SFU Opinion and Comments Corpus</DATASET>](https://github.com/sfu-discourse-lab/SOCC).   ## Baseline classification  We provide notebooks to replicate our baseline classification results on this dataset in <PROGLANG>UnhealthyConversations.ipynb</PROGLANG>.,../results/deepseek-chat/prompt-0/zzz_conversationai_unhealthy-conversations_main_README.md.tsv\91379742.txt,0.9942028985507246
15,[Open In Colab](https://colab.research.google.com/assets/colab-badge.svg)](https://colab.research.google.com/github/conversationai/unhealthy-conversations/blob/master/notebooks/UnhealthyConversations.ipynb)   !,[Open In Colab](https://colab.research.google.com/assets/colab-badge.svg)](https://colab.research.google.com/github/conversationai/unhealthy-conversations/blob/master/notebooks/UnhealthyConversations.ipynb)   !,"[Open In Colab](https://colab.research.google.com/assets/colab-badge.svg)](https://colab.research.google.com/github/conversationai/unhealthy-conversations/blob/master/notebooks/UnhealthyConversations.ipynb)   !
","[Open In Colab](https://colab.research.google.com/assets/colab-badge.svg)](https://colab.research.google.com/github/<PROJECT>conversationai</PROJECT>/<PROJECT>unhealthy-conversations</PROJECT>/blob/master/notebooks/<SOFTWARE>UnhealthyConversations.ipynb</SOFTWARE>)   !
",../results/deepseek-chat/prompt-0/zzz_conversationai_unhealthy-conversations_main_README.md.tsv\4d83d60f.txt,0.997624703087886
16,"[Figure here](https://github.com/conversationai/unhealthy-conversations/blob/master/auc.pdf)  To give context to the model performance, we compare the performance with human workers.","[Figure here](https://github.com/conversationai/unhealthy-conversations/blob/master/auc.pdf)  To give context to the model performance, we compare the performance with human workers.","[Figure here](https://github.com/conversationai/unhealthy-conversations/blob/master/auc.pdf)  To give context to the model performance, we compare the performance with human workers.
","[Figure here](https://github.com/<PROJECT>conversationai</PROJECT>/<PROJECT>unhealthy-conversations</PROJECT>/blob/master/auc.pdf)  To give context to the model performance, we compare the performance with human workers.
",../results/deepseek-chat/prompt-0/zzz_conversationai_unhealthy-conversations_main_README.md.tsv\79931f65.txt,0.9972602739726028
21,.,.,Each label also has an associated confidence score.,Each label also has an associated confidence score.,../results/deepseek-chat/prompt-0/zzz_conversationai_unhealthy-conversations_main_README.md.tsv\fe35c53a.txt,0.038461538461538464
