sentence_idx,original_sentence,original_annotated,de_annotated_content,generated_annotated,source_file,similarity_score
1,# MLLM-Bench MLLM-Bench: Evaluating Multimodal LLMs with Per-sample Criteria <center>  !,# <PROJECT>MLLM-Bench</PROJECT> <PUBLICATION>MLLM-Bench: Evaluating Multimodal LLMs with Per-sample Criteria</PUBLICATION> <center>  !,"# MLLM-Bench MLLM-Bench: Evaluating Multimodal LLMs with Per-sample Criteria <center>  !
","# <PUBLICATION>MLLM-Bench MLLM-Bench: Evaluating Multimodal LLMs with Per-sample Criteria</PUBLICATION> <center>  !
",../results/deepseek-chat/prompt-0/zzz_freedomintelligence_mllm-bench_main_README.md.tsv\b1df7b0d.txt,0.9943502824858758
2,[Python 3.9+](https://img.shields.io/badge/Python-3.9+-lightblue) !,[<PROGLANG>Python 3.9+</PROGLANG>](https://img.shields.io/badge/<PROGLANG>Python-3.9+</PROGLANG>-lightblue) !,[Python 3.9+](https://img.shields.io/badge/Python-3.9+-lightblue) !,[<PROGLANG>Python 3.9+</PROGLANG>](https://img.shields.io/badge/<PROGLANG>Python</PROGLANG>-3.9+-lightblue) !,../results/deepseek-chat/prompt-0/zzz_freedomintelligence_mllm-bench_main_README.md.tsv\7f970348.txt,1.0
3,[Pytorch 2.0](https://img.shields.io/badge/PyTorch-2.0+-lightblue) !,[<SOFTWARE>Pytorch 2.0</SOFTWARE>](https://img.shields.io/badge/<SOFTWARE>PyTorch-2.0</SOFTWARE>+-lightblue) !,"[Pytorch 2.0](https://img.shields.io/badge/PyTorch-2.0+-lightblue) !
","[<SOFTWARE>Pytorch 2.0</SOFTWARE>](https://img.shields.io/badge/<SOFTWARE>PyTorch</SOFTWARE>-2.0+-lightblue) !
",../results/deepseek-chat/prompt-0/zzz_freedomintelligence_mllm-bench_main_README.md.tsv\955bf424.txt,0.9927007299270073
4,[transformers](https://img.shields.io/badge/transformers-4.36.0.dev0%2B-lightblue) !,[<SOFTWARE>transformers</SOFTWARE>](https://img.shields.io/badge/<SOFTWARE>transformers-4.36.0.dev0</SOFTWARE>%2B-lightblue) !,"[transformers](https://img.shields.io/badge/transformers-4.36.0.dev0%2B-lightblue) !
","[<SOFTWARE>transformers</SOFTWARE>](https://img.shields.io/badge/<SOFTWARE>transformers</SOFTWARE>-4.36.0.dev0%2B-lightblue) !
",../results/deepseek-chat/prompt-0/zzz_freedomintelligence_mllm-bench_main_README.md.tsv\f3e49da7.txt,0.9940828402366864
5,"[accelerate](https://img.shields.io/badge/accelerate-0.22+-lightblue) </center>  <p align=""center"">    📃  <a href=""https://arxiv.org/abs/2311.13951"" target=""_blank"">Paper</a> • 🌐  <a href=""https://mllm-bench.llmzoo.com/"" target=""_blank"">Website</a> • 🤗  <a href=""huggingface.com"" target=""_blank"">HuggingFace</a>    <p align=""center""> <img src="".","[<SOFTWARE>accelerate</SOFTWARE>](https://img.shields.io/badge/<SOFTWARE>accelerate-0.22</SOFTWARE>+-lightblue) </center>  <p align=""center"">    📃  <a href=""https://arxiv.org/abs/2311.13951"" target=""_blank"">Paper</a> • 🌐  <a href=""https://mllm-bench.llmzoo.com/"" target=""_blank"">Website</a> • 🤗  <a href=""huggingface.com"" target=""_blank"">HuggingFace</a>    <p align=""center""> <img src="".","[accelerate](https://img.shields.io/badge/accelerate-0.22+-lightblue) </center>  <p align=""center"">    📃  <a href=""https://arxiv.org/abs/2311.13951"" target=""_blank"">Paper</a> • 🌐  <a href=""https://mllm-bench.llmzoo.com/"" target=""_blank"">Website</a> • 🤗  <a href=""huggingface.com"" target=""_blank"">HuggingFace</a>    <p align=""center""> <img src="".
","[<SOFTWARE>accelerate</SOFTWARE>](https://img.shields.io/badge/accelerate-0.22+-lightblue) </center>  <p align=""center"">    📃  <a href=""https://arxiv.org/abs/2311.13951"" target=""_blank""><PUBLICATION>Paper</PUBLICATION></a> • 🌐  <a href=""https://<PROJECT>mllm-bench</PROJECT>.<SOFTWARE>llmzoo</SOFTWARE>.com/"" target=""_blank"">Website</a> • 🤗  <a href=""<SOFTWARE>huggingface</SOFTWARE>.com"" target=""_blank""><SOFTWARE>HuggingFace</SOFTWARE></a>    <p align=""center""> <img src="".
",../results/deepseek-chat/prompt-0/zzz_freedomintelligence_mllm-bench_main_README.md.tsv\430b2d82.txt,0.9985528219971056
6,"/image.png"" alt=""Data Composition"" width=""550"" height=""550"">   ## 🌈  Update * **[2024.4.27]** V3 data, benchmark reuslts, leaderboard and arxiv paper are updated.","/image.png"" alt=""Data Composition"" width=""550"" height=""550"">   ## 🌈  Update * **[2024.4.27]** V3 data, benchmark reuslts, leaderboard and arxiv paper are updated.","/image.png"" alt=""Data Composition"" width=""550"" height=""550"">   ## 🌈  Update * **[2024.4.27]** V3 data, benchmark reuslts, leaderboard and arxiv paper are updated.
","/image.png"" alt=""Data Composition"" width=""550"" height=""550"">   ## 🌈  Update * **[2024.4.27]** V3 <DATASET>data</DATASET>, benchmark reuslts, leaderboard and arxiv <PUBLICATION>paper</PUBLICATION> are updated.
",../results/deepseek-chat/prompt-0/zzz_freedomintelligence_mllm-bench_main_README.md.tsv\e1483134.txt,0.9969230769230769
8,"However, we provide  <a href=""https://mllm-bench.llmzoo.com/static/submit.html"" target=""_blank"">a submission entry</a>  for FREE evaluations.","However, we provide  <a href=""https://mllm-bench.llmzoo.com/static/submit.html"" target=""_blank"">a submission entry</a>  for FREE evaluations.","However, we provide  <a href=""https://mllm-bench.llmzoo.com/static/submit.html"" target=""_blank"">a submission entry</a>  for FREE evaluations.","However, we provide  <a href=""https://<PROJECT>mllm-bench</PROJECT>.<SOFTWARE>llmzoo</SOFTWARE>.com/static/submit.html"" target=""_blank"">a submission entry</a>  for FREE evaluations.",../results/deepseek-chat/prompt-0/zzz_freedomintelligence_mllm-bench_main_README.md.tsv\3f7c3d5e.txt,1.0
10,"* **[2024.1.7]** V2 data, reuslts and leaderboard are updated","* **[2024.1.7]** V2 data, reuslts and leaderboard are updated","* **[2024.1.7]** V2 data, reuslts and leaderboard are updated
","* **[2024.1.7]** <DATASET>V2</DATASET> data, reuslts and leaderboard are updated
",../results/deepseek-chat/prompt-0/zzz_freedomintelligence_mllm-bench_main_README.md.tsv\62556810.txt,0.991869918699187
11,.,.,"- Run bash evaluate.sh
","- Run bash <PROGLANG>evaluate.sh</PROGLANG>
",../results/deepseek-chat/prompt-0/zzz_freedomintelligence_mllm-bench_main_README.md.tsv\55ddd912.txt,0.08333333333333333
15,See more results of different evaluation protocols and anchors in our  [paper](https://arxiv.org/abs/2311.13951).,See more results of different evaluation protocols and anchors in our  [paper](https://arxiv.org/abs/2311.13951).,See more results of different evaluation protocols and anchors in our  [paper](https://arxiv.org/abs/2311.13951).,See more results of different evaluation protocols and anchors in our  [<PUBLICATION>paper</PUBLICATION>](https://arxiv.org/abs/2311.13951).,../results/deepseek-chat/prompt-0/zzz_freedomintelligence_mllm-bench_main_README.md.tsv\278f214f.txt,1.0
17,/Model_cards.md),/Model_cards.md),"/workers/model_workers.py).
","/workers/<SOFTWARE>model_workers.py</SOFTWARE>).
",../results/deepseek-chat/prompt-0/zzz_freedomintelligence_mllm-bench_main_README.md.tsv\33cd6637.txt,0.45454545454545453
18,.,.,"- Run bash evaluate.sh
","- Run bash <PROGLANG>evaluate.sh</PROGLANG>
",../results/deepseek-chat/prompt-0/zzz_freedomintelligence_mllm-bench_main_README.md.tsv\55ddd912.txt,0.08333333333333333
