sentence_idx,original_sentence,original_annotated,de_annotated_content,generated_annotated,source_file,similarity_score
3,"We address these issues by introducing BookSum, a collection of datasets for long-form narrative summarization.","We address these issues by introducing <DATASET>BookSum</DATASET>, a collection of datasets for long-form narrative summarization.","We address these issues by introducing `BookSum`, a collection of `datasets` for long-form narrative summarization.","We address these issues by introducing `<PROJECT>BookSum</PROJECT>`, a collection of `<DATASET>datasets</DATASET>` for long-form narrative summarization.",../results/deepseek-chat/prompt-0/zzz_salesforce_booksum_main_README.md.tsv\028cf51f.txt,0.9823008849557522
4,"Our dataset covers source documents from the literature domain, such as novels, plays and stories, and includes highly abstractive, human written summaries on three levels of granularity of increasing difficulty: paragraph-, chapter-, and book-level.","Our dataset covers source documents from the literature domain, such as novels, plays and stories, and includes highly abstractive, human written summaries on three levels of granularity of increasing difficulty: paragraph-, chapter-, and book-level.","Our `dataset` covers source documents from the literature domain, such as novels, plays and stories, and includes highly abstractive, human written summaries on three levels of granularity of increasing difficulty: paragraph-, chapter-, and book-level.","Our `<DATASET>dataset</DATASET>` covers source documents from the literature domain, such as novels, plays and stories, and includes highly abstractive, human written summaries on three levels of granularity of increasing difficulty: paragraph-, chapter-, and book-level.",../results/deepseek-chat/prompt-0/zzz_salesforce_booksum_main_README.md.tsv\3ca6ef6c.txt,0.9681274900398407
5,"The domain and structure of our dataset poses a unique set of challenges for summarization systems, which include: processing very long documents, non-trivial causal and temporal dependencies, and rich discourse structures.","The domain and structure of our dataset poses a unique set of challenges for summarization systems, which include: processing very long documents, non-trivial causal and temporal dependencies, and rich discourse structures.","The domain and structure of our `dataset` poses a unique set of challenges for summarization systems, which include: processing very long documents, non-trivial causal and temporal dependencies, and rich discourse structures.","The domain and structure of our `<DATASET>dataset</DATASET>` poses a unique set of challenges for summarization systems, which include: processing very long documents, non-trivial causal and temporal dependencies, and rich discourse structures.",../results/deepseek-chat/prompt-0/zzz_salesforce_booksum_main_README.md.tsv\6c4a9ead.txt,0.9642857142857143
6,"To facilitate future work, we trained and evaluated multiple extractive and abstractive summarization models as baselines for our dataset.","To facilitate future work, we trained and evaluated multiple extractive and abstractive summarization models as baselines for our dataset.","To facilitate future work, we trained and evaluated multiple extractive and abstractive summarization models as baselines for our `dataset`.","To facilitate future work, we trained and evaluated multiple extractive and abstractive summarization models as baselines for our `<DATASET>dataset</DATASET>`.",../results/deepseek-chat/prompt-0/zzz_salesforce_booksum_main_README.md.tsv\0147e772.txt,0.9928057553956835
11,[License](#license) 5.,[License](#license) 5.,`[License](#license) 5.`,`[<LICENSE>License</LICENSE>](#license) 5.`,../results/deepseek-chat/prompt-0/zzz_salesforce_booksum_main_README.md.tsv\2eb59737.txt,0.9565217391304348
18,"Furthermore, we are not liable for any damage, loss or expense of any kind arising from or relating to your use of the resources shared in this code repository or the data collected, regardless of whether such liability is based in tort, contract or otherwise.  ## License The code is released under the **BSD-3 License** (see `LICENSE.txt` for details).   ## Usage  #### 1.","Furthermore, we are not liable for any damage, loss or expense of any kind arising from or relating to your use of the resources shared in this code repository or the data collected, regardless of whether such liability is based in tort, contract or otherwise.  ## License The code is released under the **<LICENSE>BSD-3 License</LICENSE>** (see `LICENSE.txt` for details).   ## Usage  #### 1.","Furthermore, we are not liable for any damage, loss or expense of any kind arising from or relating to your use of the resources shared in this code repository or the data collected, regardless of whether such liability is based in tort, contract or otherwise.  ## License The code is released under the `BSD-3 License` (see `LICENSE.txt` for details).   ## Usage  #### 1.","Furthermore, we are not liable for any damage, loss or expense of any kind arising from or relating to your use of the resources shared in this code repository or the data collected, regardless of whether such liability is based in tort, contract or otherwise.  ## License The code is released under the `<LICENSE>BSD-3 License</LICENSE>` (see `LICENSE.txt` for details).   ## Usage  #### 1.",../results/deepseek-chat/prompt-0/zzz_salesforce_booksum_main_README.md.tsv\01c659d1.txt,0.9919571045576407
19,"Chapterized Project Guteberg Data The chapterized book text from Gutenberg, for the books we use in our work, has been made available through a public GCP bucket.","Chapterized Project Guteberg Data The chapterized book text from Gutenberg, for the books we use in our work, has been made available through a public GCP bucket.","`Chapterized Project Guteberg Data The chapterized book text from Gutenberg, for the books we use in our work, has been made available through a public GCP bucket.`","`Chapterized <PROJECT>Project Guteberg</PROJECT> <DATASET>Data</DATASET> The chapterized book text from <PROJECT>Gutenberg</PROJECT>, for the books we use in our work, has been made available through a public <SOFTWARE>GCP bucket</SOFTWARE>.`",../results/deepseek-chat/prompt-0/zzz_salesforce_booksum_main_README.md.tsv\fe7316c1.txt,0.9938650306748467
22,"Note: At the time of collecting the data, all links in literature_links.tsv were working for the respective sources.","Note: At the time of collecting the data, all links in literature_links.tsv were working for the respective sources.","Note: At the time of collecting the data, all links in `literature_links.tsv` were working for the respective sources.","Note: At the time of collecting the data, all links in `<DATASET>literature_links.tsv</DATASET>` were working for the respective sources.",../results/deepseek-chat/prompt-0/zzz_salesforce_booksum_main_README.md.tsv\98648cf2.txt,0.9914529914529915
23,"For each data source, the file `literature_links.tsv.pruned` contains the links for the books in our dataset.","For each data source, the file `literature_links.tsv.pruned` contains the links for the books in our dataset.","For each data source, the file `literature_links.tsv.pruned` contains the links for the books in our `dataset`.","For each data source, the file `<SOFTWARE>literature_links.tsv.pruned</SOFTWARE>` contains the links for the books in our `<DATASET>dataset</DATASET>`.",../results/deepseek-chat/prompt-0/zzz_salesforce_booksum_main_README.md.tsv\3e63d191.txt,0.990909090909091
25,"Additionally, `get_works.py` can be used to collect an exhaustive set of summaries from that source.  ``` cd scripts/data_collection/cliffnotes/ python get_summaries.py ```  #### 3.","Additionally, `get_works.py` can be used to collect an exhaustive set of summaries from that source.  ``` cd scripts/data_collection/cliffnotes/ <SOFTWARE>python</SOFTWARE> get_summaries.py ```  #### 3.","Additionally, `get_works.py` can be used to collect an exhaustive set of summaries from that source.  ``` cd scripts/data_collection/cliffnotes/ python `get_summaries.py` ```  #### 3.","Additionally, `<SOFTWARE>get_works.py</SOFTWARE>` can be used to collect an exhaustive set of summaries from that source.  ``` cd scripts/data_collection/cliffnotes/ python `<SOFTWARE>get_summaries.py</SOFTWARE>` ```  #### 3.",../results/deepseek-chat/prompt-0/zzz_salesforce_booksum_main_README.md.tsv\9c975f26.txt,0.9945054945054945
