sentence_idx,original_sentence,original_annotated,de_annotated_content,generated_annotated,source_file,similarity_score
1,# Awesome PrivEx: Privacy-Preserving Explainable AI (PPXAI)  [!,# Awesome PrivEx: Privacy-Preserving Explainable AI (PPXAI)  [!,"# Awesome PrivEx: Privacy-Preserving Explainable AI (PPXAI)  [!
","# <PROJECT>Awesome PrivEx</PROJECT>: Privacy-Preserving Explainable AI (PPXAI)  [!
",../results/deepseek-chat/prompt-0/zzz_tamlhp_awesome-privex_main_README.md.tsv\5c22020a.txt,0.9921259842519685
2,[Awesome](https://awesome.re/badge.svg)](https://awesome.re) [!,[Awesome](https://awesome.re/badge.svg)](https://awesome.re) [!,"[Awesome](https://awesome.re/badge.svg)](https://awesome.re) [!
","[<PROJECT>Awesome</PROJECT>](https://<PROJECT>awesome</PROJECT>.re/badge.svg)](https://<PROJECT>awesome</PROJECT>.re) [!
",../results/deepseek-chat/prompt-0/zzz_tamlhp_awesome-privex_main_README.md.tsv\d98ed6c7.txt,0.9921259842519685
3,[arXiv](https://img.shields.io/badge/arXiv-2404.00673-b31b1b.svg)](https://arxiv.org/abs/2404.00673) [!,[arXiv](https://img.shields.io/badge/arXiv-2404.00673-b31b1b.svg)](https://arxiv.org/abs/2404.00673) [!,"[arXiv](https://img.shields.io/badge/arXiv-2404.00673-b31b1b.svg)](https://arxiv.org/abs/2404.00673) [!
","[<PUBLICATION>arXiv</PUBLICATION>](https://img.shields.io/badge/<PUBLICATION>arXiv</PUBLICATION>-2404.00673-b31b1b.svg)](https://arxiv.org/abs/2404.00673) [!
",../results/deepseek-chat/prompt-0/zzz_tamlhp_awesome-privex_main_README.md.tsv\67e18e90.txt,0.9951690821256038
4,[Website](https://img.shields.io/website?,[Website](https://img.shields.io/website?,"[Website](https://img.shields.io/website?
","[Website](https://img.shields.io/website?
",../results/deepseek-chat/prompt-0/zzz_tamlhp_awesome-privex_main_README.md.tsv\cc9c34dc.txt,0.9879518072289156
5,down_color=lightgrey&down_message=offline&label=Official%20Website&up_color=green&up_message=online&url=https%3A%2F%2Fawesome-privex.github.io%2F)](https://awesome-privex.github.io/) !,down_color=lightgrey&down_message=offline&label=Official%20Website&up_color=green&up_message=online&url=https%3A%2F%2Fawesome-privex.github.io%2F)](https://awesome-privex.github.io/) !,"down_color=lightgrey&down_message=offline&label=Official%20Website&up_color=green&up_message=online&url=https%3A%2F%2Fawesome-privex.github.io%2F)](https://awesome-privex.github.io/) !
","down_color=lightgrey&down_message=offline&label=Official%20Website&up_color=green&up_message=online&url=https%3A%2F%2F<PROJECT>awesome-privex</PROJECT>.github.io%2F)](https://<PROJECT>awesome-privex</PROJECT>.github.io/) !
",../results/deepseek-chat/prompt-0/zzz_tamlhp_awesome-privex_main_README.md.tsv\dd62efc9.txt,0.997289972899729
6,[GitHub stars](https://img.shields.io/github/stars/tamlhp/awesome-privex?,[GitHub stars](https://img.shields.io/github/stars/tamlhp/awesome-privex?,[GitHub stars](https://img.shields.io/github/stars/tamlhp/awesome-privex?,[GitHub stars](https://img.shields.io/github/stars/<PROJECT>tamlhp</PROJECT>/<PROJECT>awesome-privex</PROJECT>?,../results/deepseek-chat/prompt-0/zzz_tamlhp_awesome-privex_main_README.md.tsv\7f209fab.txt,1.0
7,color=yellow&label=Stars) [!,color=yellow&label=Stars) [!,"The given input text does not contain any identifiable entities based on the provided guidelines. Here is the text as-is:


color=yellow&label=Stars) [!
","The given input text does not contain any identifiable entities based on the provided guidelines. Here is the text as-is:


color=yellow&label=Stars) [!
",../results/deepseek-chat/prompt-0/zzz_tamlhp_awesome-privex_main_README.md.tsv\fbb44669.txt,0.30939226519337015
8,[Hits](https://hits.seeyoufarm.com/api/count/incr/badge.svg?,[Hits](https://hits.seeyoufarm.com/api/count/incr/badge.svg?,"[Hits](https://hits.seeyoufarm.com/api/count/incr/badge.svg?
","[Hits](https://hits.seeyoufarm.com/api/count/incr/badge.svg?
",../results/deepseek-chat/prompt-0/zzz_tamlhp_awesome-privex_main_README.md.tsv\05e8c616.txt,0.9917355371900827
9,"url=https%3A%2F%2Fgithub.com%2Ftamlhp%2Fawesome-privex%2F&count_bg=%2379C83D&title_bg=%23555555&icon=&icon_color=%23E7E7E7&title=hits&edge_flat=false)](https://hits.seeyoufarm.com) <img src=""https://img.shields.io/badge/Contributions-Welcome-278ea5"" alt=""Contrib""/>    A collection of academic articles, published methodology, and datasets on the subject of **Privacy-Preserving Explainable AI**","url=https%3A%2F%2Fgithub.com%2Ftamlhp%2Fawesome-privex%2F&count_bg=%2379C83D&title_bg=%23555555&icon=&icon_color=%23E7E7E7&title=hits&edge_flat=false)](https://hits.seeyoufarm.com) <img src=""https://img.shields.io/badge/Contributions-Welcome-278ea5"" alt=""Contrib""/>    A collection of academic articles, published methodology, and datasets on the subject of **Privacy-Preserving Explainable AI**","url=https%3A%2F%2Fgithub.com%2Ftamlhp%2Fawesome-privex%2F&count_bg=%2379C83D&title_bg=%23555555&icon=&icon_color=%23E7E7E7&title=hits&edge_flat=false)](https://hits.seeyoufarm.com) <img src=""https://img.shields.io/badge/Contributions-Welcome-278ea5"" alt=""Contrib""/>    A collection of academic articles, published methodology, and datasets on the subject of **Privacy-Preserving Explainable AI**
","url=https%3A%2F%2Fgithub.com%2Ftamlhp%2F<PROJECT>awesome-privex</PROJECT>%2F&count_bg=%2379C83D&title_bg=%23555555&icon=&icon_color=%23E7E7E7&title=hits&edge_flat=false)](https://hits.seeyoufarm.com) <img src=""https://img.shields.io/badge/Contributions-Welcome-278ea5"" alt=""Contrib""/>    A collection of academic <PUBLICATION>articles</PUBLICATION>, published <PUBLICATION>methodology</PUBLICATION>, and <DATASET>datasets</DATASET> on the subject of **Privacy-Preserving Explainable AI**
",../results/deepseek-chat/prompt-0/zzz_tamlhp_awesome-privex_main_README.md.tsv\d31b3306.txt,0.9987357774968394
10,.,.,"page_id=tamlhp.awesome-privex)
","page_id=<PROJECT>tamlhp.awesome-privex</PROJECT>)
",../results/deepseek-chat/prompt-0/zzz_tamlhp_awesome-privex_main_README.md.tsv\0895d13e.txt,0.0625
