sentence_idx,original_sentence,original_annotated,de_annotated_content,generated_annotated,source_file,similarity_score
4,We look forward to talking with you in Vienna!,We look forward to talking with you in Vienna!,We look forward to talking with you in <LOCATION>Vienna</LOCATION>!,We look forward to talking with you in <LOCATION>Vienna</LOCATION>!,../results/deepseek-chat/prompt-0/zzz_vanderschaarlab_prompt-oirl_main_README.md.tsv\cba0f4e4.txt,0.8141592920353983
5,- (2024.12) Prompt-OIRL has been presented at the NeurIPS conference.,- (2024.12) Prompt-OIRL has been presented at the NeurIPS conference.,- (2024.12) Prompt-OIRL has been presented at the `NeurIPS` conference.,- (2024.12) Prompt-OIRL has been presented at the `<CONFERENCE>NeurIPS</CONFERENCE>` conference.,../results/deepseek-chat/prompt-0/zzz_vanderschaarlab_prompt-oirl_main_README.md.tsv\d5704bf7.txt,0.9857142857142858
11,"To address this, we introduce Prompt-OIRL, which harnesses offline inverse reinforcement learning to draw insights from offline prompting demonstration data.","To address this, we introduce Prompt-OIRL, which harnesses offline inverse reinforcement learning to draw insights from offline prompting demonstration data.","To address this, we introduce `Prompt-OIRL`, which harnesses offline inverse reinforcement learning to draw insights from offline prompting demonstration data.","To address this, we introduce `<SOFTWARE>Prompt-OIRL</SOFTWARE>`, which harnesses offline inverse reinforcement learning to draw insights from offline prompting demonstration data.",../results/deepseek-chat/prompt-0/zzz_vanderschaarlab_prompt-oirl_main_README.md.tsv\b56a24d1.txt,0.9936708860759493
12,Such data exists as by-products when diverse prompts are benchmarked on open-accessible datasets.,Such data exists as by-products when diverse prompts are benchmarked on open-accessible datasets.,Such data exists as by-products when diverse prompts are benchmarked on open-accessible `datasets`.,Such data exists as by-products when diverse prompts are benchmarked on open-accessible `<DATASET>datasets</DATASET>`.,../results/deepseek-chat/prompt-0/zzz_vanderschaarlab_prompt-oirl_main_README.md.tsv\f0d4161b.txt,0.9897959183673469
16,Our experimental evaluations across various LLM scales and arithmetic reasoning datasets underscore both the efficacy and economic viability of the proposed approach.  ## 🤔  Motivating Example  !,Our experimental evaluations across various LLM scales and arithmetic reasoning datasets underscore both the efficacy and economic viability of the proposed approach.  ## 🤔  Motivating Example  !,Our experimental evaluations across various LLM scales and arithmetic reasoning `datasets` underscore both the efficacy and economic viability of the proposed approach.  ## 🤔  Motivating Example  !,Our experimental evaluations across various LLM scales and arithmetic reasoning `<DATASET>datasets</DATASET>` underscore both the efficacy and economic viability of the proposed approach.  ## 🤔  Motivating Example  !,../results/deepseek-chat/prompt-0/zzz_vanderschaarlab_prompt-oirl_main_README.md.tsv\7672a064.txt,0.9948979591836735
22,"(original chat logs with GPT4 for those motivating examples can be found at [Left](https://chat.openai.com/share/0f2d11b1-322a-4c47-a877-ad6fbace8179), [Right](https://chat.openai.com/share/15870a47-93c7-4b98-96c8-af0516c0c999))  ## ⚙️ Reproduction  ### Preliminaries  To reproduce our results (e.g., using LLaMA2)  1. get the [license to use LLaMA-2](https://ai.meta.com/llama/).  2. get access to the datasets: [SVAMP](https://github.com/arkilpatel/SVAMP), [GSM8K](https://huggingface.co/datasets/gsm8k), [MAWPS](https://github.com/sroy9/mawps)  ### Create a Virtual Env 1.","(original chat logs with GPT4 for those motivating examples can be found at [Left](https://chat.openai.com/share/0f2d11b1-322a-4c47-a877-ad6fbace8179), [Right](https://chat.openai.com/share/15870a47-93c7-4b98-96c8-af0516c0c999))  ## ⚙️ Reproduction  ### Preliminaries  To reproduce our results (e.g., using LLaMA2)  1. get the [license to use LLaMA-2](https://ai.meta.com/llama/).  2. get access to the datasets: [SVAMP](https://github.com/arkilpatel/SVAMP), [GSM8K](https://huggingface.co/datasets/gsm8k), [MAWPS](https://github.com/sroy9/mawps)  ### Create a Virtual Env 1.","(original chat logs with GPT4 for those motivating examples can be found at [Left](https://chat.openai.com/share/0f2d11b1-322a-4c47-a877-ad6fbace8179), [Right](https://chat.openai.com/share/15870a47-93c7-4b98-96c8-af0516c0c999))  ## ⚙️ Reproduction  ### Preliminaries  To reproduce our results (e.g., using LLaMA2)  1. get the license to use LLaMA-2(https://ai.meta.com/llama/).  2. get access to the datasets: [SVAMP](https://github.com/arkilpatel/SVAMP), [GSM8K](https://huggingface.co/datasets/gsm8k), [MAWPS](https://github.com/sroy9/mawps)  ### Create a Virtual Env 1.","(original chat logs with GPT4 for those motivating examples can be found at [Left](https://chat.openai.com/share/0f2d11b1-322a-4c47-a877-ad6fbace8179), [Right](https://chat.openai.com/share/15870a47-93c7-4b98-96c8-af0516c0c999))  ## ⚙️ Reproduction  ### Preliminaries  To reproduce our results (e.g., using <SOFTWARE>LLaMA2</SOFTWARE>)  1. get the <LICENSE>license to use LLaMA-2</LICENSE>(https://ai.meta.com/llama/).  2. get access to the datasets: [<DATASET>SVAMP</DATASET>](https://github.com/arkilpatel/SVAMP), [<DATASET>GSM8K</DATASET>](https://huggingface.co/datasets/gsm8k), [<DATASET>MAWPS</DATASET>](https://github.com/sroy9/mawps)  ### Create a Virtual Env 1.",../results/deepseek-chat/prompt-0/zzz_vanderschaarlab_prompt-oirl_main_README.md.tsv\84065e62.txt,0.9982578397212544
28,"To avoid repeating such a computationally expensive (when running LLMs on local machines) or costly (when calling the commercial APIs like GPT3.5 or TigerBot) process, we have **released all the interactive logs with those LLMs collected in our experiments.**.","To avoid repeating such a computationally expensive (when running LLMs on local machines) or costly (when calling the commercial APIs like GPT3.5 or TigerBot) process, we have **released all the interactive logs with those LLMs collected in our experiments.**.","To avoid repeating such a computationally expensive (when running LLMs on local machines) or costly (when calling the commercial APIs like `GPT3.5` or `TigerBot`) process, we have **released all the interactive logs with those LLMs collected in our experiments.**.","To avoid repeating such a computationally expensive (when running LLMs on local machines) or costly (when calling the commercial APIs like `<SOFTWARE>GPT3.5</SOFTWARE>` or `<SOFTWARE>TigerBot</SOFTWARE>`) process, we have **released all the interactive logs with those LLMs collected in our experiments.**.",../results/deepseek-chat/prompt-0/zzz_vanderschaarlab_prompt-oirl_main_README.md.tsv\1046fb77.txt,0.9770992366412213
39,Evaluating the algorithms by interacting with the LLMs can also be an option but could be slower.,Evaluating the algorithms by interacting with the LLMs can also be an option but could be slower.,Evaluating the algorithms by interacting with the `LLMs` can also be an option but could be slower.,Evaluating the algorithms by interacting with the `<SOFTWARE>LLMs</SOFTWARE>` can also be an option but could be slower.,../results/deepseek-chat/prompt-0/zzz_vanderschaarlab_prompt-oirl_main_README.md.tsv\0bb05acb.txt,0.9897959183673469
43,"RLHF, Prompting, and Beyond.]","RLHF, Prompting, and Beyond.]","`RLHF, Prompting, and Beyond.]`","`<PROGLANG>RLHF</PROGLANG>, Prompting, and Beyond.]`",../results/deepseek-chat/prompt-0/zzz_vanderschaarlab_prompt-oirl_main_README.md.tsv\8278bd25.txt,0.9666666666666667
46,"An RL Perspective on RLHF, Prompting, and Beyond},   author={Sun, Hao},   journal={arXiv preprint arXiv:2310.06147},   year={2023} }","An RL Perspective on RLHF, Prompting, and Beyond},   author={Sun, Hao},   journal={arXiv preprint arXiv:2310.06147},   year={2023} }","An RL Perspective on RLHF, Prompting, and Beyond,   author={Sun, Hao},   journal={arXiv preprint arXiv:2310.06147},   year={2023} }","<PUBLICATION>An RL Perspective on RLHF, Prompting, and Beyond</PUBLICATION>,   author={Sun, Hao},   journal={<PUBLICATION>arXiv preprint arXiv:2310.06147</PUBLICATION>},   year={2023} }",../results/deepseek-chat/prompt-0/zzz_vanderschaarlab_prompt-oirl_main_README.md.tsv\4efcc858.txt,0.9961977186311787
