sentence_idx,original_sentence,original_annotated,de_annotated_content,generated_annotated,source_file,similarity_score
7,"* **New work of NTs and possible changes in this survey will be notified here.**  - Add ""ProGReST: Prototypical Graph Regression Soft Trees for Molecular Property Prediction"" [[Paper]](https://arxiv.org/pdf/2210.03745.pdf), an interesting work that combines prototype learning, soft decision trees and Graph Neural Networks for compound property prediction","* **New work of NTs and possible changes in this survey will be notified here.**  - Add ""<PUBLICATION>ProGReST: Prototypical Graph Regression Soft Trees for Molecular Property Prediction</PUBLICATION>"" [[Paper]](https://arxiv.org/pdf/2210.03745.pdf), an interesting work that combines prototype learning, soft decision trees and Graph Neural Networks for compound property prediction","* **New work of NTs and possible changes in this survey will be notified here.**  - Add `ProGReST: Prototypical Graph Regression Soft Trees for Molecular Property Prediction` [[Paper]](https://arxiv.org/pdf/2210.03745.pdf), an interesting work that combines prototype learning, soft decision trees and Graph Neural Networks for compound property prediction","* **New work of NTs and possible changes in this survey will be notified here.**  - Add `<PUBLICATION>ProGReST: Prototypical Graph Regression Soft Trees for Molecular Property Prediction</PUBLICATION>` [[Paper]](https://arxiv.org/pdf/2210.03745.pdf), an interesting work that combines prototype learning, soft decision trees and Graph Neural Networks for compound property prediction",../results/deepseek-chat/prompt-0/zzz_zju-vipa_awesome-neural-trees_main_README.md.tsv\4d976c20.txt,0.9943820224719101
9,"- Add ""Large-Scale Category Structure Aware Image Categorization"" [[Paper]](https://proceedings.neurips.cc/paper/2011/file/d5cfead94f5350c12c322b5b664544c1-Paper.pdf) & ""Leveraging Class Hierarchies with Metric-Guided Prototype Learning"" [[Paper]](https://arxiv.org/pdf/2007.03047.pdf), two methods incorporating the class hierarchy into the regulariser of the general objective function in section 3.","- Add ""<PUBLICATION>Large-Scale Category Structure Aware Image Categorization</PUBLICATION>"" [[Paper]](https://proceedings.neurips.cc/paper/2011/file/d5cfead94f5350c12c322b5b664544c1-Paper.pdf) & ""<PUBLICATION>Leveraging Class Hierarchies with Metric-Guided Prototype Learning</PUBLICATION>"" [[Paper]](https://arxiv.org/pdf/2007.03047.pdf), two methods incorporating the class hierarchy into the regulariser of the general objective function in section 3.","- Add `Large-Scale Category Structure Aware Image Categorization` [[Paper]](https://proceedings.neurips.cc/paper/2011/file/d5cfead94f5350c12c322b5b664544c1-Paper.pdf) & `Leveraging Class Hierarchies with Metric-Guided Prototype Learning` [[Paper]](https://arxiv.org/pdf/2007.03047.pdf), two methods incorporating the class hierarchy into the regulariser of the general objective function in section 3.","- Add `<PUBLICATION>Large-Scale Category Structure Aware Image Categorization</PUBLICATION>` [[Paper]](https://proceedings.neurips.cc/paper/2011/file/d5cfead94f5350c12c322b5b664544c1-Paper.pdf) & `<PUBLICATION>Leveraging Class Hierarchies with Metric-Guided Prototype Learning</PUBLICATION>` [[Paper]](https://arxiv.org/pdf/2007.03047.pdf), two methods incorporating the class hierarchy into the regulariser of the general objective function in section 3.",../results/deepseek-chat/prompt-0/zzz_zju-vipa_awesome-neural-trees_main_README.md.tsv\90483941.txt,0.9900249376558603
13,Non-hybrid: NNs and DTs Cooperated Approaches.,Non-hybrid: NNs and DTs Cooperated Approaches.,`Non-hybrid: NNs and DTs Cooperated Approaches.`,`Non-hybrid: NNs and DTs Cooperated Approaches.`,../results/deepseek-chat/prompt-0/zzz_zju-vipa_awesome-neural-trees_main_README.md.tsv\03df9309.txt,0.9787234042553191
15,They employ DTs as auxiliaries for NNs as well as using NNs as tools to improve the design of DTs.,They employ DTs as auxiliaries for NNs as well as using NNs as tools to improve the design of DTs.,They employ `DTs` as auxiliaries for `NNs` as well as using `NNs` as tools to improve the design of `DTs`.,They employ `<SOFTWARE>DTs</SOFTWARE>` as auxiliaries for `<SOFTWARE>NNs</SOFTWARE>` as well as using `<SOFTWARE>NNs</SOFTWARE>` as tools to improve the design of `<SOFTWARE>DTs</SOFTWARE>`.,../results/deepseek-chat/prompt-0/zzz_zju-vipa_awesome-neural-trees_main_README.md.tsv\154a928e.txt,0.9607843137254902
18,"They are perceived implicit combinations of NNs and DTs, because NNs and DTs still operate on their  own paradigms and no hybrid model is produced.  #### 1.1 DTs as Structural Priors of NNs.","They are perceived implicit combinations of NNs and DTs, because NNs and DTs still operate on their  own paradigms and no hybrid model is produced.  #### 1.1 DTs as Structural Priors of NNs.","They are perceived implicit combinations of NNs and DTs, because NNs and DTs still operate on their own paradigms and no hybrid model is produced. #### 1.1 DTs as Structural Priors of NNs.","They are perceived implicit combinations of NNs and DTs, because NNs and DTs still operate on their own paradigms and no hybrid model is produced. #### 1.1 DTs as Structural Priors of NNs.",../results/deepseek-chat/prompt-0/zzz_zju-vipa_awesome-neural-trees_main_README.md.tsv\27b248da.txt,0.9947089947089947
19,"Adopt DTs to approximate the target concept of NNs in terms of logical descriptions, *i.e.*, use DTs to design NNs  with structural priors","Adopt DTs to approximate the target concept of NNs in terms of logical descriptions, *i.e.*, use DTs to design NNs  with structural priors","Adopt DTs to approximate the target concept of NNs in terms of logical descriptions, *i.e.*, use DTs to design NNs with structural priors","Adopt <PROGLANG>DTs</PROGLANG> to approximate the target concept of <PROGLANG>NNs</PROGLANG> in terms of logical descriptions, *i.e.*, use <PROGLANG>DTs</PROGLANG> to design <PROGLANG>NNs</PROGLANG> with structural priors",../results/deepseek-chat/prompt-0/zzz_zju-vipa_awesome-neural-trees_main_README.md.tsv\65edc2bf.txt,0.9963636363636363
25,"Cios, N.","Cios, N.","`Cios, N.`","`Cios, N.`",../results/deepseek-chat/prompt-0/zzz_zju-vipa_awesome-neural-trees_main_README.md.tsv\145161a2.txt,0.8888888888888888
29,"doi=10.1.1.122.4561&rep=rep1&type=pdf)  - ***A knowledge acquisition system that concerns about the knowledge form DTs and NNs prefer:***   - **""Implementation and refinement of decision trees using neural networks for hybrid knowledge acquisition""**,  Artificial Intelligence in Engineering, 1995     - Katsuhiko Tsujino, Shogo Nishida     - [[Paper]](https://www.sciencedirect.com/science/article/abs/pii/0954181095000054)  - ***Create a disjunctive normal form formula for each class and reformulate the first layer of entropy net:***   - **""Initializing neural networks using decision trees""**, published by Rutgers University, 1990     - Arunava Banerjee     - [[Paper]](https://scholarship.libraries.rutgers.edu/esploro/outputs/technicalDocumentation/Initializing-neural-networks-using-decision-trees/991031549998404646)   - **""Initialization of neural networks by means of decision trees""**, Knowledge-Based Systems, 1995     - Irena Ivanova, Miroslav Kubat     - [[Paper]](https://www.sciencedirect.com/science/article/abs/pii/0950705196819174)   - **""On mapping decision trees and neural networks""**, Knowledge-Based Systems, 1999     - R.SetionoW, K.Leow     - [[Paper]](https://www.sciencedirect.com/science/article/abs/pii/S095070519900009X)  #### 1.2 DTs for Approximating NNs.","doi=10.1.1.122.4561&rep=rep1&type=pdf)  - ***A knowledge acquisition system that concerns about the knowledge form DTs and NNs prefer:***   - **""<PUBLICATION>Implementation and refinement of decision trees using neural networks for hybrid knowledge acquisition</PUBLICATION>""**,  Artificial Intelligence in Engineering, 1995     - Katsuhiko Tsujino, Shogo Nishida     - [[Paper]](https://www.sciencedirect.com/science/article/abs/pii/0954181095000054)  - ***Create a disjunctive normal form formula for each class and reformulate the first layer of entropy net:***   - **""<PUBLICATION>Initializing neural networks using decision trees</PUBLICATION>""**, published by Rutgers University, 1990     - Arunava Banerjee     - [[Paper]](https://scholarship.libraries.rutgers.edu/esploro/outputs/technicalDocumentation/Initializing-neural-networks-using-decision-trees/991031549998404646)   - **""<PUBLICATION>Initialization of neural networks by means of decision trees</PUBLICATION>""**, Knowledge-Based Systems, 1995     - Irena Ivanova, Miroslav Kubat     - [[Paper]](https://www.sciencedirect.com/science/article/abs/pii/0950705196819174)   - **""<PUBLICATION>On mapping decision trees and neural networks</PUBLICATION>""**, Knowledge-Based Systems, 1999     - R.SetionoW, K.Leow     - [[Paper]](https://www.sciencedirect.com/science/article/abs/pii/S095070519900009X)  #### 1.2 DTs for Approximating NNs.","doi=10.1.1.122.4561&rep=rep1&type=pdf)  - ***A knowledge acquisition system that concerns about the knowledge form DTs and NNs prefer:***   - **""Implementation and refinement of decision trees using neural networks for hybrid knowledge acquisition""**, Artificial Intelligence in Engineering, 1995     - Katsuhiko Tsujino, Shogo Nishida     - [[Paper]](https://www.sciencedirect.com/science/article/abs/pii/0954181095000054)  - ***Create a disjunctive normal form formula for each class and reformulate the first layer of entropy net:***   - **""Initializing neural networks using decision trees""**, published by Rutgers University, 1990     - Arunava Banerjee     - [[Paper]](https://scholarship.libraries.rutgers.edu/esploro/outputs/technicalDocumentation/Initializing-neural-networks-using-decision-trees/991031549998404646)   - **""Initialization of neural networks by means of decision trees""**, Knowledge-Based Systems, 1995     - Irena Ivanova, Miroslav Kubat     - [[Paper]](https://www.sciencedirect.com/science/article/abs/pii/0950705196819174)   - **""On mapping decision trees and neural networks""**, Knowledge-Based Systems, 1999     - R.SetionoW, K.Leow     - [[Paper]](https://www.sciencedirect.com/science/article/abs/pii/S095070519900009X)  #### 1.2 DTs for Approximating NNs.","doi=10.1.1.122.4561&rep=rep1&type=pdf)  - ***A knowledge acquisition system that concerns about the knowledge form DTs and NNs prefer:***   - **""<PUBLICATION>Implementation and refinement of decision trees using neural networks for hybrid knowledge acquisition</PUBLICATION>""**, <PUBLICATION>Artificial Intelligence in Engineering</PUBLICATION>, 1995     - Katsuhiko Tsujino, Shogo Nishida     - [[Paper]](https://www.sciencedirect.com/science/article/abs/pii/0954181095000054)  - ***Create a disjunctive normal form formula for each class and reformulate the first layer of entropy net:***   - **""<PUBLICATION>Initializing neural networks using decision trees</PUBLICATION>""**, published by <PUBLICATION>Rutgers University</PUBLICATION>, 1990     - Arunava Banerjee     - [[Paper]](https://scholarship.libraries.rutgers.edu/esploro/outputs/technicalDocumentation/Initializing-neural-networks-using-decision-trees/991031549998404646)   - **""<PUBLICATION>Initialization of neural networks by means of decision trees</PUBLICATION>""**, <PUBLICATION>Knowledge-Based Systems</PUBLICATION>, 1995     - Irena Ivanova, Miroslav Kubat     - [[Paper]](https://www.sciencedirect.com/science/article/abs/pii/0950705196819174)   - **""<PUBLICATION>On mapping decision trees and neural networks</PUBLICATION>""**, <PUBLICATION>Knowledge-Based Systems</PUBLICATION>, 1999     - R.SetionoW, K.Leow     - [[Paper]](https://www.sciencedirect.com/science/article/abs/pii/S095070519900009X)  #### 1.2 DTs for Approximating NNs.",../results/deepseek-chat/prompt-0/zzz_zju-vipa_awesome-neural-trees_main_README.md.tsv\b931bba7.txt,0.9996122528111672
32,"pq-origsite=gscholar&cbl=18750&diss=y)   - **""Extracting decision trees from trained neural networks""**, Pattern Recognition, 2020     - Olcay Boz      - [[Paper]](https://dl.acm.org/doi/abs/10.1145/775047.775113)   - **""NeC4.5: neural ensemble based C4.5""**, IEEE Transactions on Knowledge and Data Engineering, 2004     - Zhi-Hua Zhou, Yuan Jiang *(use NN ensembles)*     - [[Paper]](https://ieeexplore.ieee.org/abstract/document/1294896)   - **""Extracting decision trees from trained neural networks""**, Pattern Recognition, 1999     - R.Krishnan, *et al.* *(adapt genetic algorithms to generate artificial examples)*     - [[Paper]](https://www.sciencedirect.com/science/article/abs/pii/S0031320398001812)  - ***generalize the TREPAN algorithm***   - **""An investigation of TREPAN utilising a continuous oracle model""**, Data Analysis Techniques and Strategies, 2011      - William A Young *et al.* *(develop DTs derived from continuous-based models)*     - [[Paper]](https://www.researchgate.net/profile/William-Young-10/publication/227441144_An_investigation_of_TREPAN_utilising_a_continuous_oracle_model/links/00b495258560f7e8d3000000/An-investigation-of-TREPAN-utilising-a-continuous-oracle-model.pdf?","pq-origsite=gscholar&cbl=18750&diss=y)   - **""<PUBLICATION>Extracting decision trees from trained neural networks</PUBLICATION>""**, Pattern Recognition, 2020     - Olcay Boz      - [[Paper]](https://dl.acm.org/doi/abs/10.1145/775047.775113)   - **""<PUBLICATION>NeC4.5: neural ensemble based C4.5</PUBLICATION>""**, IEEE Transactions on Knowledge and Data Engineering, 2004     - Zhi-Hua Zhou, Yuan Jiang *(use NN ensembles)*     - [[Paper]](https://ieeexplore.ieee.org/abstract/document/1294896)   - **""<PUBLICATION>Extracting decision trees from trained neural networks</PUBLICATION>""**, Pattern Recognition, 1999     - R.Krishnan, *et al.* *(adapt genetic algorithms to generate artificial examples)*     - [[Paper]](https://www.sciencedirect.com/science/article/abs/pii/S0031320398001812)  - ***generalize the TREPAN algorithm***   - **""<PUBLICATION>An investigation of TREPAN utilising a continuous oracle model</PUBLICATION>""**, Data Analysis Techniques and Strategies, 2011      - William A Young *et al.* *(develop DTs derived from continuous-based models)*     - [[Paper]](https://www.researchgate.net/profile/William-Young-10/publication/227441144_An_investigation_of_TREPAN_utilising_a_continuous_oracle_model/links/00b495258560f7e8d3000000/An-investigation-of-TREPAN-utilising-a-continuous-oracle-model.pdf?","- **""Extracting decision trees from trained neural networks""**, Pattern Recognition, 2020
  - Olcay Boz
  - [[Paper]](https://dl.acm.org/doi/abs/10.1145/775047.775113)
- **""NeC4.5: neural ensemble based C4.5""**, IEEE Transactions on Knowledge and Data Engineering, 2004
  - Zhi-Hua Zhou, Yuan Jiang *(use NN ensembles)*
  - [[Paper]](https://ieeexplore.ieee.org/abstract/document/1294896)
- **""Extracting decision trees from trained neural networks""**, Pattern Recognition, 1999
  - R.Krishnan, *et al.* *(adapt genetic algorithms to generate artificial examples)*
  - [[Paper]](https://www.sciencedirect.com/science/article/abs/pii/S0031320398001812)
- ***generalize the TREPAN algorithm***
- **""An investigation of TREPAN utilising a continuous oracle model""**, Data Analysis Techniques and Strategies, 2011
  - William A Young *et al.* *(develop DTs derived from continuous-based models)*
  - [[Paper]](https://www.researchgate.net/profile/William-Young-10/publication/227441144_An_investigation_of_TREPAN_utilising_a_continuous_oracle_model/links/00b495258560f7e8d3000000/An-investigation-of-TREPAN-utilising-a-continuous-oracle-model.pdf?","- **""<PUBLICATION>Extracting decision trees from trained neural networks</PUBLICATION>""**, <PUBLICATION>Pattern Recognition</PUBLICATION>, 2020
  - Olcay Boz
  - [[Paper]](https://dl.acm.org/doi/abs/10.1145/775047.775113)
- **""<PUBLICATION>NeC4.5: neural ensemble based C4.5</PUBLICATION>""**, <PUBLICATION>IEEE Transactions on Knowledge and Data Engineering</PUBLICATION>, 2004
  - Zhi-Hua Zhou, Yuan Jiang *(use NN ensembles)*
  - [[Paper]](https://ieeexplore.ieee.org/abstract/document/1294896)
- **""<PUBLICATION>Extracting decision trees from trained neural networks</PUBLICATION>""**, <PUBLICATION>Pattern Recognition</PUBLICATION>, 1999
  - R.Krishnan, *et al.* *(adapt genetic algorithms to generate artificial examples)*
  - [[Paper]](https://www.sciencedirect.com/science/article/abs/pii/S0031320398001812)
- ***generalize the TREPAN algorithm***
- **""<PUBLICATION>An investigation of TREPAN utilising a continuous oracle model</PUBLICATION>""**, <PUBLICATION>Data Analysis Techniques and Strategies</PUBLICATION>, 2011
  - William A Young *et al.* *(develop DTs derived from continuous-based models)*
  - [[Paper]](https://www.researchgate.net/profile/William-Young-10/publication/227441144_An_investigation_of_TREPAN_utilising_a_continuous_oracle_model/links/00b495258560f7e8d3000000/An-investigation-of-TREPAN-utilising-a-continuous-oracle-model.pdf?",../results/deepseek-chat/prompt-0/zzz_zju-vipa_awesome-neural-trees_main_README.md.tsv\9902fb34.txt,0.9617346938775511
34,"Expires=1662897159&Signature=C2Z0VL3cIkc56vlIci5ERXC7VADyi9tEqIlvJ3CqHzaLB9bfY9Tma8UVsZpu1BXI1l24paZ0iJArqUUzEqrTvum7s93dAUL-pKmmBKausyKiAw3qj2Bx18I5jzDOat2TCKA6wd2GbiexuK7gtlfNgeu03fBg0Rx2UWt~2KW6RNMeamZinhzp1FCrSzH4fFRqhTuc2~UgajTzsaUlJHbJef-s9u2wOiwqNiEUAfwN8zG0tIEt-fE0GEUdSC9AzBVXLpodLTadDzUZODX7lzUX~o00-ZHxKl7VOnbi0wQ8OZw087zKQjqQNOw1ik16zfKMamZW~YS6e38aUgud0sOrBg__&Key-Pair-Id=APKAJLOHF5GGSLRBV4ZA)   - **""Extracting fuzzy symbolic representation from artificial neural networks""**, NAFIPS, 1999     - Maciej Faifer *et al.* *(use fuzzy representation during the tree-induction process)*     - [[Paper]](https://ieeexplore.ieee.org/abstract/document/781764)   - **""DT+GNN: A Fully Explainable Graph Neural Network using Decision Trees""**, arXiv, 2022     - Peter Müller *et al.* *(incorporate DTs into graph neural networks)*     - [[Paper]](https://arxiv.org/abs/2205.13234)  - ***NNs perform significance analysis to select attributes***   - **""ANN-DT: an algorithm for extraction of decision trees from artificial neural networks""**, IEEE Transactions on Neural Networks, 1999     - Gregor PJ Schmitz *et al.*     - [[Paper]](https://ieeexplore.ieee.org/abstract/document/809084)   ##### *1.2.2 Decompositional Techniques.* Decompositional techniques concern units in the hidden layers.","Expires=1662897159&Signature=C2Z0VL3cIkc56vlIci5ERXC7VADyi9tEqIlvJ3CqHzaLB9bfY9Tma8UVsZpu1BXI1l24paZ0iJArqUUzEqrTvum7s93dAUL-pKmmBKausyKiAw3qj2Bx18I5jzDOat2TCKA6wd2GbiexuK7gtlfNgeu03fBg0Rx2UWt~2KW6RNMeamZinhzp1FCrSzH4fFRqhTuc2~UgajTzsaUlJHbJef-s9u2wOiwqNiEUAfwN8zG0tIEt-fE0GEUdSC9AzBVXLpodLTadDzUZODX7lzUX~o00-ZHxKl7VOnbi0wQ8OZw087zKQjqQNOw1ik16zfKMamZW~YS6e38aUgud0sOrBg__&Key-Pair-Id=APKAJLOHF5GGSLRBV4ZA)   - **""<PUBLICATION>Extracting fuzzy symbolic representation from artificial neural networks</PUBLICATION>""**, <CONFERENCE>NAFIPS</CONFERENCE>, 1999     - Maciej Faifer *et al.* *(use fuzzy representation during the tree-induction process)*     - [[Paper]](https://ieeexplore.ieee.org/abstract/document/781764)   - **""<PUBLICATION>DT+GNN: A Fully Explainable Graph Neural Network using Decision Trees</PUBLICATION>""**, arXiv, 2022     - Peter Müller *et al.* *(incorporate DTs into graph neural networks)*     - [[Paper]](https://arxiv.org/abs/2205.13234)  - ***NNs perform significance analysis to select attributes***   - **""<PUBLICATION>ANN-DT: an algorithm for extraction of decision trees from artificial neural networks</PUBLICATION>""**, IEEE Transactions on Neural Networks, 1999     - Gregor PJ Schmitz *et al.*     - [[Paper]](https://ieeexplore.ieee.org/abstract/document/809084)   ##### *1.2.2 Decompositional Techniques.* Decompositional techniques concern units in the hidden layers.","- **""Extracting fuzzy symbolic representation from artificial neural networks""**, NAFIPS, 1999
  - Maciej Faifer *et al.* *(use fuzzy representation during the tree-induction process)*
  - [[Paper]](https://ieeexplore.ieee.org/abstract/document/781764)
- **""DT+GNN: A Fully Explainable Graph Neural Network using Decision Trees""**, arXiv, 2022
  - Peter Müller *et al.* *(incorporate DTs into graph neural networks)*
  - [[Paper]](https://arxiv.org/abs/2205.13234)
- ***NNs perform significance analysis to select attributes***
- **""ANN-DT: an algorithm for extraction of decision trees from artificial neural networks""**, IEEE Transactions on Neural Networks, 1999
  - Gregor PJ Schmitz *et al.*
  - [[Paper]](https://ieeexplore.ieee.org/abstract/document/809084)
##### *1.2.2 Decompositional Techniques.* Decompositional techniques concern units in the hidden layers.","- **""<PUBLICATION>Extracting fuzzy symbolic representation from artificial neural networks</PUBLICATION>""**, <CONFERENCE>NAFIPS</CONFERENCE>, 1999
  - Maciej Faifer *et al.* *(use fuzzy representation during the tree-induction process)*
  - [[Paper]](https://ieeexplore.ieee.org/abstract/document/781764)
- **""<PUBLICATION>DT+GNN: A Fully Explainable Graph Neural Network using Decision Trees</PUBLICATION>""**, <PUBLICATION>arXiv</PUBLICATION>, 2022
  - Peter Müller *et al.* *(incorporate DTs into graph neural networks)*
  - [[Paper]](https://arxiv.org/abs/2205.13234)
- ***NNs perform significance analysis to select attributes***
- **""<PUBLICATION>ANN-DT: an algorithm for extraction of decision trees from artificial neural networks</PUBLICATION>""**, <PUBLICATION>IEEE Transactions on Neural Networks</PUBLICATION>, 1999
  - Gregor PJ Schmitz *et al.*
  - [[Paper]](https://ieeexplore.ieee.org/abstract/document/809084)
##### *1.2.2 Decompositional Techniques.* Decompositional techniques concern units in the hidden layers.",../results/deepseek-chat/prompt-0/zzz_zju-vipa_awesome-neural-trees_main_README.md.tsv\a9505c06.txt,0.7928011075219197
