sentence_idx,original_sentence,original_annotated,de_annotated_content,generated_annotated,source_file,similarity_score
1,# [PAV-SOD: A New Task Towards Panoramic Audiovisual Saliency Detection (TOMM 2022)](https://drive.google.com/file/d/1-1RcARcbz4pACFzkjXcp6MP8R9CGScqI/view?,# [<PUBLICATION>PAV-SOD: A New Task Towards Panoramic Audiovisual Saliency Detection</PUBLICATION><PROJECT>PAV-SOD</PROJECT>: A New Task Towards Panoramic Audiovisual Saliency Detection (<PUBLICATION>TOMM 2022</PUBLICATION>)](https://drive.google.com/file/d/1-1RcARcbz4pACFzkjXcp6MP8R9CGScqI/view?,"# [PAV-SOD: A New Task Towards Panoramic Audiovisual Saliency Detection (TOMM 2022)](https://drive.google.com/file/d/1-1RcARcbz4pACFzkjXcp6MP8R9CGScqI/view?
","# [<PUBLICATION>PAV-SOD: A New Task Towards Panoramic Audiovisual Saliency Detection</PUBLICATION> (<PUBLICATION>TOMM 2022</PUBLICATION>)](https://drive.google.com/file/d/1-1RcARcbz4pACFzkjXcp6MP8R9CGScqI/view?
",../results/deepseek-chat/prompt-0/zzz_PanoAsh_ASOD60K_main_README.md.tsv\9a4e532c.txt,0.9968051118210862
2,"usp=sharing)  Object-level audiovisual saliency detection in 360° panoramic real-life dynamic scenes is important for exploring and modeling human perception in immersive environments, also for aiding the development of virtual, augmented and mixed reality applications in the fields of such as education, social network, entertainment and training.","usp=sharing)  Object-level audiovisual saliency detection in 360° panoramic real-life dynamic scenes is important for exploring and modeling human perception in immersive environments, also for aiding the development of virtual, augmented and mixed reality applications in the fields of such as education, social network, entertainment and training.","usp=sharing)  Object-level audiovisual saliency detection in 360° panoramic real-life dynamic scenes is important for exploring and modeling human perception in immersive environments, also for aiding the development of virtual, augmented and mixed reality applications in the fields of such as education, social network, entertainment and training.","usp=sharing)  Object-level audiovisual saliency detection in 360° panoramic real-life dynamic scenes is important for exploring and modeling human perception in immersive environments, also for aiding the development of virtual, augmented and mixed reality applications in the fields of such as education, social network, entertainment and training.",../results/deepseek-chat/prompt-0/zzz_PanoAsh_ASOD60K_main_README.md.tsv\d87e9b85.txt,1.0
3,"To this end, we propose a new task, panoramic audiovisual salient object detection (PAV-SOD), which aims to segment the objects grasping most of the human attention in 360° panoramic videos reflecting real-life daily scenes.","To this end, we propose a new task, <PROJECT>panoramic audiovisual salient object detection</PROJECT> (<PROJECT>PAV-SOD</PROJECT>), which aims to segment the objects grasping most of the human attention in 360° panoramic videos reflecting real-life daily scenes.","To this end, we propose a new task, panoramic audiovisual salient object detection (PAV-SOD), which aims to segment the objects grasping most of the human attention in 360° panoramic videos reflecting real-life daily scenes.","To this end, we propose a new task, panoramic audiovisual salient object detection (<PUBLICATION>PAV-SOD</PUBLICATION>), which aims to segment the objects grasping most of the human attention in 360° panoramic videos reflecting real-life daily scenes.",../results/deepseek-chat/prompt-0/zzz_PanoAsh_ASOD60K_main_README.md.tsv\85f5f838.txt,1.0
4,"To support the task, we collect PAVS10K, the first panoramic video dataset for audiovisual salient object detection, which consists of 67 4K-resolution equirectangular videos with per-video labels including hierarchical scene categories and associated attributes depicting specific challenges for conducting PAV-SOD, and 10,465 uniformly sampled video frames with manually annotated object-level and instance-level pixel-wise masks.","To support the task, we collect <DATASET>PAVS10K</DATASET>, the first panoramic video dataset for audiovisual salient object detection, which consists of 67 4K-resolution equirectangular videos with per-video labels including hierarchical scene categories and associated attributes depicting specific challenges for conducting <PROJECT>PAV-SOD</PROJECT>, and 10,465 uniformly sampled video frames with manually annotated object-level and instance-level pixel-wise masks.","Here is the annotated text in Markdown format:

To support the task, we collect PAVS10K, the first panoramic video dataset for audiovisual salient object detection, which consists of 67 4K-resolution equirectangular videos with per-video labels including hierarchical scene categories and associated attributes depicting specific challenges for conducting PAV-SOD, and 10,465 uniformly sampled video frames with manually annotated object-level and instance-level pixel-wise masks.
","Here is the annotated text in Markdown format:

To support the task, we collect <DATASET>PAVS10K</DATASET>, the first panoramic video dataset for audiovisual salient object detection, which consists of 67 4K-resolution equirectangular videos with per-video labels including hierarchical scene categories and associated attributes depicting specific challenges for conducting <SOFTWARE>PAV-SOD</SOFTWARE>, and 10,465 uniformly sampled video frames with manually annotated object-level and instance-level pixel-wise masks.
",../results/deepseek-chat/prompt-0/zzz_PanoAsh_ASOD60K_main_README.md.tsv\0225e3d2.txt,0.9463307776560789
5,The coarse-to-fine annotations enable multi-perspective analysis regarding PAV-SOD modeling.,The coarse-to-fine annotations enable multi-perspective analysis regarding <SOFTWARE>PAV-SOD</SOFTWARE> modeling.,The coarse-to-fine annotations enable multi-perspective analysis regarding PAV-SOD modeling.,The coarse-to-fine annotations enable multi-perspective analysis regarding <PUBLICATION>PAV-SOD</PUBLICATION> modeling.,../results/deepseek-chat/prompt-0/zzz_PanoAsh_ASOD60K_main_README.md.tsv\18886047.txt,1.0
6,We further systematically benchmark 13 state-of-the-art salient object detection (SOD)/video object segmentation (VOS) methods based on our PAVS10K.,We further systematically benchmark 13 state-of-the-art salient object detection (SOD)/video object segmentation (VOS) methods based on our <DATASET>PAVS10K</DATASET>.,We further systematically benchmark 13 state-of-the-art salient object detection (SOD)/video object segmentation (VOS) methods based on our PAVS10K.,We further systematically benchmark 13 state-of-the-art salient object detection (SOD)/video object segmentation (VOS) methods based on our <DATASET>PAVS10K</DATASET>.,../results/deepseek-chat/prompt-0/zzz_PanoAsh_ASOD60K_main_README.md.tsv\25bec5df.txt,1.0
7,"Besides, we propose a new baseline network, which takes advantage of both visual and audio cues of 360° video frames by using a new conditional variational auto-encoder (CVAE).","Besides, we propose a new baseline network, which takes advantage of both visual and audio cues of 360° video frames by using a new conditional variational auto-encoder (CVAE).","Besides, we propose a new baseline network, which takes advantage of both visual and audio cues of 360° video frames by using a new conditional variational auto-encoder (CVAE).","Besides, we propose a new baseline network, which takes advantage of both visual and audio cues of 360° video frames by using a new conditional variational auto-encoder (CVAE).",../results/deepseek-chat/prompt-0/zzz_PanoAsh_ASOD60K_main_README.md.tsv\957758ed.txt,1.0
8,"Our CVAE-based audiovisual network, namely CAV-Net, consists of a spatial-temporal visual segmentation network, a convolutional audio-encoding network and audiovisual distribution estimation modules.","Our CVAE-based audiovisual network, namely CAV-Net, consists of a spatial-temporal visual segmentation network, a convolutional audio-encoding network and audiovisual distribution estimation modules.","Our CVAE-based audiovisual network, namely CAV-Net, consists of a spatial-temporal visual segmentation network, a convolutional audio-encoding network and audiovisual distribution estimation modules.","Our <SOFTWARE>CVAE</SOFTWARE>-based audiovisual network, namely <SOFTWARE>CAV-Net</SOFTWARE>, consists of a spatial-temporal visual segmentation network, a convolutional audio-encoding network and audiovisual distribution estimation modules.",../results/deepseek-chat/prompt-0/zzz_PanoAsh_ASOD60K_main_README.md.tsv\9d156242.txt,1.0
9,"As a result, our CAV-Net outperforms all competing models and is able to estimate the aleatoric uncertainties within PAVS10K.","As a result, our CAV-Net outperforms all competing models and is able to estimate the aleatoric uncertainties within <DATASET>PAVS10K</DATASET>.","As a result, our CAV-Net outperforms all competing models and is able to estimate the aleatoric uncertainties within PAVS10K.","As a result, our <SOFTWARE>CAV-Net</SOFTWARE> outperforms all competing models and is able to estimate the aleatoric uncertainties within <DATASET>PAVS10K</DATASET>.",../results/deepseek-chat/prompt-0/zzz_PanoAsh_ASOD60K_main_README.md.tsv\bac8b45a.txt,1.0
10,"With extensive experimental results, we gain several findings about PAV-SOD challenges and insights towards PAV-SOD model interpretability.","With extensive experimental results, we gain several findings about <PROJECT>PAV-SOD</PROJECT> challenges and insights towards <SOFTWARE>PAV-SOD </SOFTWARE>model interpretability.","With extensive experimental results, we gain several findings about PAV-SOD challenges and insights towards PAV-SOD model interpretability.","With extensive experimental results, we gain several findings about <PUBLICATION>PAV-SOD</PUBLICATION> challenges and insights towards <PUBLICATION>PAV-SOD</PUBLICATION> model interpretability.",../results/deepseek-chat/prompt-0/zzz_PanoAsh_ASOD60K_main_README.md.tsv\dde56107.txt,1.0
