sentence_idx,original_sentence,original_annotated,de_annotated_content,generated_annotated,source_file,similarity_score
1,# The Unhealthy Comments Corpus (UCC)   The Unhealthy Comments Corpus (UCC) is corpus of 44355 comments intended to assist in research on identifying subtle attributes which contribute to unhealthy conversations online.,# The <DATASET>Unhealthy Comments Corpus</DATASET> (<DATASET>UCC</DATASET>)   The <DATASET>Unhealthy Comments Corpus</DATASET> (<DATASET>UCC</DATASET>) is corpus of 44355 comments intended to assist in research on identifying subtle attributes which contribute to unhealthy conversations online.,# The Unhealthy Comments Corpus (UCC)   The Unhealthy Comments Corpus (UCC) is corpus of 44355 comments intended to assist in research on identifying subtle attributes which contribute to unhealthy conversations online.,# The <DATASET>Unhealthy Comments Corpus (UCC)</DATASET>   The <DATASET>Unhealthy Comments Corpus (UCC)</DATASET> is corpus of 44355 comments intended to assist in research on identifying subtle attributes which contribute to unhealthy conversations online.,../results/deepseek-chat/prompt-0/zzz_conversationai_unhealthy-conversations_main_README.md.tsv\f000528a.txt,1.0
2,"Each comment is labelled as either 'healthy' or 'unhealthy', in addition to binary labels for the presence of six potentially 'unhealthy' sub-attributes: (1) hostile; (2) antagonistic, insulting, provocative or trolling; (3) dismissive; (4) condescending or patronising; (5) sarcastic; and/or (6) an unfair generalisation.","Each comment is labelled as either 'healthy' or 'unhealthy', in addition to binary labels for the presence of six potentially 'unhealthy' sub-attributes: (1) hostile; (2) antagonistic, insulting, provocative or trolling; (3) dismissive; (4) condescending or patronising; (5) sarcastic; and/or (6) an unfair generalisation.","Each comment is labelled as either 'healthy' or 'unhealthy', in addition to binary labels for the presence of six potentially 'unhealthy' sub-attributes: (1) hostile; (2) antagonistic, insulting, provocative or trolling; (3) dismissive; (4) condescending or patronising; (5) sarcastic; and/or (6) an unfair generalisation.","Each comment is labelled as either 'healthy' or 'unhealthy', in addition to binary labels for the presence of six potentially 'unhealthy' sub-attributes: (1) hostile; (2) antagonistic, insulting, provocative or trolling; (3) dismissive; (4) condescending or patronising; (5) sarcastic; and/or (6) an unfair generalisation.",../results/deepseek-chat/prompt-0/zzz_conversationai_unhealthy-conversations_main_README.md.tsv\35daf1af.txt,1.0
3,Each label also has an associated confidence score.,Each label also has an associated confidence score.,Each label also has an associated confidence score.,Each label also has an associated confidence score.,../results/deepseek-chat/prompt-0/zzz_conversationai_unhealthy-conversations_main_README.md.tsv\fe35c53a.txt,1.0
4,"For a detailed description of the annotation process, quality control procedures, summary statistics and baseline modelling results, see our [paper](https://arxiv.org/abs/2010.07410), to appear in the [Fourth Workshop on Online Abuse and Harms 2020](https://www.workshopononlineabuse.com/).","For a detailed description of the annotation process, quality control procedures, summary statistics and baseline modelling results, see our [paper](https://arxiv.org/abs/2010.07410), to appear in the [<WORKSHOP>Fourth Workshop on Online Abuse and Harms 2020</WORKSHOP>](https://www.workshopononlineabuse.com/).","For a detailed description of the annotation process, quality control procedures, summary statistics and baseline modelling results, see our paper(https://arxiv.org/abs/2010.07410), to appear in the Fourth Workshop on Online Abuse and Harms 2020(https://www.workshopononlineabuse.com/).
","For a detailed description of the annotation process, quality control procedures, summary statistics and baseline modelling results, see our <PUBLICATION>paper</PUBLICATION>(https://arxiv.org/abs/2010.07410), to appear in the <WORKSHOP>Fourth Workshop on Online Abuse and Harms 2020</WORKSHOP>(https://www.workshopononlineabuse.com/).
",../results/deepseek-chat/prompt-0/zzz_conversationai_unhealthy-conversations_main_README.md.tsv\e5c860e4.txt,0.9740034662045061
5,"The UCC contributes further high quality data on  attributes  like  sarcasm,  hostility,  and  condescension, adding to existing datasets on these and related attributes, and provides (to the best of our knowledge) the first dataset of this scale with labels for dismissiveness,  unfair generalisations,  antagonistic behavior, and overall assessments of whether those comments fall within 'healthy' conversation.","The <DATASET>UCC</DATASET> contributes further high quality data on  attributes  like  sarcasm,  hostility,  and  condescension, adding to existing datasets on these and related attributes, and provides (to the best of our knowledge) the first dataset of this scale with labels for dismissiveness,  unfair generalisations,  antagonistic behavior, and overall assessments of whether those comments fall within 'healthy' conversation.","The UCC contributes further high quality data on  attributes  like  sarcasm,  hostility,  and  condescension, adding to existing datasets on these and related attributes, and provides (to the best of our knowledge) the first dataset of this scale with labels for dismissiveness,  unfair generalisations,  antagonistic behavior, and overall assessments of whether those comments fall within 'healthy' conversation.","The <DATASET>UCC</DATASET> contributes further high quality data on  attributes  like  sarcasm,  hostility,  and  condescension, adding to existing datasets on these and related attributes, and provides (to the best of our knowledge) the first <DATASET>dataset of this scale</DATASET> with labels for dismissiveness,  unfair generalisations,  antagonistic behavior, and overall assessments of whether those comments fall within 'healthy' conversation.",../results/deepseek-chat/prompt-0/zzz_conversationai_unhealthy-conversations_main_README.md.tsv\458b38ac.txt,1.0
6,"We hope that this dataset  can contribute to research on how to understand, monitor and deal with unhealthy online interactions to promote healthier conversations online.  ## The data  The dataset is provided as three .csv files, `train.csv`, `test.csv`, and `val.csv`.","We hope that this dataset  can contribute to research on how to understand, monitor and deal with unhealthy online interactions to promote healthier conversations online.  ## The data  The dataset is provided as three .csv files, `train.csv`, `test.csv`, and `val.csv`.","We hope that this dataset can contribute to research on how to understand, monitor and deal with unhealthy online interactions to promote healthier conversations online.  ## The data  The dataset is provided as three .csv files, train.csv, test.csv, and val.csv.","We hope that this <DATASET>dataset</DATASET> can contribute to research on how to understand, monitor and deal with unhealthy online interactions to promote healthier conversations online.  ## The data  The <DATASET>dataset</DATASET> is provided as three .csv files, <DATASET>train.csv</DATASET>, <DATASET>test.csv</DATASET>, and <DATASET>val.csv</DATASET>.",../results/deepseek-chat/prompt-0/zzz_conversationai_unhealthy-conversations_main_README.md.tsv\2d02399b.txt,0.8625235404896422
7,"In addition to labels and confidence scores for each of the above-mentioned attributes, each comment includes the number of trusted judgements which were aggregated to yield the results labels and confidence scores (see paper for details).","In addition to labels and confidence scores for each of the above-mentioned attributes, each comment includes the number of trusted judgements which were aggregated to yield the results labels and confidence scores (see paper for details).","In addition to labels and confidence scores for each of the above-mentioned attributes, each comment includes the number of trusted judgements which were aggregated to yield the results labels and confidence scores (see paper for details).","In addition to labels and confidence scores for each of the above-mentioned attributes, each comment includes the number of trusted judgements which were aggregated to yield the results labels and confidence scores (see paper for details).",../results/deepseek-chat/prompt-0/zzz_conversationai_unhealthy-conversations_main_README.md.tsv\fb1bb3bb.txt,1.0
8,We also provide the individual annotations of each comment in `unhealthy_full.csv`.,We also provide the individual annotations of each comment in `unhealthy_full.csv`.,We also provide the individual annotations of each comment in unhealthy_full.csv.,We also provide the individual annotations of each comment in <DATASET>unhealthy_full.csv</DATASET>.,../results/deepseek-chat/prompt-0/zzz_conversationai_unhealthy-conversations_main_README.md.tsv\20cbb74a.txt,0.9878048780487805
9,This contains all individual judgements which were aggregated to create the final dataset.,This contains all individual judgements which were aggregated to create the final dataset.,This contains all individual judgements which were aggregated to create the final dataset.,This contains all individual judgements which were aggregated to create the final <DATASET>dataset</DATASET>.,../results/deepseek-chat/prompt-0/zzz_conversationai_unhealthy-conversations_main_README.md.tsv\b51ef29e.txt,1.0
10,"Each of these annotations includes the trustworthiness score of the annotator, allowing users to impose higher trustworthiness thresholds or apply different aggregation methods as desired.","Each of these annotations includes the trustworthiness score of the annotator, allowing users to impose higher trustworthiness thresholds or apply different aggregation methods as desired.","Each of these annotations includes the trustworthiness score of the annotator, allowing users to impose higher trustworthiness thresholds or apply different aggregation methods as desired.","Each of these annotations includes the trustworthiness score of the annotator, allowing users to impose higher trustworthiness thresholds or apply different aggregation methods as desired.",../results/deepseek-chat/prompt-0/zzz_conversationai_unhealthy-conversations_main_README.md.tsv\add3536f.txt,1.0
