sentence_idx,original_sentence,original_annotated,de_annotated_content,generated_annotated,source_file,similarity_score
1,"# ActionFormer: Localizing Moments of Actions with Transformers  ## Introduction This code repo implements Actionformer, one of the first Transformer-based model for temporal action localization --- detecting the onsets and offsets of action instances and recognizing their action categories.","# <PUBLICATION>ActionFormer: Localizing Moments of Actions with Transformers</PUBLICATION><SOFTWARE>ActionFormer</SOFTWARE>: Localizing Moments of Actions with Transformers  ## Introduction This code repo implements <SOFTWARE>Actionformer</SOFTWARE>, one of the first Transformer-based model for temporal action localization --- detecting the onsets and offsets of action instances and recognizing their action categories.","# ActionFormer: Localizing Moments of Actions with Transformers  ## Introduction This code repo implements Actionformer, one of the first Transformer-based model for temporal action localization --- detecting the onsets and offsets of action instances and recognizing their action categories.
","# <SOFTWARE>ActionFormer</SOFTWARE>: Localizing Moments of Actions with Transformers  ## Introduction This code repo implements <SOFTWARE>Actionformer</SOFTWARE>, one of the first Transformer-based model for temporal action localization --- detecting the onsets and offsets of action instances and recognizing their action categories.
",../results/deepseek-chat/prompt-0/zzz_happyharrycn_actionformer_release_main_README.md.tsv\dc162492.txt,0.9982905982905983
2,"Without bells and whistles, ActionFormer achieves 71.0% mAP at tIoU=0.5 on THUMOS14, outperforming the best prior model by 14.1 absolute percentage points and crossing the 60% mAP for the first time.","Without bells and whistles, <SOFTWARE>ActionFormer</SOFTWARE> achieves 71.0% <EVALMETRIC>mAP</EVALMETRIC> at <EVALMETRIC>tIoU</EVALMETRIC>=0.5 on <DATASET>THUMOS14</DATASET>, outperforming the best prior model by 14.1 absolute percentage points and crossing the 60% <EVALMETRIC>mAP</EVALMETRIC> for the first time.","Without bells and whistles, ActionFormer achieves 71.0% mAP at tIoU=0.5 on THUMOS14, outperforming the best prior model by 14.1 absolute percentage points and crossing the 60% mAP for the first time.","Without bells and whistles, <SOFTWARE>ActionFormer</SOFTWARE> achieves 71.0% <EVALMETRIC>mAP</EVALMETRIC> at <EVALMETRIC>tIoU</EVALMETRIC>=0.5 on <DATASET>THUMOS14</DATASET>, outperforming the best prior model by 14.1 absolute percentage points and crossing the 60% <EVALMETRIC>mAP</EVALMETRIC> for the first time.",../results/deepseek-chat/prompt-0/zzz_happyharrycn_actionformer_release_main_README.md.tsv\c0141251.txt,1.0
3,"Further, ActionFormer demonstrates strong results on ActivityNet 1.3 (36.56% average mAP) and the more challenging EPIC-Kitchens 100 (+13.5% average mAP over prior works).","Further, <SOFTWARE>ActionFormer</SOFTWARE> demonstrates strong results on <DATASET>ActivityNet 1.3</DATASET> (36.56% average <EVALMETRIC>mAP</EVALMETRIC>) and the more challenging <DATASET>EPIC-Kitchens 100</DATASET> (+13.5% average <EVALMETRIC>mAP</EVALMETRIC> over prior works).","Further, ActionFormer demonstrates strong results on ActivityNet 1.3 (36.56% average mAP) and the more challenging EPIC-Kitchens 100 (+13.5% average mAP over prior works).","Further, ActionFormer demonstrates strong results on <DATASET>ActivityNet 1.3</DATASET> (36.56% average <EVALMETRIC>mAP</EVALMETRIC>) and the more challenging <DATASET>EPIC-Kitchens 100</DATASET> (+13.5% average <EVALMETRIC>mAP</EVALMETRIC> over prior works).",../results/deepseek-chat/prompt-0/zzz_happyharrycn_actionformer_release_main_README.md.tsv\3c5cfe6b.txt,1.0
4,Our paper is accepted to ECCV 2022 and an arXiv version can be found at [this link](https://arxiv.org/abs/2202.07925).,Our paper is accepted to <CONFERENCE>ECCV 2022</CONFERENCE> and an arXiv version can be found at [this link](https://arxiv.org/abs/2202.07925).,"Our paper is accepted to ECCV 2022 and an arXiv version can be found at [this link](https://arxiv.org/abs/2202.07925).
","Our paper is accepted to <CONFERENCE>ECCV 2022</CONFERENCE> and an arXiv version can be found at [this link](https://arxiv.org/abs/2202.07925).
",../results/deepseek-chat/prompt-0/zzz_happyharrycn_actionformer_release_main_README.md.tsv\a39edd8f.txt,0.9957805907172996
5,"In addition, ActionFormer is the backbone for many winning solutions in the Ego4D Moment Queries Challenge 2022.","In addition, <SOFTWARE>ActionFormer</SOFTWARE> is the backbone for many winning solutions in the <DATASET>Ego4D Moment Queries</DATASET> Challenge 2022.","In addition, ActionFormer is the backbone for many winning solutions in the Ego4D Moment Queries Challenge 2022.","In addition, <SOFTWARE>ActionFormer</SOFTWARE> is the backbone for many winning solutions in the <CONFERENCE>Ego4D Moment Queries Challenge 2022</CONFERENCE>.",../results/deepseek-chat/prompt-0/zzz_happyharrycn_actionformer_release_main_README.md.tsv\1ca1641f.txt,1.0
6,"Our submission in particular is ranked 2nd with a record 21.76% average mAP and 42.54% Recall@1x, tIoU=0.5, nearly three times higher than the official baseline.","Our submission in particular is ranked 2nd with a record 21.76% average <EVALMETRIC>mAP</EVALMETRIC> and 42.54% <EVALMETRIC>Recall@1x</EVALMETRIC>, <EVALMETRIC>tIoU</EVALMETRIC>=0.5, nearly three times higher than the official baseline.","Our submission in particular is ranked 2nd with a record 21.76% average mAP and 42.54% Recall@1x, tIoU=0.5, nearly three times higher than the official baseline.","Our submission in particular is ranked 2nd with a record <EVALMETRIC>21.76% average mAP</EVALMETRIC> and <EVALMETRIC>42.54% Recall@1x</EVALMETRIC>, <EVALMETRIC>tIoU=0.5</EVALMETRIC>, nearly three times higher than the official baseline.",../results/deepseek-chat/prompt-0/zzz_happyharrycn_actionformer_release_main_README.md.tsv\8196017b.txt,1.0
7,An arXiv version of our tech report can be found at [this link](https://arxiv.org/abs/2211.09074).,An arXiv version of our tech report can be found at [this link](https://arxiv.org/abs/2211.09074).,An arXiv version of our tech report can be found at [this link](https://arxiv.org/abs/2211.09074).,An arXiv version of our tech report can be found at [this link](https://arxiv.org/abs/2211.09074).,../results/deepseek-chat/prompt-0/zzz_happyharrycn_actionformer_release_main_README.md.tsv\1ea322f2.txt,1.0
8,We invite our audience to try out the code.,We invite our audience to try out the code.,We invite our audience to try out the code.,We invite our audience to try out the code.,../results/deepseek-chat/prompt-0/zzz_happyharrycn_actionformer_release_main_README.md.tsv\7b22c7c9.txt,1.0
9,"<div align=""center"">   <img src=""teaser.jpg"" width=""600px""/> </div>  Specifically, we adopt a minimalist design and develop a Transformer based model for temporal action localization, inspired by the recent success of Transformers in NLP and vision.","<div align=""center"">   <img src=""teaser.jpg"" width=""600px""/> </div>  Specifically, we adopt a minimalist design and develop a Transformer based model for temporal action localization, inspired by the recent success of <SOFTWARE>Transformers</SOFTWARE> in NLP and vision.","<div align=""center"">   <img src=""teaser.jpg"" width=""600px""/> </div>  Specifically, we adopt a minimalist design and develop a Transformer based model for temporal action localization, inspired by the recent success of Transformers in NLP and vision.
","<div align=""center"">   <img src=""teaser.jpg"" width=""600px""/> </div>  Specifically, we adopt a minimalist design and develop a Transformer based model for temporal action localization, inspired by the recent success of Transformers in NLP and vision.
",../results/deepseek-chat/prompt-0/zzz_happyharrycn_actionformer_release_main_README.md.tsv\4b585ada.txt,0.9979959919839679
10,"Our method, illustrated in the figure, adapts local self-attention to model temporal context in untrimmed videos, classifies every moment in an input video, and regresses their corresponding action boundaries.","Our method, illustrated in the figure, adapts local self-attention to model temporal context in untrimmed videos, classifies every moment in an input video, and regresses their corresponding action boundaries.","Our method, illustrated in the figure, adapts local self-attention to model temporal context in untrimmed videos, classifies every moment in an input video, and regresses their corresponding action boundaries.","Our method, illustrated in the figure, adapts local self-attention to model temporal context in untrimmed videos, classifies every moment in an input video, and regresses their corresponding action boundaries.",../results/deepseek-chat/prompt-0/zzz_happyharrycn_actionformer_release_main_README.md.tsv\5be1840d.txt,1.0
