Output Text:
```scss
## CONFERENCE
PAV-SOD: Panoramic Audiovisual Saliency Detection
<WORKSHOP>PAW2023</WORKSHOP> workshop
<WORKSHOP>PAWS2022</WORKSHOP> workshop
<WORKSHOP>PAWS2020</WORKSHOP> workshop
<WORKSHOP>PAWS2019</WORKSHOP> workshop
<WORKSHOP>PAWS2018</WORKSHOP> workshop
<WORKSHOP>PAWS2017</WORKSHOP> workshop
<WORKSHOP>PAWS2016</WORKSHOP> workshop
<WORKSHOP>PAWS2015</WORKSHOP> workshop
<WORKSHOP>PAWS2014</WORKSHOP> workshop
<WORKSHOP>PAWS2013</WORKSHOP> workshop
<WORKSHOP>PAWS2012</WORKSHOP> workshop
<WORKSHOP>PAWS2011</WORKSHOP> workshop
<WORKSHOP>PAWS2010</WORKSHOP> workshop
<WORKSHOP>PAWS2009</WORKSHOP> workshop
<WORKSHOP>PAWS2008</WORKSHOP> workshop
<WORKSHOP>PAWS2007</WORKSHOP> workshop
<WORKSHOP>PAWS2006</WORKSHOP> workshop
<WORKSHOP>PAWS2005</WORKSHOP> workshop
<WORKSHOP>PAWS2004</WORKSHOP> workshop
<WORKSHOP>PAWS2003</WORKSHOP> workshop
<WORKSHOP>PAWS2002</WORKSHOP> workshop
<WORKSHOP>PAWS2001</WORKSHOP> workshop
<WORKSHOP>PAWS2000</WORKSHOP> workshop
<WORKSHOP>PAWS1999</WORKSHOP> workshop
<WORKSHOP>PAWS1998</WORKSHOP> workshop
<WORKSHOP>PAWS1997</WORKSHOP> workshop
<WORKSHOP>PAWS1996</WORKSHOP> workshop
<WORKSHOP>PAWS1995</WORKSHOP> workshop
<WORKSHOP>PAWS1994</WORKSHOP> workshop
<WORKSHOP>PAWS1993</WORKSHOP> workshop
<WORKSHOP>PAWS1992</WORKSHOP> workshop
<WORKSHOP>PAWS1991</WORKSHOP> workshop
<WORKSHOP>PAWS1990</WORKSHOP> workshop
<WORKSHOP>PAWS1989</WORKSHOP> workshop
<WORKSHOP>PAWS1988</WORKSHOP> workshop
<WORKSHOP>PAWS1987</WORKSHOP> workshop
<WORKSHOP>PAWS1986</WORKSHOP> workshop
<WORKSHOP>PAWS1985</WORKSHOP> workshop
<WORKSHOP>PAWS1984</WORKSHOP> workshop
<WORKSHOP>PAWS1983</WORKSHOP> workshop
<WORKSHOP>PAWS1982</WORKSHOP> workshop
<WORKSHOP>PAWS1981</WORKSHOP> workshop
<WORKSHOP>PAWS1980</WORKSHOP> workshop
<WORKSHOP>PAWS1979</WORKSHOP> workshop
<WORKSHOP>PAWS1978</WORKSHOP> workshop
<WORKSHOP>PAWS1977</WORKSHOP> workshop
<WORKSHOP>PAWS1976</WORKSHOP> workshop
<WORKSHOP>PAWS1975</WORKSHOP> workshop
<WORKSHOP>PAWS1974</WORKSHOP> workshop
<WORKSHOP>PAWS1973</WORKSHOP> workshop
<WORKSHOP>PAWS1972</WORKSHOP> workshop
<WORKSHOP>PAWS1971</WORKSHOP> workshop
<WORKSHOP>PAWS1970</WORKSHOP> workshop
<WORKSHOP>PAWS1969</WORKSHOP> workshop
<WORKSHOP>PAWS1968</WORKSHOP> workshop
<WORKSHOP>PAWS1967</WORKSHOP> workshop
<WORKSHOP>PAWS1966</WORKSHOP> workshop
<WORKSHOP>PAWS1965</WORKSHOP> workshop
<WORKSHOP>PAWS1964</WORKSHOP> workshop
<WORKSHOP>PAWS1963</WORKSHOP> workshop
<WORKSHOP>PAWS1962</WORKSHOP> workshop
<WORKSHOP>PAWS1961</WORKSHOP> workshop
<WORKSHOP>PAWS1960</WORKSHOP> workshop
<WORKSHOP>PAWS1959</WORKSHOP> workshop
<WORKSHOP>PAWS1958</WORKSHOP> workshop
