#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=# fisher-information ## About the Project \*\*For the most up-to-date work using this framework, and if you are interested in applying the framework to experimental design problems of your own, see the \[experimental-design\](https://github.com/James-Durant/experimental-design) repository\*\*.
1-1	0-1	#	*[671]|*[695]	PUBLICATION[671]|DATASET[671]|ONTOLOGY[671]|EVALMETRIC[671]|SOFTWARE[671]|WORKSHOP[671]|PROGLANG[671]|LICENSE[671]|PROJECT[671]|CONFERENCE[695]
1-2	2-20	fisher-information	*[671]|*[695]	PUBLICATION[671]|DATASET[671]|ONTOLOGY[671]|EVALMETRIC[671]|SOFTWARE[671]|WORKSHOP[671]|PROGLANG[671]|LICENSE[671]|PROJECT[671]|CONFERENCE[695]
1-3	21-22	#	*[671]|*[695]	PUBLICATION[671]|DATASET[671]|ONTOLOGY[671]|EVALMETRIC[671]|SOFTWARE[671]|WORKSHOP[671]|PROGLANG[671]|LICENSE[671]|PROJECT[671]|CONFERENCE[695]
1-4	22-23	#	*[671]|*[695]	PUBLICATION[671]|DATASET[671]|ONTOLOGY[671]|EVALMETRIC[671]|SOFTWARE[671]|WORKSHOP[671]|PROGLANG[671]|LICENSE[671]|PROJECT[671]|CONFERENCE[695]
1-5	24-29	About	*[671]|*[695]	PUBLICATION[671]|DATASET[671]|ONTOLOGY[671]|EVALMETRIC[671]|SOFTWARE[671]|WORKSHOP[671]|PROGLANG[671]|LICENSE[671]|PROJECT[671]|CONFERENCE[695]
1-6	30-33	the	*[671]|*[695]	PUBLICATION[671]|DATASET[671]|ONTOLOGY[671]|EVALMETRIC[671]|SOFTWARE[671]|WORKSHOP[671]|PROGLANG[671]|LICENSE[671]|PROJECT[671]|CONFERENCE[695]
1-7	34-41	Project	*[671]|*[695]	PUBLICATION[671]|DATASET[671]|ONTOLOGY[671]|EVALMETRIC[671]|SOFTWARE[671]|WORKSHOP[671]|PROGLANG[671]|LICENSE[671]|PROJECT[671]|CONFERENCE[695]
1-8	42-43	\*	*[671]|*[695]	PUBLICATION[671]|DATASET[671]|ONTOLOGY[671]|EVALMETRIC[671]|SOFTWARE[671]|WORKSHOP[671]|PROGLANG[671]|LICENSE[671]|PROJECT[671]|CONFERENCE[695]
1-9	43-44	\*	*[671]|*[695]	PUBLICATION[671]|DATASET[671]|ONTOLOGY[671]|EVALMETRIC[671]|SOFTWARE[671]|WORKSHOP[671]|PROGLANG[671]|LICENSE[671]|PROJECT[671]|CONFERENCE[695]
1-10	44-47	For	*[671]|*[695]	PUBLICATION[671]|DATASET[671]|ONTOLOGY[671]|EVALMETRIC[671]|SOFTWARE[671]|WORKSHOP[671]|PROGLANG[671]|LICENSE[671]|PROJECT[671]|CONFERENCE[695]
1-11	48-51	the	*[671]|*[695]	PUBLICATION[671]|DATASET[671]|ONTOLOGY[671]|EVALMETRIC[671]|SOFTWARE[671]|WORKSHOP[671]|PROGLANG[671]|LICENSE[671]|PROJECT[671]|CONFERENCE[695]
1-12	52-56	most	*[671]|*[695]	PUBLICATION[671]|DATASET[671]|ONTOLOGY[671]|EVALMETRIC[671]|SOFTWARE[671]|WORKSHOP[671]|PROGLANG[671]|LICENSE[671]|PROJECT[671]|CONFERENCE[695]
1-13	57-67	up-to-date	*[671]|*[695]	PUBLICATION[671]|DATASET[671]|ONTOLOGY[671]|EVALMETRIC[671]|SOFTWARE[671]|WORKSHOP[671]|PROGLANG[671]|LICENSE[671]|PROJECT[671]|CONFERENCE[695]
1-14	68-72	work	*[671]|*[695]	PUBLICATION[671]|DATASET[671]|ONTOLOGY[671]|EVALMETRIC[671]|SOFTWARE[671]|WORKSHOP[671]|PROGLANG[671]|LICENSE[671]|PROJECT[671]|CONFERENCE[695]
1-15	73-78	using	*[671]|*[695]	PUBLICATION[671]|DATASET[671]|ONTOLOGY[671]|EVALMETRIC[671]|SOFTWARE[671]|WORKSHOP[671]|PROGLANG[671]|LICENSE[671]|PROJECT[671]|CONFERENCE[695]
1-16	79-83	this	*[671]|*[695]	PUBLICATION[671]|DATASET[671]|ONTOLOGY[671]|EVALMETRIC[671]|SOFTWARE[671]|WORKSHOP[671]|PROGLANG[671]|LICENSE[671]|PROJECT[671]|CONFERENCE[695]
1-17	84-93	framework	*[671]|*[695]	PUBLICATION[671]|DATASET[671]|ONTOLOGY[671]|EVALMETRIC[671]|SOFTWARE[671]|WORKSHOP[671]|PROGLANG[671]|LICENSE[671]|PROJECT[671]|CONFERENCE[695]
1-18	93-94	,	*[671]|*[695]	PUBLICATION[671]|DATASET[671]|ONTOLOGY[671]|EVALMETRIC[671]|SOFTWARE[671]|WORKSHOP[671]|PROGLANG[671]|LICENSE[671]|PROJECT[671]|CONFERENCE[695]
1-19	95-98	and	*[671]|*[695]	PUBLICATION[671]|DATASET[671]|ONTOLOGY[671]|EVALMETRIC[671]|SOFTWARE[671]|WORKSHOP[671]|PROGLANG[671]|LICENSE[671]|PROJECT[671]|CONFERENCE[695]
1-20	99-101	if	*[671]|*[695]	PUBLICATION[671]|DATASET[671]|ONTOLOGY[671]|EVALMETRIC[671]|SOFTWARE[671]|WORKSHOP[671]|PROGLANG[671]|LICENSE[671]|PROJECT[671]|CONFERENCE[695]
1-21	102-105	you	*[671]|*[695]	PUBLICATION[671]|DATASET[671]|ONTOLOGY[671]|EVALMETRIC[671]|SOFTWARE[671]|WORKSHOP[671]|PROGLANG[671]|LICENSE[671]|PROJECT[671]|CONFERENCE[695]
1-22	106-109	are	*[671]|*[695]	PUBLICATION[671]|DATASET[671]|ONTOLOGY[671]|EVALMETRIC[671]|SOFTWARE[671]|WORKSHOP[671]|PROGLANG[671]|LICENSE[671]|PROJECT[671]|CONFERENCE[695]
1-23	110-120	interested	*[671]|*[695]	PUBLICATION[671]|DATASET[671]|ONTOLOGY[671]|EVALMETRIC[671]|SOFTWARE[671]|WORKSHOP[671]|PROGLANG[671]|LICENSE[671]|PROJECT[671]|CONFERENCE[695]
1-24	121-123	in	*[671]|*[695]	PUBLICATION[671]|DATASET[671]|ONTOLOGY[671]|EVALMETRIC[671]|SOFTWARE[671]|WORKSHOP[671]|PROGLANG[671]|LICENSE[671]|PROJECT[671]|CONFERENCE[695]
1-25	124-132	applying	*[671]|*[695]	PUBLICATION[671]|DATASET[671]|ONTOLOGY[671]|EVALMETRIC[671]|SOFTWARE[671]|WORKSHOP[671]|PROGLANG[671]|LICENSE[671]|PROJECT[671]|CONFERENCE[695]
1-26	133-136	the	*[671]|*[695]	PUBLICATION[671]|DATASET[671]|ONTOLOGY[671]|EVALMETRIC[671]|SOFTWARE[671]|WORKSHOP[671]|PROGLANG[671]|LICENSE[671]|PROJECT[671]|CONFERENCE[695]
1-27	137-146	framework	*[671]|*[695]	PUBLICATION[671]|DATASET[671]|ONTOLOGY[671]|EVALMETRIC[671]|SOFTWARE[671]|WORKSHOP[671]|PROGLANG[671]|LICENSE[671]|PROJECT[671]|CONFERENCE[695]
1-28	147-149	to	*[671]|*[695]	PUBLICATION[671]|DATASET[671]|ONTOLOGY[671]|EVALMETRIC[671]|SOFTWARE[671]|WORKSHOP[671]|PROGLANG[671]|LICENSE[671]|PROJECT[671]|CONFERENCE[695]
1-29	150-162	experimental	*[671]|*[695]	PUBLICATION[671]|DATASET[671]|ONTOLOGY[671]|EVALMETRIC[671]|SOFTWARE[671]|WORKSHOP[671]|PROGLANG[671]|LICENSE[671]|PROJECT[671]|CONFERENCE[695]
1-30	163-169	design	*[671]|*[695]	PUBLICATION[671]|DATASET[671]|ONTOLOGY[671]|EVALMETRIC[671]|SOFTWARE[671]|WORKSHOP[671]|PROGLANG[671]|LICENSE[671]|PROJECT[671]|CONFERENCE[695]
1-31	170-178	problems	*[671]|*[695]	PUBLICATION[671]|DATASET[671]|ONTOLOGY[671]|EVALMETRIC[671]|SOFTWARE[671]|WORKSHOP[671]|PROGLANG[671]|LICENSE[671]|PROJECT[671]|CONFERENCE[695]
1-32	179-181	of	*[671]|*[695]	PUBLICATION[671]|DATASET[671]|ONTOLOGY[671]|EVALMETRIC[671]|SOFTWARE[671]|WORKSHOP[671]|PROGLANG[671]|LICENSE[671]|PROJECT[671]|CONFERENCE[695]
1-33	182-186	your	*[671]|*[695]	PUBLICATION[671]|DATASET[671]|ONTOLOGY[671]|EVALMETRIC[671]|SOFTWARE[671]|WORKSHOP[671]|PROGLANG[671]|LICENSE[671]|PROJECT[671]|CONFERENCE[695]
1-34	187-190	own	*[671]|*[695]	PUBLICATION[671]|DATASET[671]|ONTOLOGY[671]|EVALMETRIC[671]|SOFTWARE[671]|WORKSHOP[671]|PROGLANG[671]|LICENSE[671]|PROJECT[671]|CONFERENCE[695]
1-35	190-191	,	*[671]|*[695]	PUBLICATION[671]|DATASET[671]|ONTOLOGY[671]|EVALMETRIC[671]|SOFTWARE[671]|WORKSHOP[671]|PROGLANG[671]|LICENSE[671]|PROJECT[671]|CONFERENCE[695]
1-36	192-195	see	*[671]|*[695]	PUBLICATION[671]|DATASET[671]|ONTOLOGY[671]|EVALMETRIC[671]|SOFTWARE[671]|WORKSHOP[671]|PROGLANG[671]|LICENSE[671]|PROJECT[671]|CONFERENCE[695]
1-37	196-199	the	*[671]|*[695]	PUBLICATION[671]|DATASET[671]|ONTOLOGY[671]|EVALMETRIC[671]|SOFTWARE[671]|WORKSHOP[671]|PROGLANG[671]|LICENSE[671]|PROJECT[671]|CONFERENCE[695]
1-38	200-201	\[	*[671]|*[695]	PUBLICATION[671]|DATASET[671]|ONTOLOGY[671]|EVALMETRIC[671]|SOFTWARE[671]|WORKSHOP[671]|PROGLANG[671]|LICENSE[671]|PROJECT[671]|CONFERENCE[695]
