#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=# NELA-GT-2019  This repository contain examples of how to use the NELA-GT-2019 data set with Python 3.
1-1	0-1	#	*[243]|*[252]	LICENSE[243]|DATASET[243]|PROJECT[243]|SOFTWARE[243]|PUBLICATION[243]|ONTOLOGY[243]|EVALMETRIC[243]|PROGLANG[243]|WORKSHOP[243]|CONFERENCE[252]
1-2	2-9	NELA-GT	*[243]|*[252]	LICENSE[243]|DATASET[243]|PROJECT[243]|SOFTWARE[243]|PUBLICATION[243]|ONTOLOGY[243]|EVALMETRIC[243]|PROGLANG[243]|WORKSHOP[243]|CONFERENCE[252]
1-3	9-10	-	*[243]|*[252]	LICENSE[243]|DATASET[243]|PROJECT[243]|SOFTWARE[243]|PUBLICATION[243]|ONTOLOGY[243]|EVALMETRIC[243]|PROGLANG[243]|WORKSHOP[243]|CONFERENCE[252]
1-4	10-14	2019	*[243]|*[252]	LICENSE[243]|DATASET[243]|PROJECT[243]|SOFTWARE[243]|PUBLICATION[243]|ONTOLOGY[243]|EVALMETRIC[243]|PROGLANG[243]|WORKSHOP[243]|CONFERENCE[252]
1-5	16-20	This	*[243]|*[252]	LICENSE[243]|DATASET[243]|PROJECT[243]|SOFTWARE[243]|PUBLICATION[243]|ONTOLOGY[243]|EVALMETRIC[243]|PROGLANG[243]|WORKSHOP[243]|CONFERENCE[252]
1-6	21-31	repository	*[243]|*[252]	LICENSE[243]|DATASET[243]|PROJECT[243]|SOFTWARE[243]|PUBLICATION[243]|ONTOLOGY[243]|EVALMETRIC[243]|PROGLANG[243]|WORKSHOP[243]|CONFERENCE[252]
1-7	32-39	contain	*[243]|*[252]	LICENSE[243]|DATASET[243]|PROJECT[243]|SOFTWARE[243]|PUBLICATION[243]|ONTOLOGY[243]|EVALMETRIC[243]|PROGLANG[243]|WORKSHOP[243]|CONFERENCE[252]
1-8	40-48	examples	*[243]|*[252]	LICENSE[243]|DATASET[243]|PROJECT[243]|SOFTWARE[243]|PUBLICATION[243]|ONTOLOGY[243]|EVALMETRIC[243]|PROGLANG[243]|WORKSHOP[243]|CONFERENCE[252]
1-9	49-51	of	*[243]|*[252]	LICENSE[243]|DATASET[243]|PROJECT[243]|SOFTWARE[243]|PUBLICATION[243]|ONTOLOGY[243]|EVALMETRIC[243]|PROGLANG[243]|WORKSHOP[243]|CONFERENCE[252]
1-10	52-55	how	*[243]|*[252]	LICENSE[243]|DATASET[243]|PROJECT[243]|SOFTWARE[243]|PUBLICATION[243]|ONTOLOGY[243]|EVALMETRIC[243]|PROGLANG[243]|WORKSHOP[243]|CONFERENCE[252]
