#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=### Aspire Repository accompanying paper for modeling fine grained similarity between documents:   \*\*Title\*\*: "Multi-Vector Models with Textual Guidance for Fine-Grained Scientific Document Similarity"  \*\*Authors\*\*: Sheshera Mysore, Arman Cohan, Tom Hope  \*\*Abstract\*\*: We present a new scientific document similarity model based on matching fine-grained aspects of texts.
1-1	0-1	#	*[1206]|*[1274]	PROGLANG[1206]|LICENSE[1206]|PROJECT[1206]|ONTOLOGY[1206]|DATASET[1206]|EVALMETRIC[1206]|PUBLICATION[1206]|SOFTWARE[1206]|WORKSHOP[1206]|CONFERENCE[1274]
1-2	1-2	#	*[1206]|*[1274]	PROGLANG[1206]|LICENSE[1206]|PROJECT[1206]|ONTOLOGY[1206]|DATASET[1206]|EVALMETRIC[1206]|PUBLICATION[1206]|SOFTWARE[1206]|WORKSHOP[1206]|CONFERENCE[1274]
1-3	2-3	#	*[1206]|*[1274]	PROGLANG[1206]|LICENSE[1206]|PROJECT[1206]|ONTOLOGY[1206]|DATASET[1206]|EVALMETRIC[1206]|PUBLICATION[1206]|SOFTWARE[1206]|WORKSHOP[1206]|CONFERENCE[1274]
1-4	4-10	Aspire	*[1206]|*[1274]	PROGLANG[1206]|LICENSE[1206]|PROJECT[1206]|ONTOLOGY[1206]|DATASET[1206]|EVALMETRIC[1206]|PUBLICATION[1206]|SOFTWARE[1206]|WORKSHOP[1206]|CONFERENCE[1274]
1-5	11-21	Repository	*[1206]|*[1274]	PROGLANG[1206]|LICENSE[1206]|PROJECT[1206]|ONTOLOGY[1206]|DATASET[1206]|EVALMETRIC[1206]|PUBLICATION[1206]|SOFTWARE[1206]|WORKSHOP[1206]|CONFERENCE[1274]
1-6	22-34	accompanying	*[1206]|*[1274]	PROGLANG[1206]|LICENSE[1206]|PROJECT[1206]|ONTOLOGY[1206]|DATASET[1206]|EVALMETRIC[1206]|PUBLICATION[1206]|SOFTWARE[1206]|WORKSHOP[1206]|CONFERENCE[1274]
1-7	35-40	paper	*[1206]|*[1274]	PROGLANG[1206]|LICENSE[1206]|PROJECT[1206]|ONTOLOGY[1206]|DATASET[1206]|EVALMETRIC[1206]|PUBLICATION[1206]|SOFTWARE[1206]|WORKSHOP[1206]|CONFERENCE[1274]
1-8	41-44	for	*[1206]|*[1274]	PROGLANG[1206]|LICENSE[1206]|PROJECT[1206]|ONTOLOGY[1206]|DATASET[1206]|EVALMETRIC[1206]|PUBLICATION[1206]|SOFTWARE[1206]|WORKSHOP[1206]|CONFERENCE[1274]
1-9	45-53	modeling	*[1206]|*[1274]	PROGLANG[1206]|LICENSE[1206]|PROJECT[1206]|ONTOLOGY[1206]|DATASET[1206]|EVALMETRIC[1206]|PUBLICATION[1206]|SOFTWARE[1206]|WORKSHOP[1206]|CONFERENCE[1274]
1-10	54-58	fine	*[1206]|*[1274]	PROGLANG[1206]|LICENSE[1206]|PROJECT[1206]|ONTOLOGY[1206]|DATASET[1206]|EVALMETRIC[1206]|PUBLICATION[1206]|SOFTWARE[1206]|WORKSHOP[1206]|CONFERENCE[1274]
1-11	59-66	grained	*[1206]|*[1274]	PROGLANG[1206]|LICENSE[1206]|PROJECT[1206]|ONTOLOGY[1206]|DATASET[1206]|EVALMETRIC[1206]|PUBLICATION[1206]|SOFTWARE[1206]|WORKSHOP[1206]|CONFERENCE[1274]
1-12	67-77	similarity	*[1206]|*[1274]	PROGLANG[1206]|LICENSE[1206]|PROJECT[1206]|ONTOLOGY[1206]|DATASET[1206]|EVALMETRIC[1206]|PUBLICATION[1206]|SOFTWARE[1206]|WORKSHOP[1206]|CONFERENCE[1274]
1-13	78-85	between	*[1206]|*[1274]	PROGLANG[1206]|LICENSE[1206]|PROJECT[1206]|ONTOLOGY[1206]|DATASET[1206]|EVALMETRIC[1206]|PUBLICATION[1206]|SOFTWARE[1206]|WORKSHOP[1206]|CONFERENCE[1274]
1-14	86-95	documents	*[1206]|*[1274]	PROGLANG[1206]|LICENSE[1206]|PROJECT[1206]|ONTOLOGY[1206]|DATASET[1206]|EVALMETRIC[1206]|PUBLICATION[1206]|SOFTWARE[1206]|WORKSHOP[1206]|CONFERENCE[1274]
1-15	95-96	:	*[1206]|*[1274]	PROGLANG[1206]|LICENSE[1206]|PROJECT[1206]|ONTOLOGY[1206]|DATASET[1206]|EVALMETRIC[1206]|PUBLICATION[1206]|SOFTWARE[1206]|WORKSHOP[1206]|CONFERENCE[1274]
1-16	99-100	\*	*[1206]|*[1274]	PROGLANG[1206]|LICENSE[1206]|PROJECT[1206]|ONTOLOGY[1206]|DATASET[1206]|EVALMETRIC[1206]|PUBLICATION[1206]|SOFTWARE[1206]|WORKSHOP[1206]|CONFERENCE[1274]
1-17	100-101	\*	*[1206]|*[1274]	PROGLANG[1206]|LICENSE[1206]|PROJECT[1206]|ONTOLOGY[1206]|DATASET[1206]|EVALMETRIC[1206]|PUBLICATION[1206]|SOFTWARE[1206]|WORKSHOP[1206]|CONFERENCE[1274]
1-18	101-106	Title	*[1206]|*[1274]	PROGLANG[1206]|LICENSE[1206]|PROJECT[1206]|ONTOLOGY[1206]|DATASET[1206]|EVALMETRIC[1206]|PUBLICATION[1206]|SOFTWARE[1206]|WORKSHOP[1206]|CONFERENCE[1274]
1-19	106-107	\*	*[1206]|*[1274]	PROGLANG[1206]|LICENSE[1206]|PROJECT[1206]|ONTOLOGY[1206]|DATASET[1206]|EVALMETRIC[1206]|PUBLICATION[1206]|SOFTWARE[1206]|WORKSHOP[1206]|CONFERENCE[1274]
1-20	107-108	\*	*[1206]|*[1274]	PROGLANG[1206]|LICENSE[1206]|PROJECT[1206]|ONTOLOGY[1206]|DATASET[1206]|EVALMETRIC[1206]|PUBLICATION[1206]|SOFTWARE[1206]|WORKSHOP[1206]|CONFERENCE[1274]
1-21	108-109	:	*[1206]|*[1274]	PROGLANG[1206]|LICENSE[1206]|PROJECT[1206]|ONTOLOGY[1206]|DATASET[1206]|EVALMETRIC[1206]|PUBLICATION[1206]|SOFTWARE[1206]|WORKSHOP[1206]|CONFERENCE[1274]
