#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=# Improving Deep Metric Learning by Divide and Conquer ## About  PyTorch implementation for the paper \_Improving Deep Metric  Learning by Divide and Conquer\_ accepted to \*\*TPAMI\*\* (Sep. 2021), which is our follow-up paper of \[\_Divide and Conquer the Embedding Space for Metric Learning (CVPR 2019)\_\](https://github.com/CompVis/metric-learning-divide-and-conquer)  \*\*Links\*\*: \* arxiv: https://arxiv.org/abs/2109.04003 or \* TPAMI early access: https://ieeexplore.ieee.org/document/9540303   ## Requirements  \* PyTorch 1.1.0 \* Faiss-GPU >= 1.5.0, \[Link\](https://github.com/facebookresearch/faiss) \* albumentations >= 0.4.5, \[Link\](https://github.com/albumentations-team/albumentations)   ## Usage ### Training:  Training is done by calling `python train.py` and setting the respective params, all of which are listed and explained  in `/experiment/margin\_loss\_resnet50.py` (the default setup for all our experiments).
1-1	0-1	#	*[656]|*[671]	PROGLANG[656]|WORKSHOP[656]|LICENSE[656]|ONTOLOGY[656]|DATASET[656]|PROJECT[656]|SOFTWARE[656]|EVALMETRIC[656]|PUBLICATION[656]|CONFERENCE[671]
1-2	2-11	Improving	*[656]|*[671]	PROGLANG[656]|WORKSHOP[656]|LICENSE[656]|ONTOLOGY[656]|DATASET[656]|PROJECT[656]|SOFTWARE[656]|EVALMETRIC[656]|PUBLICATION[656]|CONFERENCE[671]
1-3	12-16	Deep	*[656]|*[671]	PROGLANG[656]|WORKSHOP[656]|LICENSE[656]|ONTOLOGY[656]|DATASET[656]|PROJECT[656]|SOFTWARE[656]|EVALMETRIC[656]|PUBLICATION[656]|CONFERENCE[671]
1-4	17-23	Metric	*[656]|*[671]	PROGLANG[656]|WORKSHOP[656]|LICENSE[656]|ONTOLOGY[656]|DATASET[656]|PROJECT[656]|SOFTWARE[656]|EVALMETRIC[656]|PUBLICATION[656]|CONFERENCE[671]
1-5	24-32	Learning	*[656]|*[671]	PROGLANG[656]|WORKSHOP[656]|LICENSE[656]|ONTOLOGY[656]|DATASET[656]|PROJECT[656]|SOFTWARE[656]|EVALMETRIC[656]|PUBLICATION[656]|CONFERENCE[671]
1-6	33-35	by	*[656]|*[671]	PROGLANG[656]|WORKSHOP[656]|LICENSE[656]|ONTOLOGY[656]|DATASET[656]|PROJECT[656]|SOFTWARE[656]|EVALMETRIC[656]|PUBLICATION[656]|CONFERENCE[671]
1-7	36-42	Divide	*[656]|*[671]	PROGLANG[656]|WORKSHOP[656]|LICENSE[656]|ONTOLOGY[656]|DATASET[656]|PROJECT[656]|SOFTWARE[656]|EVALMETRIC[656]|PUBLICATION[656]|CONFERENCE[671]
1-8	43-46	and	*[656]|*[671]	PROGLANG[656]|WORKSHOP[656]|LICENSE[656]|ONTOLOGY[656]|DATASET[656]|PROJECT[656]|SOFTWARE[656]|EVALMETRIC[656]|PUBLICATION[656]|CONFERENCE[671]
1-9	47-54	Conquer	*[656]|*[671]	PROGLANG[656]|WORKSHOP[656]|LICENSE[656]|ONTOLOGY[656]|DATASET[656]|PROJECT[656]|SOFTWARE[656]|EVALMETRIC[656]|PUBLICATION[656]|CONFERENCE[671]
1-10	55-56	#	*[656]|*[671]	PROGLANG[656]|WORKSHOP[656]|LICENSE[656]|ONTOLOGY[656]|DATASET[656]|PROJECT[656]|SOFTWARE[656]|EVALMETRIC[656]|PUBLICATION[656]|CONFERENCE[671]
1-11	56-57	#	*[656]|*[671]	PROGLANG[656]|WORKSHOP[656]|LICENSE[656]|ONTOLOGY[656]|DATASET[656]|PROJECT[656]|SOFTWARE[656]|EVALMETRIC[656]|PUBLICATION[656]|CONFERENCE[671]
1-12	58-63	About	*[656]|*[671]	PROGLANG[656]|WORKSHOP[656]|LICENSE[656]|ONTOLOGY[656]|DATASET[656]|PROJECT[656]|SOFTWARE[656]|EVALMETRIC[656]|PUBLICATION[656]|CONFERENCE[671]
1-13	65-72	PyTorch	*[656]|*[671]	PROGLANG[656]|WORKSHOP[656]|LICENSE[656]|ONTOLOGY[656]|DATASET[656]|PROJECT[656]|SOFTWARE[656]|EVALMETRIC[656]|PUBLICATION[656]|CONFERENCE[671]
1-14	73-87	implementation	*[656]|*[671]	PROGLANG[656]|WORKSHOP[656]|LICENSE[656]|ONTOLOGY[656]|DATASET[656]|PROJECT[656]|SOFTWARE[656]|EVALMETRIC[656]|PUBLICATION[656]|CONFERENCE[671]
