#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=# SGDLibrary : Stochastic Optimization Algorithm Library in MATLAB/Octave ----------  Authors: \[Hiroyuki Kasai\](http://kasai.comm.waseda.ac.jp/kasai/)  Last page update: November 20, 2020  Latest library version: 1.0.20 (see Release notes for more info)  <br />  Announcement ---------- We are very welcome to your contribution.
1-1	0-1	#	_	_
1-2	2-12	SGDLibrary	_	_
1-3	13-14	:	_	_
1-4	15-25	Stochastic	_	_
1-5	26-38	Optimization	_	_
1-6	39-48	Algorithm	_	_
1-7	49-56	Library	_	_
1-8	57-59	in	_	_
1-9	60-66	MATLAB	_	_
1-10	66-67	/	_	_
1-11	67-73	Octave	_	_
1-12	74-75	-	_	_
1-13	75-76	-	_	_
1-14	76-77	-	*[548]	PROJECT[548]
1-15	77-78	-	*[548]	PROJECT[548]
1-16	78-79	-	*[548]	PROJECT[548]
1-17	79-80	-	*[548]	PROJECT[548]
1-18	80-81	-	*[548]	PROJECT[548]
1-19	81-82	-	*[548]	PROJECT[548]
1-20	82-83	-	*[548]	PROJECT[548]
1-21	83-84	-	*[548]	PROJECT[548]
1-22	86-93	Authors	*[548]	PROJECT[548]
1-23	93-94	:	*[548]	PROJECT[548]
1-24	95-96	\[	*[548]	PROJECT[548]
1-25	96-104	Hiroyuki	*[548]	PROJECT[548]
1-26	105-110	Kasai	*[548]	PROJECT[548]
1-27	110-111	\]	*[548]	PROJECT[548]
1-28	111-112	(	*[548]	PROJECT[548]
1-29	112-116	http	*[548]	PROJECT[548]
1-30	116-117	:	*[548]	PROJECT[548]
1-31	117-118	/	*[548]	PROJECT[548]
1-32	118-119	/	*[548]	PROJECT[548]
1-33	119-142	kasai.comm.waseda.ac.jp	*[548]	PROJECT[548]
1-34	142-143	/	*[548]	PROJECT[548]
1-35	143-148	kasai	*[548]	PROJECT[548]
1-36	148-149	/	*[548]	PROJECT[548]
1-37	149-150	)	*[548]	PROJECT[548]
1-38	152-156	Last	*[548]	PROJECT[548]
1-39	157-161	page	*[548]	PROJECT[548]
1-40	162-168	update	*[548]	PROJECT[548]
1-41	168-169	:	*[548]	PROJECT[548]
1-42	170-178	November	*[548]	PROJECT[548]
1-43	179-181	20	*[548]	PROJECT[548]
1-44	181-182	,	*[548]	PROJECT[548]
1-45	183-187	2020	*[548]	PROJECT[548]
1-46	189-195	Latest	*[548]	PROJECT[548]
1-47	196-203	library	*[548]	PROJECT[548]
1-48	204-211	version	*[548]	PROJECT[548]
1-49	211-212	:	*[548]	PROJECT[548]
1-50	213-219	1.0.20	*[548]	PROJECT[548]
1-51	220-221	(	*[548]	PROJECT[548]
1-52	221-224	see	*[548]	PROJECT[548]
1-53	225-232	Release	*[548]	PROJECT[548]
1-54	233-238	notes	*[548]	PROJECT[548]
1-55	239-242	for	*[548]	PROJECT[548]
1-56	243-247	more	*[548]	PROJECT[548]
1-57	248-252	info	*[548]	PROJECT[548]
1-58	252-253	)	*[548]	PROJECT[548]
1-59	255-256	<	*[548]	PROJECT[548]
1-60	256-258	br	*[548]	PROJECT[548]
1-61	259-260	/	*[548]	PROJECT[548]
1-62	260-261	>	*[548]	PROJECT[548]
1-63	263-275	Announcement	*[548]	PROJECT[548]
1-64	276-277	-	*[548]	PROJECT[548]
1-65	277-278	-	*[548]	PROJECT[548]
1-66	278-279	-	*[548]	PROJECT[548]
1-67	279-280	-	*[548]	PROJECT[548]
