#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=## !!!
1-1	0-1	#	_	_
1-2	1-2	#	*[299]	PROJECT[299]
1-3	3-4	!	_	_
1-4	4-5	!	_	_
1-5	5-6	!	_	_

#Text=The latest maintenance of MDO has been migrated to \[LiUSemWeb/Materials-Design-Ontology\](https://github.com/LiUSemWeb/Materials-Design-Ontology).   ### What is Materials Design Ontology?
2-1	7-10	The	_	_
2-2	11-17	latest	_	_
2-3	18-29	maintenance	_	_
2-4	30-32	of	_	_
2-5	33-36	MDO	_	_
2-6	37-40	has	_	_
2-7	41-45	been	_	_
2-8	46-54	migrated	_	_
2-9	55-57	to	_	_
2-10	58-59	\[	_	_
2-11	59-68	LiUSemWeb	_	_
2-12	68-69	/	_	_
2-13	69-94	Materials-Design-Ontology	_	_
2-14	94-95	\]	*[310]	CONFERENCE[310]
2-15	95-96	(	*[310]	CONFERENCE[310]
2-16	96-101	https	*[310]	CONFERENCE[310]
2-17	101-102	:	*[310]	CONFERENCE[310]
2-18	102-103	/	*[310]	CONFERENCE[310]
2-19	103-104	/	*[310]	CONFERENCE[310]
2-20	104-114	github.com	*[310]	CONFERENCE[310]
2-21	114-115	/	*[310]	CONFERENCE[310]
2-22	115-124	LiUSemWeb	_	_
2-23	124-125	/	_	_
2-24	125-150	Materials-Design-Ontology	_	_
2-25	150-151	)	_	_
2-26	151-152	.	_	_
2-27	155-156	#	_	_
2-28	156-157	#	_	_
2-29	157-158	#	_	_
2-30	159-163	What	_	_
2-31	164-166	is	_	_
2-32	167-176	Materials	_	_
2-33	177-183	Design	_	_
2-34	184-192	Ontology	_	_
2-35	192-193	?	_	_

#Text=MDO is an ontology for materials design field, representing the domain knowledge specifically related to solid-state physics and computational materials science.  ### What does Materials Design Ontology consist of?
3-1	195-198	MDO	_	_
3-2	199-201	is	_	_
3-3	202-204	an	_	_
3-4	205-213	ontology	_	_
3-5	214-217	for	_	_
3-6	218-227	materials	_	_
3-7	228-234	design	_	_
3-8	235-240	field	*[305]	LICENSE[305]
3-9	240-241	,	*[305]	LICENSE[305]
3-10	242-254	representing	*[305]	LICENSE[305]
3-11	255-258	the	*[305]	LICENSE[305]
3-12	259-265	domain	*[305]	LICENSE[305]
3-13	266-275	knowledge	*[305]	LICENSE[305]
3-14	276-288	specifically	_	_
3-15	289-296	related	_	_
3-16	297-299	to	_	_
3-17	300-311	solid-state	_	_
3-18	312-319	physics	_	_
3-19	320-323	and	_	_
3-20	324-337	computational	_	_
3-21	338-347	materials	_	_
3-22	348-355	science	_	_
3-23	355-356	.	_	_
3-24	358-359	#	_	_
3-25	359-360	#	_	_
3-26	360-361	#	_	_
3-27	362-366	What	_	_
3-28	367-371	does	_	_
3-29	372-381	Materials	_	_
3-30	382-388	Design	_	_
3-31	389-397	Ontology	_	_
3-32	398-405	consist	_	_
3-33	406-408	of	_	_
3-34	408-409	?	_	_

#Text=Materials Design Ontology consists of 4 modules which are:  \* \[Core\](https://w3id.org/mdo/core/1.0): This module consists of the top-level concepts and relationships of the materials design ontology, which are also reused in other modules
4-1	411-420	Materials	_	_
4-2	421-427	Design	_	_
4-3	428-436	Ontology	_	_
4-4	437-445	consists	_	_
4-5	446-448	of	_	_
4-6	449-450	4	_	_
4-7	451-458	modules	_	_
4-8	459-464	which	_	_
4-9	465-468	are	_	_
4-10	468-469	:	_	_
4-11	471-472	\*	_	_
4-12	473-474	\[	_	_
4-13	474-478	Core	_	_
4-14	478-479	\]	_	_
4-15	479-480	(	_	_
4-16	480-485	https	_	_
4-17	485-486	:	_	_
4-18	486-487	/	_	_
4-19	487-488	/	_	_
4-20	488-496	w3id.org	_	_
4-21	496-497	/	_	_
4-22	497-500	mdo	_	_
4-23	500-501	/	_	_
4-24	501-505	core	_	_
4-25	505-506	/	_	_
4-26	506-509	1.0	_	_
4-27	509-510	)	_	_
4-28	510-511	:	_	_
4-29	512-516	This	_	_
4-30	517-523	module	_	_
4-31	524-532	consists	_	_
4-32	533-535	of	_	_
4-33	536-539	the	_	_
4-34	540-549	top-level	_	_
4-35	550-558	concepts	_	_
4-36	559-562	and	_	_
4-37	563-576	relationships	_	_
4-38	577-579	of	_	_
4-39	580-583	the	_	_
4-40	584-593	materials	_	_
4-41	594-600	design	_	_
4-42	601-609	ontology	_	_
4-43	609-610	,	_	_
4-44	611-616	which	_	_
4-45	617-620	are	_	_
4-46	621-625	also	_	_
4-47	626-632	reused	_	_
4-48	633-635	in	_	_
4-49	636-641	other	_	_
4-50	642-649	modules	_	_

#Text=.
5-1	649-650	.	_	_

#Text=\* \[Structure\](https://w3id.org/mdo/structure/1.0): The structure module is intended to represent the structural information of materials.
6-1	652-653	\*	_	_
6-2	654-655	\[	_	_
6-3	655-664	Structure	_	_
6-4	664-665	\]	_	_
6-5	665-666	(	_	_
6-6	666-671	https	_	_
