#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=# megaman: Manifold Learning for Millions of Points  <img src="https://raw.githubusercontent.com/mmp2/megaman/master/doc/images/word2vec\_rmetric\_plot\_no\_digits.png" height=200><img src="https://raw.githubusercontent.com/mmp2/megaman/master/doc/images/spectra\_D4000.png" height=200><img src="https://raw.githubusercontent.com/mmp2/megaman/master/doc/images/spectra\_Halpha.png" height=200>  \[!
1-1	0-1	#	*[1100]|*[1122]	WORKSHOP[1100]|LICENSE[1100]|PROJECT[1100]|SOFTWARE[1100]|PUBLICATION[1100]|DATASET[1100]|ONTOLOGY[1100]|EVALMETRIC[1100]|PROGLANG[1100]|CONFERENCE[1122]
1-2	2-9	megaman	*[1100]|*[1122]	WORKSHOP[1100]|LICENSE[1100]|PROJECT[1100]|SOFTWARE[1100]|PUBLICATION[1100]|DATASET[1100]|ONTOLOGY[1100]|EVALMETRIC[1100]|PROGLANG[1100]|CONFERENCE[1122]
1-3	9-10	:	*[1100]|*[1122]	WORKSHOP[1100]|LICENSE[1100]|PROJECT[1100]|SOFTWARE[1100]|PUBLICATION[1100]|DATASET[1100]|ONTOLOGY[1100]|EVALMETRIC[1100]|PROGLANG[1100]|CONFERENCE[1122]
1-4	11-19	Manifold	*[1100]|*[1122]	WORKSHOP[1100]|LICENSE[1100]|PROJECT[1100]|SOFTWARE[1100]|PUBLICATION[1100]|DATASET[1100]|ONTOLOGY[1100]|EVALMETRIC[1100]|PROGLANG[1100]|CONFERENCE[1122]
1-5	20-28	Learning	*[1100]|*[1122]	WORKSHOP[1100]|LICENSE[1100]|PROJECT[1100]|SOFTWARE[1100]|PUBLICATION[1100]|DATASET[1100]|ONTOLOGY[1100]|EVALMETRIC[1100]|PROGLANG[1100]|CONFERENCE[1122]
1-6	29-32	for	*[1100]|*[1122]	WORKSHOP[1100]|LICENSE[1100]|PROJECT[1100]|SOFTWARE[1100]|PUBLICATION[1100]|DATASET[1100]|ONTOLOGY[1100]|EVALMETRIC[1100]|PROGLANG[1100]|CONFERENCE[1122]
1-7	33-41	Millions	*[1100]|*[1122]	WORKSHOP[1100]|LICENSE[1100]|PROJECT[1100]|SOFTWARE[1100]|PUBLICATION[1100]|DATASET[1100]|ONTOLOGY[1100]|EVALMETRIC[1100]|PROGLANG[1100]|CONFERENCE[1122]
1-8	42-44	of	*[1100]|*[1122]	WORKSHOP[1100]|LICENSE[1100]|PROJECT[1100]|SOFTWARE[1100]|PUBLICATION[1100]|DATASET[1100]|ONTOLOGY[1100]|EVALMETRIC[1100]|PROGLANG[1100]|CONFERENCE[1122]
1-9	45-51	Points	*[1100]|*[1122]	WORKSHOP[1100]|LICENSE[1100]|PROJECT[1100]|SOFTWARE[1100]|PUBLICATION[1100]|DATASET[1100]|ONTOLOGY[1100]|EVALMETRIC[1100]|PROGLANG[1100]|CONFERENCE[1122]
1-10	53-54	<	*[1100]|*[1122]	WORKSHOP[1100]|LICENSE[1100]|PROJECT[1100]|SOFTWARE[1100]|PUBLICATION[1100]|DATASET[1100]|ONTOLOGY[1100]|EVALMETRIC[1100]|PROGLANG[1100]|CONFERENCE[1122]
1-11	54-57	img	*[1100]|*[1122]	WORKSHOP[1100]|LICENSE[1100]|PROJECT[1100]|SOFTWARE[1100]|PUBLICATION[1100]|DATASET[1100]|ONTOLOGY[1100]|EVALMETRIC[1100]|PROGLANG[1100]|CONFERENCE[1122]
1-12	58-61	src	*[1100]|*[1122]	WORKSHOP[1100]|LICENSE[1100]|PROJECT[1100]|SOFTWARE[1100]|PUBLICATION[1100]|DATASET[1100]|ONTOLOGY[1100]|EVALMETRIC[1100]|PROGLANG[1100]|CONFERENCE[1122]
1-13	61-62	=	*[1100]|*[1122]	WORKSHOP[1100]|LICENSE[1100]|PROJECT[1100]|SOFTWARE[1100]|PUBLICATION[1100]|DATASET[1100]|ONTOLOGY[1100]|EVALMETRIC[1100]|PROGLANG[1100]|CONFERENCE[1122]
