#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=# \[AAAI 2024\] NuScenes-QA  Official repository for the AAAI 2024 paper \*\*\[NuScenes-QA: A Multi-modal Visual Question Answering Benchmark for Autonomous Driving Scenario\](https://arxiv.org/pdf/2305.14836.pdf)\*\*.  !
1-1	0-1	#	*[756]|*[767]	PROGLANG[756]|LICENSE[756]|PROJECT[756]|DATASET[756]|ONTOLOGY[756]|EVALMETRIC[756]|SOFTWARE[756]|PUBLICATION[756]|WORKSHOP[756]|CONFERENCE[767]
1-2	2-3	\[	*[756]|*[767]	PROGLANG[756]|LICENSE[756]|PROJECT[756]|DATASET[756]|ONTOLOGY[756]|EVALMETRIC[756]|SOFTWARE[756]|PUBLICATION[756]|WORKSHOP[756]|CONFERENCE[767]
1-3	3-7	AAAI	*[756]|*[767]	PROGLANG[756]|LICENSE[756]|PROJECT[756]|DATASET[756]|ONTOLOGY[756]|EVALMETRIC[756]|SOFTWARE[756]|PUBLICATION[756]|WORKSHOP[756]|CONFERENCE[767]
1-4	8-12	2024	*[756]|*[767]	PROGLANG[756]|LICENSE[756]|PROJECT[756]|DATASET[756]|ONTOLOGY[756]|EVALMETRIC[756]|SOFTWARE[756]|PUBLICATION[756]|WORKSHOP[756]|CONFERENCE[767]
1-5	12-13	\]	*[756]|*[767]	PROGLANG[756]|LICENSE[756]|PROJECT[756]|DATASET[756]|ONTOLOGY[756]|EVALMETRIC[756]|SOFTWARE[756]|PUBLICATION[756]|WORKSHOP[756]|CONFERENCE[767]
1-6	14-25	NuScenes-QA	*[756]|*[767]	PROGLANG[756]|LICENSE[756]|PROJECT[756]|DATASET[756]|ONTOLOGY[756]|EVALMETRIC[756]|SOFTWARE[756]|PUBLICATION[756]|WORKSHOP[756]|CONFERENCE[767]
1-7	27-35	Official	*[756]|*[767]	PROGLANG[756]|LICENSE[756]|PROJECT[756]|DATASET[756]|ONTOLOGY[756]|EVALMETRIC[756]|SOFTWARE[756]|PUBLICATION[756]|WORKSHOP[756]|CONFERENCE[767]
1-8	36-46	repository	*[756]|*[767]	PROGLANG[756]|LICENSE[756]|PROJECT[756]|DATASET[756]|ONTOLOGY[756]|EVALMETRIC[756]|SOFTWARE[756]|PUBLICATION[756]|WORKSHOP[756]|CONFERENCE[767]
1-9	47-50	for	*[756]|*[767]	PROGLANG[756]|LICENSE[756]|PROJECT[756]|DATASET[756]|ONTOLOGY[756]|EVALMETRIC[756]|SOFTWARE[756]|PUBLICATION[756]|WORKSHOP[756]|CONFERENCE[767]
1-10	51-54	the	*[756]|*[767]	PROGLANG[756]|LICENSE[756]|PROJECT[756]|DATASET[756]|ONTOLOGY[756]|EVALMETRIC[756]|SOFTWARE[756]|PUBLICATION[756]|WORKSHOP[756]|CONFERENCE[767]
