#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=# BTM \*\*Reviving Undersampling for Long-Tailed Learning\*\*  \*\*Authors\*\*: Hao Yu, Yingxiao Du, Jianxin Wu  \[\[`arXiv`\](https://arxiv.org/pdf/2401.16811.pdf)\] \[\[`bibtex`\](#Citation)\]   \*\*Introduction\*\*: This repository provides an implementation for the paper: "\[Reviving Undersampling for Long-Tailed Learning\](https://arxiv.org/pdf/2401.16811.pdf)" based on \[MiSLAS\](https://github.com/dvlab-research/MiSLAS).
1-1	0-1	#	_	_
1-2	2-5	BTM	_	_
1-3	6-7	\*	_	_
1-4	7-8	\*	_	_
1-5	8-16	Reviving	_	_
1-6	17-30	Undersampling	_	_
1-7	31-34	for	_	_
1-8	35-46	Long-Tailed	_	_
1-9	47-55	Learning	_	_
1-10	55-56	\*	_	_
1-11	56-57	\*	_	_
1-12	59-60	\*	_	_
1-13	60-61	\*	_	_
1-14	61-68	Authors	_	_
1-15	68-69	\*	_	_
1-16	69-70	\*	_	_
1-17	70-71	:	_	_
1-18	72-75	Hao	_	_
1-19	76-78	Yu	_	_
1-20	78-79	,	_	_
1-21	80-88	Yingxiao	_	_
1-22	89-91	Du	_	_
1-23	91-92	,	_	_
1-24	93-100	Jianxin	_	_
1-25	101-103	Wu	_	_
1-26	105-106	\[	_	_
1-27	106-107	\[	_	_
1-28	107-108	`	_	_
1-29	108-113	arXiv	_	_
1-30	113-114	`	_	_
1-31	114-115	\]	_	_
1-32	115-116	(	_	_
1-33	116-121	https	_	_
1-34	121-122	:	_	_
1-35	122-123	/	_	_
1-36	123-124	/	_	_
1-37	124-133	arxiv.org	_	_
1-38	133-134	/	_	_
1-39	134-137	pdf	_	_
1-40	137-138	/	_	_
1-41	138-148	2401.16811	_	_
1-42	148-149	.	_	_
1-43	149-152	pdf	_	_
1-44	152-153	)	_	_
1-45	153-154	\]	_	_
1-46	155-156	\[	_	_
1-47	156-157	\[	_	_
1-48	157-158	`	_	_
1-49	158-164	bibtex	_	_
1-50	164-165	`	_	_
1-51	165-166	\]	_	_
1-52	166-167	(	_	_
1-53	167-168	#	_	_
1-54	168-176	Citation	_	_
1-55	176-177	)	_	_
1-56	177-178	\]	_	_
1-57	181-182	\*	_	_
