#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=# Awesome Neural Tree Papers <img class="emoji" alt=":art:" height="30" width="30" src="tree.png"> Selected papers and possible corresponding codes in our review paper \*\*"A Survey of Neural Trees" \[\[arXiv Version\]\](https://arxiv.org/abs/2209.03415)\*\*  \*If you find there is a missed paper or a possible mistake in our survey, please feel free to email me or pull a request here.
1-1	0-1	#	*[767]|*[848]	DATASET[767]|ONTOLOGY[767]|PROJECT[767]|SOFTWARE[767]|PUBLICATION[767]|EVALMETRIC[767]|PROGLANG[767]|WORKSHOP[767]|LICENSE[767]|CONFERENCE[848]
1-2	2-9	Awesome	*[767]|*[848]	DATASET[767]|ONTOLOGY[767]|PROJECT[767]|SOFTWARE[767]|PUBLICATION[767]|EVALMETRIC[767]|PROGLANG[767]|WORKSHOP[767]|LICENSE[767]|CONFERENCE[848]
1-3	10-16	Neural	*[767]|*[848]	DATASET[767]|ONTOLOGY[767]|PROJECT[767]|SOFTWARE[767]|PUBLICATION[767]|EVALMETRIC[767]|PROGLANG[767]|WORKSHOP[767]|LICENSE[767]|CONFERENCE[848]
1-4	17-21	Tree	*[767]|*[848]	DATASET[767]|ONTOLOGY[767]|PROJECT[767]|SOFTWARE[767]|PUBLICATION[767]|EVALMETRIC[767]|PROGLANG[767]|WORKSHOP[767]|LICENSE[767]|CONFERENCE[848]
1-5	22-28	Papers	*[767]|*[848]	DATASET[767]|ONTOLOGY[767]|PROJECT[767]|SOFTWARE[767]|PUBLICATION[767]|EVALMETRIC[767]|PROGLANG[767]|WORKSHOP[767]|LICENSE[767]|CONFERENCE[848]
1-6	29-30	<	*[767]|*[848]	DATASET[767]|ONTOLOGY[767]|PROJECT[767]|SOFTWARE[767]|PUBLICATION[767]|EVALMETRIC[767]|PROGLANG[767]|WORKSHOP[767]|LICENSE[767]|CONFERENCE[848]
1-7	30-33	img	*[767]|*[848]	DATASET[767]|ONTOLOGY[767]|PROJECT[767]|SOFTWARE[767]|PUBLICATION[767]|EVALMETRIC[767]|PROGLANG[767]|WORKSHOP[767]|LICENSE[767]|CONFERENCE[848]
1-8	34-39	class	*[767]|*[848]	DATASET[767]|ONTOLOGY[767]|PROJECT[767]|SOFTWARE[767]|PUBLICATION[767]|EVALMETRIC[767]|PROGLANG[767]|WORKSHOP[767]|LICENSE[767]|CONFERENCE[848]
1-9	39-40	=	*[767]|*[848]	DATASET[767]|ONTOLOGY[767]|PROJECT[767]|SOFTWARE[767]|PUBLICATION[767]|EVALMETRIC[767]|PROGLANG[767]|WORKSHOP[767]|LICENSE[767]|CONFERENCE[848]
1-10	40-41	"	*[767]|*[848]	DATASET[767]|ONTOLOGY[767]|PROJECT[767]|SOFTWARE[767]|PUBLICATION[767]|EVALMETRIC[767]|PROGLANG[767]|WORKSHOP[767]|LICENSE[767]|CONFERENCE[848]
1-11	41-46	emoji	*[767]|*[848]	DATASET[767]|ONTOLOGY[767]|PROJECT[767]|SOFTWARE[767]|PUBLICATION[767]|EVALMETRIC[767]|PROGLANG[767]|WORKSHOP[767]|LICENSE[767]|CONFERENCE[848]
1-12	46-47	"	*[767]|*[848]	DATASET[767]|ONTOLOGY[767]|PROJECT[767]|SOFTWARE[767]|PUBLICATION[767]|EVALMETRIC[767]|PROGLANG[767]|WORKSHOP[767]|LICENSE[767]|CONFERENCE[848]
1-13	48-51	alt	*[767]|*[848]	DATASET[767]|ONTOLOGY[767]|PROJECT[767]|SOFTWARE[767]|PUBLICATION[767]|EVALMETRIC[767]|PROGLANG[767]|WORKSHOP[767]|LICENSE[767]|CONFERENCE[848]
1-14	51-52	=	*[767]|*[848]	DATASET[767]|ONTOLOGY[767]|PROJECT[767]|SOFTWARE[767]|PUBLICATION[767]|EVALMETRIC[767]|PROGLANG[767]|WORKSHOP[767]|LICENSE[767]|CONFERENCE[848]
1-15	52-53	"	*[767]|*[848]	DATASET[767]|ONTOLOGY[767]|PROJECT[767]|SOFTWARE[767]|PUBLICATION[767]|EVALMETRIC[767]|PROGLANG[767]|WORKSHOP[767]|LICENSE[767]|CONFERENCE[848]
1-16	53-54	:	*[767]|*[848]	DATASET[767]|ONTOLOGY[767]|PROJECT[767]|SOFTWARE[767]|PUBLICATION[767]|EVALMETRIC[767]|PROGLANG[767]|WORKSHOP[767]|LICENSE[767]|CONFERENCE[848]
1-17	54-57	art	*[767]|*[848]	DATASET[767]|ONTOLOGY[767]|PROJECT[767]|SOFTWARE[767]|PUBLICATION[767]|EVALMETRIC[767]|PROGLANG[767]|WORKSHOP[767]|LICENSE[767]|CONFERENCE[848]
1-18	57-58	:	*[767]|*[848]	DATASET[767]|ONTOLOGY[767]|PROJECT[767]|SOFTWARE[767]|PUBLICATION[767]|EVALMETRIC[767]|PROGLANG[767]|WORKSHOP[767]|LICENSE[767]|CONFERENCE[848]
1-19	58-59	"	*[767]|*[848]	DATASET[767]|ONTOLOGY[767]|PROJECT[767]|SOFTWARE[767]|PUBLICATION[767]|EVALMETRIC[767]|PROGLANG[767]|WORKSHOP[767]|LICENSE[767]|CONFERENCE[848]
1-20	60-66	height	*[767]|*[848]	DATASET[767]|ONTOLOGY[767]|PROJECT[767]|SOFTWARE[767]|PUBLICATION[767]|EVALMETRIC[767]|PROGLANG[767]|WORKSHOP[767]|LICENSE[767]|CONFERENCE[848]
1-21	66-67	=	*[767]|*[848]	DATASET[767]|ONTOLOGY[767]|PROJECT[767]|SOFTWARE[767]|PUBLICATION[767]|EVALMETRIC[767]|PROGLANG[767]|WORKSHOP[767]|LICENSE[767]|CONFERENCE[848]
1-22	67-68	"	*[767]|*[848]	DATASET[767]|ONTOLOGY[767]|PROJECT[767]|SOFTWARE[767]|PUBLICATION[767]|EVALMETRIC[767]|PROGLANG[767]|WORKSHOP[767]|LICENSE[767]|CONFERENCE[848]
1-23	68-70	30	*[767]|*[848]	DATASET[767]|ONTOLOGY[767]|PROJECT[767]|SOFTWARE[767]|PUBLICATION[767]|EVALMETRIC[767]|PROGLANG[767]|WORKSHOP[767]|LICENSE[767]|CONFERENCE[848]
1-24	70-71	"	*[767]|*[848]	DATASET[767]|ONTOLOGY[767]|PROJECT[767]|SOFTWARE[767]|PUBLICATION[767]|EVALMETRIC[767]|PROGLANG[767]|WORKSHOP[767]|LICENSE[767]|CONFERENCE[848]
1-25	72-77	width	*[767]|*[848]	DATASET[767]|ONTOLOGY[767]|PROJECT[767]|SOFTWARE[767]|PUBLICATION[767]|EVALMETRIC[767]|PROGLANG[767]|WORKSHOP[767]|LICENSE[767]|CONFERENCE[848]
