entity_text,zenodo_gold_name,entity_type,gold_name,sentence
MNIST,mnist,DATASET,mnist,"The MNIST dataset is included in the package but it must be unziped, on a Unix machine run the following command:  ``` unzip ."
mnist,mnist,DATASET,mnist,/datasets/mnist.zip -d .
mnist,mnist,DATASET,mnist,/datasets/mnist/train` and `.
mnist,mnist,DATASET,mnist,/datasets/mnist/test` needed for the experiments.
HAIM-MIMIC-MM,NIL,DATASET,NIL,"We evaluate our HAIM framework by training and characterizing 14,324 independent models based on HAIM-MIMIC-MM, a multimodal clinical database (N=34,537 samples) containing 7,279 unique hospitalizations and 6,485 patients, spanning all possible input combinations of 4 data modalities (i.e., tabular, time-series, text, and images), 11 unique data sources and 12 predictive tasks."
MIMIC-IV,mimic-iv,DATASET,mimic-iv,"Noteevents.csv are public and available for download at Physionet.org; however, other ""NOTES"" data requires pre-release direct permission from Physionet.org for download as ""discharge notes"", ""radiology notes"", ""ECG notes"" and ""ECHO notes"" are not yet publicly released for MIMIC-IV as of Sep 2022, these files are: ds_icustay.csv, ecg_icustay.csv, echo_icustay.csv, rad_icustay.csv)."
MIMIC-IV,mimic-iv,DATASET,mimic-iv,"Please be advised that sufficient RAM or cluster access to parallel processing is needed to run these experiments.  ### UPDATE (Jan. 6, 2023) The radiology and the discharge notes for MIMIC-IV have been officially released on: https://physionet.org/content/mimic-iv-note/2.2/note/#files-panel  ### UPDATE (Jun. 12, 2023) For the publication, our team generated the file 'mimic-cxr-2.0.0-jpeg-txt.csv' by compiling an early-release version of participant notes and text from the images in CXR corresponding to MIMIC-IV."
mimic-iv-note,mimic-iv-note,DATASET,mimic-iv-note,"Please be advised that sufficient RAM or cluster access to parallel processing is needed to run these experiments.  ### UPDATE (Jan. 6, 2023) The radiology and the discharge notes for MIMIC-IV have been officially released on: https://physionet.org/content/mimic-iv-note/2.2/note/#files-panel  ### UPDATE (Jun. 12, 2023) For the publication, our team generated the file 'mimic-cxr-2.0.0-jpeg-txt.csv' by compiling an early-release version of participant notes and text from the images in CXR corresponding to MIMIC-IV."
MIMIC-IV,mimic-iv,DATASET,mimic-iv,"Please be advised that sufficient RAM or cluster access to parallel processing is needed to run these experiments.  ### UPDATE (Jan. 6, 2023) The radiology and the discharge notes for MIMIC-IV have been officially released on: https://physionet.org/content/mimic-iv-note/2.2/note/#files-panel  ### UPDATE (Jun. 12, 2023) For the publication, our team generated the file 'mimic-cxr-2.0.0-jpeg-txt.csv' by compiling an early-release version of participant notes and text from the images in CXR corresponding to MIMIC-IV."
MIMIC-IV,mimic-iv,DATASET,mimic-iv,"As of June 12, 2023, Physionet has not fully released these notes, but it is likely they are planning to do so as part of their full release of MIMIC-IV."
CoNLL04,conll04,DATASET,conll04,The CoNLL04 and ADE datasets (joint entity and relation extraction) in the correct format can be downloaded using https://github.com/markus-eberts/spert/blob/master/scripts/fetch_datasets.sh.
ADE,NIL,DATASET,NIL,The CoNLL04 and ADE datasets (joint entity and relation extraction) in the correct format can be downloaded using https://github.com/markus-eberts/spert/blob/master/scripts/fetch_datasets.sh.
CoNLL04,conll04,DATASET,conll04,"For example, to replicate the paper's results on CoNLL04, have the following section in the config file: ``` [conll04_final] datasets = conll04 model_name_or_path = t5-base num_train_epochs = 200 max_seq_length = 256 max_seq_length_eval = 512 train_split = train,dev per_device_train_batch_size = 8 per_device_eval_batch_size = 16 do_train = True do_eval = False do_predict = True episodes = 1-10 num_beams = 8 ``` Then run `python run.py conll04_final`."
conll04,conll04,DATASET,conll04,"For example, to replicate the paper's results on CoNLL04, have the following section in the config file: ``` [conll04_final] datasets = conll04 model_name_or_path = t5-base num_train_epochs = 200 max_seq_length = 256 max_seq_length_eval = 512 train_split = train,dev per_device_train_batch_size = 8 per_device_eval_batch_size = 16 do_train = True do_eval = False do_predict = True episodes = 1-10 num_beams = 8 ``` Then run `python run.py conll04_final`."
conll04,conll04,DATASET,conll04,"For example, to replicate the paper's results on CoNLL04, have the following section in the config file: ``` [conll04_final] datasets = conll04 model_name_or_path = t5-base num_train_epochs = 200 max_seq_length = 256 max_seq_length_eval = 512 train_split = train,dev per_device_train_batch_size = 8 per_device_eval_batch_size = 16 do_train = True do_eval = False do_predict = True episodes = 1-10 num_beams = 8 ``` Then run `python run.py conll04_final`."
conll04,conll04,DATASET,conll04,"For example, to replicate the paper's results on CoNLL04, have the following section in the config file: ``` [conll04_final] datasets = conll04 model_name_or_path = t5-base num_train_epochs = 200 max_seq_length = 256 max_seq_length_eval = 512 train_split = train,dev per_device_train_batch_size = 8 per_device_eval_batch_size = 16 do_train = True do_eval = False do_predict = True episodes = 1-10 num_beams = 8 ``` Then run `python run.py conll04_final`."
conll04,conll04,DATASET,conll04,"The final weights and intermediate checkpoints are written in a directory such as `experiments/conll04_final-t5-base-ep200-len256-b8-train`, with one subdirectory per episode."
conll04,conll04,DATASET,conll04,"For this, set `do_train = False` or (more easily) provide the `-e` command-line argument: `python run.py conll04_final -e`."
CoNLL04,conll04,DATASET,conll04,"For example, to test the multi-task model on the CoNLL04 dataset, run `python run.py multitask -e --eval_datasets conll04`."
conll04,conll04,DATASET,conll04,"For example, to test the multi-task model on the CoNLL04 dataset, run `python run.py multitask -e --eval_datasets conll04`."
BabelDomains,NIL,DATASET,NIL,"/a2t/topic_classification/) evaluated on BabelDomains (Camacho- Collados and Navigli, 2017)  dataset. - [Relation classification](."
TACRED,tacred,DATASET,tacred,"/a2t/relation_classification/) evaluated on TACRED (Zhang et al., 2017) dataset. -->  To get started with the repository consider reading the **new** [documentation](https://osainz59.github.io/Ask2Transformers)!"
NLI,NIL,DATASET,NIL,"-- $$\text{HiTZ/A2T\_[pretrained\_model]\_[NLI\_datasets]\_[finetune\_datasets]}$$ -->  <h3 align=""center"">HiTZ/A2T_[pretrained_model]_[NLI_datasets]_[finetune_datasets]</h3>   - `pretrained_model`: The checkpoint used for initialization."
NLI,NIL,DATASET,NIL,For example: RoBERTa<sub>large</sub>. - `NLI_datasets`: The NLI datasets used for pivot training
Standford Natural Language Inference,snil,DATASET,snil,- `S`: Standford Natural Language Inference (SNLI) dataset
SNLI,snli,DATASET,snli,- `S`: Standford Natural Language Inference (SNLI) dataset
Multi Natural Language Inference,NIL,DATASET,NIL,- `M`: Multi Natural Language Inference (MNLI) dataset
MNLI,NIL,DATASET,NIL,- `M`: Multi Natural Language Inference (MNLI) dataset
Fever-nli,fever,DATASET,fever,- `F`: Fever-nli dataset
Adversarial Natural Language Inference,anli,DATASET,anli,- `A`: Adversarial Natural Language Inference (ANLI) dataset. - `finetune_datasets`: The datasets used for fine tuning the entailment model.
ANLI,anli,DATASET,anli,- `A`: Adversarial Natural Language Inference (ANLI) dataset. - `finetune_datasets`: The datasets used for fine tuning the entailment model.
ACE-arg,NIL,DATASET,NIL,For example: ACE-arg.
ACE-arg,NIL,DATASET,NIL,Some models like `HiTZ/A2T_RoBERTa_SMFA_ACE-arg` have been trained marking some information between square brackets (`'[['` and `']]'`) like the event trigger span.
NLI,NIL,DATASET,NIL,"To train your own model, first, you will need to convert your actual dataset in some sort of NLI data, we recommend you to have a look to [tacred2mnli.py](https://github.com/osainz59/Ask2Transformers/blob/master/scripts/tacred2mnli.py) script that serves as an example"
babeldomains,NIL,DATASET,NIL,"""Royalty and nobility"",         ""Sport and recreation"",         ""Textile and clothing"",         ""Transport and travel"",         ""Warfare and defense""     ],     ""preprocess_labels"": true,     ""dataset"": ""babeldomains"",     ""test_path"": ""data/babeldomains.domain.gloss.tsv"",     ""use_cuda"": true,     ""half"": true } ```  Consider reading the papers to access the results"
TACRED,tacred,DATASET,tacred,"In our experiments on TACRED we attain 63{\%} F1 zero-shot, 69{\%} with 16 examples per relation (17{\%} points better than the best supervised system on the same conditions), and only 4 points short to the state-of-the-art (which uses 20 times more training data)."
TACRED,tacred,DATASET,tacred,"We also show that the performance can be improved significantly with larger entailment models, up to 12 points in zero-shot, allowing to report the best results to date on TACRED when fully trained."
FinGPT/fingpt-forecaster-dow30-202305-202405,NIL,DATASET,NIL,"RLHF enables an LLM model to learn individual preferences (risk-aversion level, investing habits, personalized robo-advisor, etc.), which is the ""secret"" ingredient of ChatGPT and GPT4.   ### Milestone of AI Robo-Advisor: FinGPT-Forecaster  Try the latest released FinGPT-Forecaster demo at our [HuggingFace Space](https://huggingface.co/spaces/FinGPT/FinGPT-Forecaster)  The dataset for FinGPT-Forecaster: https://huggingface.co/datasets/FinGPT/fingpt-forecaster-dow30-202305-202405  !"
TFNS,NIL,DATASET,NIL,"* Benchmark Results:      * | Weighted F1                                                  |    FPB    |  FiQA-SA  |   TFNS    |   NWGI    |      Devices       |    Time     |      Cost      |     | ------------------------------------------------------------ | :-------: | :-------: | :-------: | :-------: | :----------------: | :---------: | :------------: |     | [FinGPT v3.3](https://huggingface.co/FinGPT/fingpt-sentiment_llama2-13b_lora)| **0.882** |   0.874   | **0.903** | **0.643** |    1 × RTX 3090    | 17.25 hours |     $17.25     |     | FinGPT v3.2|   0.850   |   0.860   |   0.894   |   0.636   |      1 × A100      |  5.5 hours  |    $ 22.55     |     | FinGPT v3.1|   0.855   |   0.850   |   0.875   |   0.642   |      1 × A100      |  5.5 hours  |    $ 22.55     |     | FinGPT (8bit)                                                |   0.855   |   0.847   |   0.879   |   0.632   |    1 × RTX 3090    | 6.47 hours  |     $ 6.47     |     | FinGPT (QLoRA)                                               |   0.777   |   0.752   |   0.828   |   0.583   |    1 × RTX 3090    | 4.15 hours  |     $ 4.15     |     | OpenAI Fine-tune                                             |   0.878   | **0.887** |   0.883   |     -     |         -          |      -      |       -        |     | GPT-4                                                        |   0.833   |   0.630   |   0.808   |     -     |         -          |      -      |       -        |     | FinBERT                                                      |   0.880   |   0.596   |   0.733   |   0.538   | 4 × NVIDIA K80 GPU |      -      |       -        |     | Llama2-7B                                                    |   0.390   |   0.800   |   0.296   |   0.503   |    2048 × A100     |   21 days   | $ 4.23 million |     | BloombergGPT                                                 |   0.511   |   0.751   |     -     |     -     |     512 × A100     |   53 days   | $ 2.67 million |        **Cost per GPU hour.** For **A100 GPUs**, the AWS p4d.24xlarge instance, equipped with 8 A100 GPUs is used as a benchmark to estimate the costs."
NWGI,NIL,DATASET,NIL,"* Benchmark Results:      * | Weighted F1                                                  |    FPB    |  FiQA-SA  |   TFNS    |   NWGI    |      Devices       |    Time     |      Cost      |     | ------------------------------------------------------------ | :-------: | :-------: | :-------: | :-------: | :----------------: | :---------: | :------------: |     | [FinGPT v3.3](https://huggingface.co/FinGPT/fingpt-sentiment_llama2-13b_lora)| **0.882** |   0.874   | **0.903** | **0.643** |    1 × RTX 3090    | 17.25 hours |     $17.25     |     | FinGPT v3.2|   0.850   |   0.860   |   0.894   |   0.636   |      1 × A100      |  5.5 hours  |    $ 22.55     |     | FinGPT v3.1|   0.855   |   0.850   |   0.875   |   0.642   |      1 × A100      |  5.5 hours  |    $ 22.55     |     | FinGPT (8bit)                                                |   0.855   |   0.847   |   0.879   |   0.632   |    1 × RTX 3090    | 6.47 hours  |     $ 6.47     |     | FinGPT (QLoRA)                                               |   0.777   |   0.752   |   0.828   |   0.583   |    1 × RTX 3090    | 4.15 hours  |     $ 4.15     |     | OpenAI Fine-tune                                             |   0.878   | **0.887** |   0.883   |     -     |         -          |      -      |       -        |     | GPT-4                                                        |   0.833   |   0.630   |   0.808   |     -     |         -          |      -      |       -        |     | FinBERT                                                      |   0.880   |   0.596   |   0.733   |   0.538   | 4 × NVIDIA K80 GPU |      -      |       -        |     | Llama2-7B                                                    |   0.390   |   0.800   |   0.296   |   0.503   |    2048 × A100     |   21 days   | $ 4.23 million |     | BloombergGPT                                                 |   0.511   |   0.751   |     -     |     -     |     512 × A100     |   53 days   | $ 2.67 million |        **Cost per GPU hour.** For **A100 GPUs**, the AWS p4d.24xlarge instance, equipped with 8 A100 GPUs is used as a benchmark to estimate the costs."
