sentence,entity_text,entity_type
"In particular, we use the files `caligraph-ontology.nt.bz2` and `caligraph-instances_types.nt.bz2` to generate our sample data.",caligraph-ontology,ONTOLOGY
OntoMathPro: A Hub for Math Linking Open Data (LOD) ===============================  The OntoMathPro ontology has been developed by a [research group](https://github.com/CLLKazan) from Kazan Federal University (Russia).,OntoMathPro,ONTOLOGY
OntoMathPro: A Hub for Math Linking Open Data (LOD) ===============================  The OntoMathPro ontology has been developed by a [research group](https://github.com/CLLKazan) from Kazan Federal University (Russia).,OntoMathPro,ONTOLOGY
"OntoMathPro Ontology: A Linked Data Hub for Mathematics // Proceedings of the 5th International Conference on Knowledge Engineering and the Semantic Web.- Springer.- 2014.- pp.105-119. [ [ArXiv] ](http://arxiv.org/abs/1407.4833)  If you leverage the ontology in your research, please cite [2].",OntoMathPro,ONTOLOGY
OntoProtein is an effective method that make use of structure in GO (Gene Ontology) into text-enhanced protein pre-training model. - ❗NOTE: We provide a NLP for science paper-list at [https://github.com/zjunlp/NLP4Science_Papers](https://github.com/zjunlp/NLP4Science_Papers).,GO,ONTOLOGY
OntoProtein is an effective method that make use of structure in GO (Gene Ontology) into text-enhanced protein pre-training model. - ❗NOTE: We provide a NLP for science paper-list at [https://github.com/zjunlp/NLP4Science_Papers](https://github.com/zjunlp/NLP4Science_Papers).,Gene Ontology,ONTOLOGY
"<div align=center><img src=""resources/img/main.jpg"" width=""60%"" height=""60%"" /></div>  ## Requirements <span id=""requirements""></span> To run our code, please install dependency packages for related steps.  ### Environment for pre-training data generation <span id=""environment-for-pre-training-data-generation""></span> python3.8 / biopython 1.37 / goatools  For extracting the definition of the GO term, we motified the code in `goatools` library.",GO,ONTOLOGY
"BLAST, DeepGraphGO, we provide related links to configurate as follows:  [BLAST](https://www.ncbi.nlm.nih.gov/books/NBK569861/) / [Interproscan](https://github.com/ebi-pf-team/interproscan) / [DeepGraphGO](https://github.com/yourh/DeepGraphGO) / [GNN-PPI](https://github.com/lvguofeng/GNN_PPI)  ## Data preparation <span id=""data-preparation""></span> For pretraining OntoProtein, fine-tuning on protein-related tasks and inference, we provide acquirement approach of related data.  ### Pre-training data <span id=""pre-training-data""></span> To incorporate Gene Ontology knowledge into language models and train OntoProtein, we construct [ProteinKG25](https://zjunlp.github.io/project/ProteinKG25/), a large-scale KG dataset with aligned descriptions and protein sequences respectively to GO terms and protein entities.",Gene,ONTOLOGY
"BLAST, DeepGraphGO, we provide related links to configurate as follows:  [BLAST](https://www.ncbi.nlm.nih.gov/books/NBK569861/) / [Interproscan](https://github.com/ebi-pf-team/interproscan) / [DeepGraphGO](https://github.com/yourh/DeepGraphGO) / [GNN-PPI](https://github.com/lvguofeng/GNN_PPI)  ## Data preparation <span id=""data-preparation""></span> For pretraining OntoProtein, fine-tuning on protein-related tasks and inference, we provide acquirement approach of related data.  ### Pre-training data <span id=""pre-training-data""></span> To incorporate Gene Ontology knowledge into language models and train OntoProtein, we construct [ProteinKG25](https://zjunlp.github.io/project/ProteinKG25/), a large-scale KG dataset with aligned descriptions and protein sequences respectively to GO terms and protein entities.",GO,ONTOLOGY
"The whole compressed package includes following files:  - `go_def.txt`: GO term definition, which is text data.",GO,ONTOLOGY
We concatenate GO term name and corresponding definition by colon. - `go_type.txt`: The ontology type which the specific GO term belong to.,GO,ONTOLOGY
We concatenate GO term name and corresponding definition by colon. - `go_type.txt`: The ontology type which the specific GO term belong to.,GO,ONTOLOGY
The index is correponding to GO ID in `go2id.txt` file. - `go2id.txt`: The ID mapping of GO terms. - `go_go_triplet.txt`: GO-GO triplet data.,GO,ONTOLOGY
The index is correponding to GO ID in `go2id.txt` file. - `go2id.txt`: The ID mapping of GO terms. - `go_go_triplet.txt`: GO-GO triplet data.,GO,ONTOLOGY
The triplet data constitutes the interior structure of Gene Ontology.,Gene Ontology,ONTOLOGY
"The data format is < `h r t`>, where `h` and `t` are respectively head entity and tail entity, both GO term nodes.",GO,ONTOLOGY
"`r` is relation between two GO terms, e.g.",GO,ONTOLOGY
"The triplet data constitutes the exterior structure of Gene Ontology, i.e.",Gene Ontology,ONTOLOGY
"It is different from GO-GO triplet that a triplet in Protein-GO triplet means a specific gene annotation, where the head entity is a specific protein and tail entity is the corresponding GO term, e.g. protein binding function.",GO,ONTOLOGY
`r` is relation between the protein and GO term. - `relation2id.txt`:  The ID mapping of relations.,GO,ONTOLOGY
