canonical_id,name,type,aliases,gold_name,homepage,doi,source
15198884,"S2BMS - Sentinel-2 UK Butterfly Monitoring Scheme data set (Van der Plas et al., 2025, CVPR FGVC)",Dataset,"s2bms - sentinel-2 uk butterfly monitoring scheme data set (van der plas et al., 2025, cvpr fgvc)",fgvc,,10.5281/zenodo.15198884,Zenodo
16789270,Rare Animal Fine-Grained Visual Classification (FGVC) Benchmark,Dataset,rare animal fine-grained visual classification (fgvc) benchmark,fgvc,,10.5281/zenodo.16789270,Zenodo
4739276,LocaRDS: A Localization Reference Data Set,Dataset,locards: a localization reference data set,fgvc-aircraft,,10.5281/zenodo.4739276,Zenodo
2064963,"JPAD, A Java Application Programming Interface for Aircraft Design",Software,"jpad, a java application programming interface for aircraft design",fgvc-aircraft,,10.5281/zenodo.2064963,Zenodo
7100698,WhichDog: A crowdsourced dataset including candidate set-based labelling,Dataset,whichdog: a crowdsourced dataset including candidate set-based labelling,stanford dogs,,10.5281/zenodo.7100698,Zenodo
3237458,Twitter pre-trained word vectors,Dataset,twitter pre-trained word vectors,stanford dogs,,10.5281/zenodo.3237458,Zenodo
8099099,Online classified adverts reflect the broader United Kingdom trade in turtles and tortoises rather than drive it.,Dataset,online classified adverts reflect the broader united kingdom trade in turtles and tortoises rather than drive it.,stanford dogs,,10.5281/zenodo.8099099,Zenodo
4432838,Detection dogs in nature conservation: a database on their worldwide deployment with a review on breeds used and their performance compared to other methods,Dataset,detection dogs in nature conservation: a database on their worldwide deployment with a review on breeds used and their performance compared to other methods,stanford dogs,,10.5061/dryad.t76hdr804,Zenodo
13879824,"Data and code repository for the research ""Assessing the use of Airborne Electromagnetic Data for nitrate vulnerability assessment in the Central Valley, California""",Dataset,"data and code repository for the research ""assessing the use of airborne electromagnetic data for nitrate vulnerability assessment in the central valley, california""",stanford dogs,,10.5281/zenodo.13879824,Zenodo
8132656,"Data Repository for ""Integrating Water Quality Data with a Bayesian Network Model to Improve Spatial and Temporal Phosphorus Attribution: Application to the Maumee River Basin""",Dataset,"data repository for ""integrating water quality data with a bayesian network model to improve spatial and temporal phosphorus attribution: application to the maumee river basin""",stanford dogs,,10.5281/zenodo.8132656,Zenodo
5025478,How long is 3 kilometres for a butterfly? Ecological constraints and functional traits explain high mitochondrial genetic diversity between Sicily and the Italian Peninsula,Dataset,how long is 3 kilometres for a butterfly? ecological constraints and functional traits explain high mitochondrial genetic diversity between sicily and the italian peninsula,l-butterfly,,10.5061/dryad.5qfttdz1x,Zenodo
4936078,Data from: Phenological asynchrony in plant–butterfly interactions associated with climate: a community-wide perspective,Dataset,data from: phenological asynchrony in plant–butterfly interactions associated with climate: a community-wide perspective,l-butterfly,,10.5061/dryad.72551,Zenodo
3986071,Secondary contact zones of closely-related Erebia butterflies overlap with narrow phenotypic and parasitic clines,Dataset,secondary contact zones of closely-related erebia butterflies overlap with narrow phenotypic and parasitic clines,l-butterfly,,10.5061/dryad.j6q573nb5,Zenodo
15198884,"S2BMS - Sentinel-2 UK Butterfly Monitoring Scheme data set (Van der Plas et al., 2025, CVPR FGVC)",Dataset,"s2bms - sentinel-2 uk butterfly monitoring scheme data set (van der plas et al., 2025, cvpr fgvc)",l-butterfly,,10.5281/zenodo.15198884,Zenodo
10233103,Butterfly,Dataset,butterfly,l-butterfly,,10.5281/zenodo.10233103,Zenodo
15304081,Dog Pain Database: A Multidimensional Dataset for Investigating Canine Pain,Dataset,dog pain database: a multidimensional dataset for investigating canine pain,l-dog,,10.5281/zenodo.15304081,Zenodo
4942650,"Data from: Tasting novel foods and selecting nutrient content in a highly successful ecological invader, the common myna",Dataset,"data from: tasting novel foods and selecting nutrient content in a highly successful ecological invader, the common myna",l-dog,,10.5061/dryad.3q7k6,Zenodo
16615314,Supplementary Materials Appendices A-D_FDA Study,Dataset,supplementary materials appendices a-d_fda study,l-dog,,10.5281/zenodo.16615314,Zenodo
5181503,dog-qiuqiu/Yolo-FastestV2: V0.2,Software,dog-qiuqiu/yolo-fastestv2: v0.2,l-dog,,10.5281/zenodo.5181503,Zenodo
4739276,LocaRDS: A Localization Reference Data Set,Dataset,locards: a localization reference data set,l-aircraft,,10.5281/zenodo.4739276,Zenodo
17156271,Flickr: Flickr Group (15),Dataset,flickr: flickr group (15),flickr testing set,,10.5281/zenodo.17156271,Zenodo
17157011,Flickr: Flickr BHL (544),Dataset,flickr: flickr bhl (544),flickr testing set,,10.5281/zenodo.17157011,Zenodo
13318983,Flickr: BHL Flickr cropped images,Dataset,flickr: bhl flickr cropped images,flickr testing set,,10.5281/zenodo.13318983,Zenodo
13318980,Flickr: Smithsonian Wild Flickr (650),Dataset,flickr: smithsonian wild flickr (650),flickr testing set,,10.5281/zenodo.13318980,Zenodo
15166413,Lidar testing data set,Dataset,lidar testing data set,flickr testing set,,10.5281/zenodo.15166413,Zenodo
1243855,Testing,Dataset,testing,flickr testing set,,10.5281/zenodo.1243855,Zenodo
15294455,Ontology-based Testing Data Set,Dataset,ontology-based testing data set,flickr testing set,,10.5281/zenodo.15294455,Zenodo
8104408,MNIST-Federated-Learning,Dataset,mnist-federated-learning,mnist,,10.5281/zenodo.8104408,Zenodo
12759284,MNIST_train_test_set.hdf5,Dataset,mnist_train_test_set.hdf5,mnist,,10.5281/zenodo.12759284,Zenodo
5590638,Modified MNIST,Dataset,modified mnist,mnist,,10.5281/zenodo.5590638,Zenodo
10058130,MNIST dataset,Dataset,mnist dataset,mnist,,10.5281/zenodo.10058130,Zenodo
7602025,Wildlife MNIST,Dataset,wildlife mnist,mnist,,10.5281/zenodo.7602025,Zenodo
13357260,mnist dataset,Dataset,mnist dataset,mnist,,10.5281/zenodo.13357260,Zenodo
11621204,griffinmcknight/base-conversion-data-encoding: BCDE MNIST,Software,griffinmcknight/base-conversion-data-encoding: bcde mnist,mnist,,10.5281/zenodo.11621204,Zenodo
15502371,"Dataset for the article ""OpenMM–MiMiC Interface for Efficient and Flexible Multiscale Simulations""",Dataset,"dataset for the article ""openmm–mimic interface for efficient and flexible multiscale simulations""",haim-mimic-mm,,10.5281/zenodo.15502371,Zenodo
7304688,MiMiC: A Framework for Multiscale Modeling in Computational Chemistry,Software,mimic: a framework for multiscale modeling in computational chemistry,haim-mimic-mm,,10.5281/zenodo.7304688,Zenodo
7497400,MiMiC Communication Library,Software,mimic communication library,haim-mimic-mm,,10.5281/zenodo.7497400,Zenodo
4934204,Data from: Varroa destructor changes cuticular hydrocarbons to mimic its new host.,Dataset,data from: varroa destructor changes cuticular hydrocarbons to mimic its new host.,haim-mimic-mm,,10.5061/dryad.1bf13,Zenodo
6008830,mimic4fhir,Software,mimic4fhir,mimic-iv,,10.5281/zenodo.6008830,Zenodo
11533788,MIMIC-IV data,Dataset,mimic-iv data,mimic-iv,,10.5281/zenodo.11533788,Zenodo
5579577,alistairewj/mimic-iv-aline-study: MIMIC-IV aline study v0.1,Software,alistairewj/mimic-iv-aline-study: mimic-iv aline study v0.1,mimic-iv,,10.5281/zenodo.5579577,Zenodo
14899937,FastText embeddings for SNOMED CT concepts using MIMIC-IV notes and SNOMED CT walks,Dataset,fasttext embeddings for snomed ct concepts using mimic-iv notes and snomed ct walks,mimic-iv,,10.5281/zenodo.14899937,Zenodo
10521789,Assessing the use of HL7 FHIR for implementing the FAIR guiding principles: A case study of the MIMIC-IV emergency department module,Dataset,assessing the use of hl7 fhir for implementing the fair guiding principles: a case study of the mimic-iv emergency department module,mimic-iv,,10.5061/dryad.1jwstqk10,Zenodo
6954332,mauricio-coronado/reproduce-sepsis-paper: Version 2 with Improvements,Software,mauricio-coronado/reproduce-sepsis-paper: version 2 with improvements,mimic-iv,,10.5281/zenodo.6954332,Zenodo
6677951,markgermano/reproduce-lactate-load: Reproduce lactate load,Software,markgermano/reproduce-lactate-load: reproduce lactate load,mimic-iv,,10.5281/zenodo.6677951,Zenodo
8370571,QUMPHY MIMIC IV Waveform Database PPG formatted,Dataset,qumphy mimic iv waveform database ppg formatted,mimic-iv,,10.5281/zenodo.8370571,Zenodo
6950919,DanielFSH/Reproduce-Mechanical-Power: Reproducing Mechanical-Power paper using MIMIC-IV project,Software,danielfsh/reproduce-mechanical-power: reproducing mechanical-power paper using mimic-iv project,mimic-iv,,10.5281/zenodo.6950919,Zenodo
6008830,mimic4fhir,Software,mimic4fhir,mimic-iv-note,,10.5281/zenodo.6008830,Zenodo
11533788,MIMIC-IV data,Dataset,mimic-iv data,mimic-iv-note,,10.5281/zenodo.11533788,Zenodo
5579577,alistairewj/mimic-iv-aline-study: MIMIC-IV aline study v0.1,Software,alistairewj/mimic-iv-aline-study: mimic-iv aline study v0.1,mimic-iv-note,,10.5281/zenodo.5579577,Zenodo
14899937,FastText embeddings for SNOMED CT concepts using MIMIC-IV notes and SNOMED CT walks,Dataset,fasttext embeddings for snomed ct concepts using mimic-iv notes and snomed ct walks,mimic-iv-note,,10.5281/zenodo.14899937,Zenodo
10521789,Assessing the use of HL7 FHIR for implementing the FAIR guiding principles: A case study of the MIMIC-IV emergency department module,Dataset,assessing the use of hl7 fhir for implementing the fair guiding principles: a case study of the mimic-iv emergency department module,mimic-iv-note,,10.5061/dryad.1jwstqk10,Zenodo
8370571,QUMPHY MIMIC IV Waveform Database PPG formatted,Dataset,qumphy mimic iv waveform database ppg formatted,mimic-iv-note,,10.5281/zenodo.8370571,Zenodo
6791421,Data from: Early prediction of in-hospital mortality in patients with congestive heart failure in intensive care unit: a retrospective observational cohort study,Dataset,data from: early prediction of in-hospital mortality in patients with congestive heart failure in intensive care unit: a retrospective observational cohort study,mimic-iv-note,,10.5061/dryad.tx95x6b18,Zenodo
4934204,Data from: Varroa destructor changes cuticular hydrocarbons to mimic its new host.,Dataset,data from: varroa destructor changes cuticular hydrocarbons to mimic its new host.,mimic-iv-note,,10.5061/dryad.1bf13,Zenodo
17272946,MIMIC-IV Lab Events Subset - Preprocessed for Data Normalization Analysis.xlsx,Dataset,mimic-iv lab events subset - preprocessed for data normalization analysis.xlsx,mimic-iv-note,,10.5281/zenodo.17272946,Zenodo
15249543,ADE,Dataset,ade,ade,,10.5281/zenodo.15249543,Zenodo
10264929,Ade Statuette,Dataset,ade statuette,ade,,10.5281/zenodo.10264929,Zenodo
10295810,Ade Statuette,Dataset,ade statuette,ade,,10.5281/zenodo.10295810,Zenodo
8298047,Data for Robust parameterization of a viral-immune kinetics model for sequential Dengue virus (DENV) infections with Antibody-Dependent Enhancement (ADE),Software,data for robust parameterization of a viral-immune kinetics model for sequential dengue virus (denv) infections with antibody-dependent enhancement (ade),ade,,10.5281/zenodo.8298047,Zenodo
7252272,aesuli/NLI-Abstract-Dataset: NLI Abstract Dataset v1.0,Software,aesuli/nli-abstract-dataset: nli abstract dataset v1.0,nli,,10.5281/zenodo.7252272,Zenodo
7849563,Project Gutenberg Self-Publishing Press: Portuguese Books,Dataset,project gutenberg self-publishing press: portuguese books,nli,,10.5281/zenodo.7849563,Zenodo
8104814,Natural Language Inference Dataset for Software Engineering,Dataset,natural language inference dataset for software engineering,nli,,10.5281/zenodo.8104814,Zenodo
